amongst,"prep. 在...当中, 在...之间, 在...之中"
asset,"n. 资产, 有益的东西"
cafeteria,"n. 自助餐厅
"
captivate,"vt. 迷住, 迷惑"
chandelier,n. 枝形吊灯
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
definitely,"adv. 明确无疑地, 清楚地"
dew,"n. 露珠, 露水
vt. (用露水)沾湿
vi. 结露水"
dine,"vi. 用正餐, 进餐
vt. 宴请"
diversity,"n. 差异, 多样性
"
down-to-earth,直率的
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
ethnicity,n. 种族划分
expository,"a. 说明的, 解释的"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
freshman,"n. 新手, 生手, 大学一年级学生, (美)中学一年级学生"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
gorgeous,"a. 华丽的, 灿烂的"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
historic,"a. 历史上著名的, 有历史性的"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
impeccably, 完美地; 毋庸置疑地; 无瑕疵地
incredible,a. 难以置信的
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
mandatory,"a. 命令的, 托管的
"
moreover,"adv. 而且, 此外"
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
publication,"n. 出版物, 出版, 公布
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
skylight,n. 天窗
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
statue,"vt. 以雕像装饰
n. 雕像"
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
ultimately,"adv. 最后, 最终
"
vibrantly,adv. 充满活力地
be filled with,充满…
be proud of,"自豪, 高兴"
blow away,"na. 吹走；〈非正式〉用枪杀死某人；〈非正式〉震惊；主要用于美式英语
"
get involved in, 涉及
in terms of,"用...的话, 根据, 按照, 在...方面
"
move into,"进入,驶入,迁入,搬进"
only to do,[网络] 结果；表示出乎意料的结果；结果却
share ... with,"un. 合伙；合住；承担；跟…看法一致
"
take a course,学习一门课程
think ... to oneself,自忖
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
apply,"vt. 涂, 应用
vi. 申请, 适用"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
avoid,"vt. 避免, 防止, 撤消
"
behavior,"n. 行为, 举止
"
bewilderingly,"adv. 令人困惑地, 使人昏乱地"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
bored,a. 无聊的；烦人的；无趣的
brand-new,"崭新的,全新的"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
despair,"n. 绝望, 失望
vi. 绝望"
directory,"n. 目录, 工商名录, 指南
"
downside,n. 底侧；下降趋势
drama,"n. 戏剧, 戏剧艺术"
eclectic,"n. 折衷主义者
a. 选择的, 折衷的"
edition,"n. 版本, 版, 翻版"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
fresher,n. 大学一年级生
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
hack,"n. 劈, 砍, 砍痕, 出租车, 干咳, 晒架, 鹤嘴锄
vt. 劈, 砍, 出租, 用旧
vi. 劈, 砍, 干咳, 驾驶出租车
a. 出租的"
hackery,n. <印>两轮牛车
highly,"adv. 非常, 非常赞许地
"
immerse,"vt. 沉浸, 使陷入
"
inevitable,"a. 不可避免的, 必然的
"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
literature,"n. 文学, 文艺, 著作
"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
proctor,"n. 代理人, 监考人, 代诉人
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
religion,"n. 宗教, 信仰
"
sci-fi,"adj. 同“science fiction”
"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
union,"n. 联盟, 联合, 结合, 工会
"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
apart from,除了...之外
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
give out,"分发, 发出, 发表, 用尽, 精疲力竭"
hang out,挂出
immerse oneself in,"埋头,专心于…"
put one's finger on,发现...
throw oneself into,积极从事
capacity,"n. 容量, 能力, 才能, 资格
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
delude,"vt. 迷惑, 蛊惑"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
dominate,"v. 支配, 占优势"
engineering,"n. 工程学, 工程, 操纵
"
enormous,"a. 巨大的, 庞大的"
humanity,"n. 人性, 人类, 博爱"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
inflict,"vt. 施以, 加害, 使承受
"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
pompous,"a. 爱炫耀的, 虚夸的, 盛大的"
skepticism,"n. 怀疑论
"
smirk,"vi. 傻笑, 假笑, 得意地笑
n. 傻笑, 假笑, 得意的笑"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
subversive,"a. 从事颠覆的, 破坏性的
n. 破坏分子, 颠覆分子"
syllabus,"n. 摘要, 提纲, 课程表, 教学大纲
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
well-rounded, [体]技术全面的
the point of,[网络] 精髓
a couple of,"一对..., 三两个..."
inflict ... on,"un. 遭受
"
in part,部分地
a side effect,无
astrophysicist,n. 天体物理学家
career,"n. 事业, 生涯, 成功
"
compute,"v. 计算, 估算
n. 计算, 估算"
cultivate,"vt. 培养, 耕作"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
empathize,"[医] 移情, 神入"
empathy,"n. 移情作用, 共鸣
"
fascination,"n. 令人着迷的事物, 入迷, 魅力"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
innovation,"n. 改革, 创新
"
insight,"n. 察看, 洞察力, 见识
"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
slaughter,"n. 残杀, 屠杀, 杀戮
vt. 残杀, 屠杀, 亏本出售"
sophomore,"n. (大学)二年级生
a. 二年级学生的, 二年级的"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
strategic,"a. 战略的, 战略上的
"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
trump,"n. 王牌, 法宝, 喇叭
vt. 打出王牌赢, 胜过
vi. 出王牌, 吹喇叭"
get the most out of,最充分地利用…
place importance on,重视…
a body of, 一群，一队。后加单数谓语动词
get by,"通过, 混过"
a host of,"许多,一大群"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
commencement,"n. 开始, 毕业典礼
"
community,"n. 社区, 公众, 共有, 共同体
"
depressed,"a. 沮丧的, 降低的
"
detention,"n. 阻止, 监禁, 拘留
"
disconnected,"a. 分离的, 不连贯的"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
frayed,"a. 磨损的
v. （使布、绳等）磨损, 磨破( fray的过去式和过去分词 )"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
imposter,"n. 冒名顶替者, 骗子
"
instinctively,"adv. 本能地, 直觉地"
janitor,"n. 守卫, 门警, 管理人
"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
membership,"n. 会员的资格, 全体会员, 会员数目
"
millennial,"a. 一千年的, 千福年的"
opioid,"a. 类鸦片（引起）的
n. 类鸦片活性肽"
renewed,a. 复兴的；更新的；重建的
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
come down to,"流传下来;压缩为,归结为,简化为"
get through,"做完, 通过, 度过"
occur to,…发生在; 被想起〔到〕
tear apart,"v. 弄乱；撕破
"
turn out,"v. 证明；原来；到场
"
algebra,n. 代数学
aneurism,n. 动脉瘤
assert,"vt. 主张, 坚称, 断言
"
asshole,"n. 屁眼儿, 肛门；令人讨厌的人"
await,"vt. 等候
vi. 等待着"
awestruck,"a. 敬畏的, 畏惧的"
countless,"a. 数不尽的, 无数的"
courtyard,"n. 庭院, 天井"
coveted,"a. 令人垂涎的; 垂涎的, 梦寐以求的
v. 贪求, 觊觎(covet的过去分词); 垂涎; 贪图"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
distinctive,"a. 有特色的, 出众的"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
exceptionally,adv. 特殊地；异常地；例外地
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
extracurricular,"a. 课外的, 业余的"
fleeting,"a. 疾驰的, 短暂的, 飞逝的"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
incoming,"a. 进来的, 刚开始的, 新来的
n. 进来"
internship,"n. 实习医师的职务
"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
linear,"a. 线的, 直线的, 线状的
"
mutual,"a. 相互的, 共有的
"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
ogle,"n. 眉目传情
vt. 挑逗地注视
vi. 做媚眼"
plaque,"n. 匾, 饰板, 名牌, 勋章, 胸襟饰物, 血小板"
prefrosh,[网络] 前置
prestigious,a. 享有声望的
proximate,"a. 最近的, 将临的, 近似的
"
recalibrate," 重新刻度, 再校准"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
sideline,"n. 副业, 旁线, 界线, 兼职, 旁观者看法
vt. 使退出比赛场地"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
strained,"a. 紧张的, 滤过的, 矫饰的
"
transcript,"n. 抄本, 副本, 成绩单
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
vie,"vi. 争, 竞争, 争胜
vt. 提出...来竞争, 以...作较量"
wistful,"a. 渴望的, 想望的"
assert oneself,坚持自己的权利
be caught up in,"被卷入, 牵涉, 涉及"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
embark on,"从事, 着手"
flip through,"浏览,翻阅"
get over,"爬过, 克服, 熬过, 恢复, 原谅"
reflect on,"深思, 反省, 导致, 招致非议"
astute,"a. 敏锐的, 狡猾的"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
ability,"n. 能力, 才干
"
accomplish,"vt. 完成, 达到, 实现, 使完美"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
assurance,"n. 保证, 把握, 信心, 保险
"
clarity,"n. 清楚, 明晰
"
