bewail,"v. 悲悼, 哀泣, 哀叹"
destitute,"a. 穷困的, 缺乏的"
detract,"vi. 减去, 贬低
vt. 转移, 分散"
emancipate,"vt. 释放, 解放"
extol,"vt. 颂扬, 称赞, 吹捧"
flamboyant,"a. 火焰似的, 辉耀的, 华丽的"
impetus,"n. 动力, 推动力, 动量
"
insuperable,"a. 不能制胜的, 不能克服的"
intermittent,"a. 间歇的, 断断续续的
"
maxim,"n. 格言, 座右铭
"
obligatory,"a. 义务的, 必须的, 强制性的
"
plumb,"n. 铅锤, 垂直
a. 垂直的
vt. 使垂直, 探测
vi. 成垂直"
vagabond,"n. 流浪者, 浪子, 流氓
vi. 到处流浪
a. 流浪的, 漂泊的, 浪荡的, 流浪者的"
visage,"n. 脸, 面貌, 容貌"
wheedle,"vt. 以甜言蜜语诱惑, 用甜言蜜语骗
vi. 用甜言蜜语哄骗"
alacrity,"n. 敏捷, 轻快, 乐意"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
deduce,"vt. 推论, 演绎出
"
encumber,"vt. 妨害, 阻塞, 拖累
"
fraught,"a. 含有...的, 伴着...的, 充满...的"
haphazard,"n. 偶然性, 偶然事件
a. 无计划的, 偶然的, 随便的
adv. 偶然地"
incontrovertible,"a. 无争论余地的, 无疑的, 明白的
"
inexplicable,"a. 不能说明的, 不能解释的, 费解的"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
laggard,"n. 迟钝者, 落后者
a. 迟钝的, 落后的"
sustenance,"n. 生活资料, 生计, 食物, 支持
"
torrid,"a. 晒热的, 酷热的, 炎热的"
traverse,"n. 越过, 横贯, 横断物, 屏障, 否认, 反驳
vt. 横过, 穿过, 经过, 详细研究, 反对, 在...来回移动
vi. 横越, 横断, 旋转, 来回移动
a. 横亘的, 横贯的"
ubiquitous,"a. 无所不在的, 到处存在的, 普遍存在的"
zenith,n. 顶点；最高点；顶峰
allude,"vi. 暗指, 提及"
consecrate,"vt. 把...供祭祀用, 奉献, 使神圣
a. 被献给神的, 神圣的"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
dote,"vi. 昏聩, 溺爱"
exhort,"v. 劝诫, 忠告"
feckless,"a. 无效的, 无能的, 不负责任的"
implicate,"vt. 涉及, 含意, 暗示, 牵连
n. 包含的东西"
lament,"n. 悲叹, 悔恨, 恸哭, 挽歌, 悼词
vt. 哀悼
vi. 悔恨, 悲叹"
monetary,"a. 货币的, 金钱的
"
pensive,"a. 沉思的, 哀思的, 忧郁的"
pomp,"n. 壮丽, 盛观, 夸耀"
stilted,"a. 踏上高跷的, 虚饰的, 夸大的, 夸张的, 呆板的, 不自然的, 做作的"
subjugate,"vt. 征服, 使服从, 抑制, 克制"
trauma,"n. 外伤, 损伤
"
wanton,"n. 荡妇, 水性杨花的女人
a. 恶意的, 不负责任的, 无节制的, 嬉戏的, 繁茂的, 淫荡的
vi. 变化无常, 嬉戏, 闲荡, 放肆
vt. 挥霍"
adage,"n. 格言, 谚语"
camaraderie,n. 友情；同志之爱
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
extraneous,"a. 外来的, 非必要的, 无关的
"
hubbub,"n. 吵闹声, 叫嚷声, 混乱"
meander,"n. (河流的)蜿蜒, 漫步, 迂回旅行
vi. 蜿蜒流动, 漫步
vt. 使蜿蜒曲折"
odoriferous,"a. 散发气味的, 臭的"
paraphernalia,n. 随身用具
punctilious,"a. 精密细心的, 一丝不苟的, 拘泥形式的"
recuperate,"vt. 恢复, 使复原, 使恢复健康, 使恢复精神
vi. 复原, 恢复健康, 挽回损失"
regale,"vt. 款待, 使快乐
vi. 享用
n. 盛宴, 佳肴, 款待"
sedentary,"a. 久坐的, 坐惯的, 定栖的
"
Spartan,"a. 斯巴达的, 斯巴达式的, 刚强的, 勇敢的, 好战的, 严峻的, 简朴的, 艰苦的
n. 斯巴达人, 勇士, 坚韧不拔的人"
temporal,"a. 时间的, 暂时的, 现世的, 世俗的, 颞的, 太阳穴的
n. 世间万物, 教会财产"
wry,"a. 扭歪的, 歪曲的, 歪斜的
v. 扭曲, 扭歪"
callow,"a. 年轻而无经验的, (鸟)羽毛未丰的
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
despot,"n. 专制君主, 暴君
"
enunciate,"vt. 明确地叙述, 表明
vi. 发音"
impediment,"n. 妨碍, 障碍, 阻止, 口吃
"
impoverish,"vt. 使贫穷, 耗尽...的力气"
indolent,"a. 懒惰的, 无痛的
"
sagacious,"a. 睿智的, 聪明的, 贤明的, 伶俐的"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
speculate,"vi. 深思, 推测, 投机
"
strife,"n. 争吵, 竞争, 冲突"
venerate,"vt. 尊敬, 崇敬, 崇拜"
voracious,"a. 贪吃的, 狼吞虎咽的, 贪婪的"
wane,"n. 减少, 衰微, 败落, 亏缺, 月亏
vi. 变小, 亏缺, 衰落, 消逝, 退潮"
apropos,"a. 适当的, 恰好的
adv. 适当地, 恰好地"
ascendancy,"n. 优势, 支配地位"
assess,"vt. 估定, 对...征税, 评定
"
aver,"vt. 断言, 坚称
"
concede,"vt. 承认, 退让
vi. 让步"
deficient,"a. 不足的, 不充分的, 有缺陷的"
dogma,n. 教条
embody,"vt. 具体表达, 使具体化
"
impart,"vt. 给予, 传授, 告知"
oratory,"n. 演讲, 雄辩术, 演讲术, 雄辩"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
proponent,"n. 建议者, 支持者
"
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
"
sojourn,"n. 逗留, 旅居
vi. 逗留, 旅居"
vociferous,"a. 大声叫的, 喊叫的, 喧嚷的"
amorous,"a. 多情的, 表示爱情的, 恋爱的"
belittle,"vt. 轻视, 贬低"
censure,"n. 责难
vt. 非难, 指责"
deem,"v. 认为, 相信"
divulge,"vt. 泄露, 透露"
exorbitant,"a. 过度的, 过高的, 过分的"
expostulate,"vi. 劝诫, 告诫；忠告"
fateful,"a. 宿命的, 重大的, 决定性的"
ingrate,"n. 忘恩者
a. 不知恩的, 忘恩的"
injunction,"n. 命令, 禁令, 劝告
"
moribund,"a. 垂死的
n. 垂死的人"
motif,"n. 主题, 基调, 动机, 基本图案
"
subsidize,"vt. 补助, 资助, 贿赂
"
sumptuous,"a. 奢侈的, 华丽的"
voluble,"a. 流利的, 健谈的, 易旋转的, 缠绕的"
adroit,"a. 灵巧的, 敏捷的, 聪明的"
affront,"n. 公开侮辱, 轻蔑
vt. 公开侮辱, 冒犯, 面对"
avocation,"n. 副业, 嗜好
"
crusade,"n. 改革运动, 十字军东侵
vi. 从事改革运动, 加入十字军"
definitive,"n. 限定词
a. 限定的, 决定性的"
demeanor,"行为, 品行, 举止"
erudite,"a. 博学的
n. 博学者"
induct,"vt. 引导, 使入门, 引入, 使就职"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
militant,a. 好战的
pariah,"n. 贱民(印度的最低阶级), 被放逐者"
prodigy,"n. 惊人的事物, 奇迹, 不凡的人, 奇才, 神童, 预兆"
protégé,无
raucous,"a. 沙哑的, 粗声的, 喧闹的"
tacit,"a. 沉默寡言的, 不苟言笑的, 缄默的"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
antiquity,"n. 古老, 古代, 古代人, 古物"
appraise,"vt. 评价, 估价
"
cleave,"vt. 劈开, 分开
vi. 劈开, 分开, 粘着, 依恋"
depreciate,"vi. 贬值
vt. 降价, 贬低"
facet,"n. (多面体的)面, 方面, 琢面
"
facsimile,"n. 摹(真)本, 传真
vt. 传真, 临摹
a. 复制的
"
impervious,"a. 透不过的, 不易损坏的, 无动于衷的, 不受影响的
"
nondescript,"a. 莫可名状的, 难以区别的
n. 难以名状的事物, 不属任何类型的人"
quandary,"n. 困惑, 迷惑, 为难"
repose,"n. 休息, 睡眠, 静止
vt. 使休息, 寄托于
vi. 休息, 长眠, 静卧, 座落, 依靠, 信赖"
scintillate,"v. 发出火花, 闪耀光芒"
scrutinize,"vt.vi. 细看, 仔细检查, 审查, 细阅
"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
transmute,"vt. 使变形, 使变质
vi. 变形, 变质"
amputate,"vt. 切断, 删除"
aptitude,"n. 资质, 才能, 自然倾向
"
beneficiary,"n. 受惠者, 受益人
a. 受封的"
boon,n. 恩惠
commiserate,"v. 怜悯, 同情"
garner,"n. 谷仓, 积蓄
vt. 储存, 贮藏"
gratis,"adv. 免费地, 白送地
a. 免费的"
incapacitate,"vt. 使无能力, 使无行为能力
"
inception,"n. 起初, 获得学位"
magnanimous,"a. 宽宏大量的, 有雅量的
"
myriad,"n. 无数, 无数的人(或物)
a. 无数的, 种种的"
practicable,"a. 可实行的, 可做的, 可用的"
remunerate,"vt. 给与报酬, 赔偿, 酬劳"
solicit,"v. 请求, 乞求, 招揽, 征求"
trite,"a. 老一套的, 陈腐的, 用坏的"
amenity,"n. 便利设施, 适意, 礼仪
"
averse,"a. 不愿意的, 反对的"
complacent,"a. 满足的, 自满的, 得意的"
decompose,"v. 分解, (使)腐烂"
defray,"vt. 支付, 支出
"
emanate,"vi. 散发, 发出, 发源"
envisage,"vt. 面对, 正视, 想象"
facetious,"a. 滑稽的, 爱开玩笑的"
fallacy,"n. 错误的观念(或信念), 谬见, 谬论
"
furor,"n. 喧闹, 激怒, 感动, 狂热
"
idyll,"n. 叙事诗, 田园景色, 田园诗, 田园乐曲, 牧歌"
paucity,"n. 少数, 少量, 缺乏"
porous,"a. 多孔的, 有气孔的, 多孔性的, 能渗透的
"
supersede,"vt. 代替, 取代, 接替
"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
credible,"a. 可信的, 可靠的
"
empathize,"[医] 移情, 神入"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
harrowing,"a. 痛心的, 悲惨的
"
impair,"vt. 损害, 减少, 削弱
"
infer,"vt. 推论出, 推断
vi. 作推论"
intuition,"n. 直觉, 直觉的知识"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
nuance,n. 细微差别
pernicious,"a. 有害的, 致命的, 恶劣的, 险恶的
"
solace,"n. 安慰, 安慰之物
vt. 安慰, 抚慰, 给与安慰, 使轻松"
treatise,"n. 论文, 专著"
vogue,"n. 时尚, 时髦, 流行
a. 流行的, 时髦的"
blandishment,"n. 甜言蜜语, 谄媚, 奉承"
deprecate,"vt. 声明不赞成, 抗议, 反对
"
discomfit,"vt. 打乱, 挫败, 使破灭"
meteoric,"a. 流星的, 疾速的, 大气的"
overbearing,"a. 傲慢的, 骄傲自大的, 蛮横的, 压倒一切的
"
precocious,"a. 早熟的, 像大人的
"
proffer,"vt. 提供, 贡献, 提议
n. 提供, 提议"
remonstrate,"vi. 表示异议, 抗议, 责备
vt. 抗议地说"
rift,"n. 裂口, 空隙
vi. 裂开
vt. 使分开, 使割开"
solicitous,"a. 关心的, 渴望的, 热切期望的, 十分讲究的"
succinct,"a. 简洁的, 紧缩的"
sylvan,"a. 森林的, 农村的, 乡村的
"
trepidation,"n. 恐惧, 惊惶, 忧虑
"
untoward,"a. 事与愿违的, 麻烦的, 困难的, 不幸的"
virtuoso,n. 艺术品鉴赏家
amass,"vt. 积聚, 堆积"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
decimate,"vt. 每十人杀一人, 大批杀害"
dexterous,"a. 灵巧的, 惯用右手的"
garb,"n. 打扮, 装束
vt. 打扮, 穿衣"
gregarious,"a. 社交的, 群居的"
inherent,"a. 固有的, 与生俱来的
"
maternal,"a. 母亲的, 母系的, 母方的
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
obtrusive,"a. 强迫人的, 冒失的, 莽撞的, 伸出的"
parody,"n. 打油诗文, 诙谐的模仿诗文, 拙劣的模仿
vt. 拙劣模仿, 作模仿诗文"
pugnacious,a. 好斗的
reprehensible,"a. 应斥责的, 应该谴责的
"
tractable,"a. 驯服的, 易于管教的
"
zany,"n. 小丑, 笨人, 马屁精
a. 滑稽的, 滑稽愚蠢的"
accentuate,"vt. 以重音念, 强调, 重读"
aficionado,"n. 狂热爱好者, 迷"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
centrifugal,"a. 离心的
n. 离心机, (离心机的)转筒"
convoluted,"a. 盘绕的, 回旋的, 旋绕的, 卷绕的, 复杂的
"
decapitate,"vt. 斩首, 杀头, 开除
"
disingenuous,"a. 不老实的, 不诚实的, 狡猾的"
indubitable,"a. 无疑的, 确实的, 明显的
"
jaded,"a. 疲倦不堪的, 厌倦的"
masochistic,"a. 性受虐狂者的, 受虐狂者的"
momentum,"n. 动力, 动量
"
obsolescent,a. 在逐步废弃的
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
viscera,"n. 内脏, 内容
"
volition,"n. 行使意志, 意志力, 决定"
belated,"a. 迟来的
"
caliber,"n. 口径, 才干, 水准
"
chagrin,"n. 懊恼
vt. 使懊恼"
contravene,"vt. 违反, 触犯, 否认, 反驳, 抵触, 与...冲突
"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
doldrums,"n. 忧郁, 赤道无风带"
emblazon,"vt. 用纹章装饰, 盛饰, 颂扬"
eminent,"a. 显赫的, 杰出的, 有名的"
