are,be的现在时复数或第二人称单数
bird,"n. 鸟, 羽毛球
vi. 打鸟"
brother,n. 兄弟
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
chicken,"n. 小鸡, 鸡肉"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
French fries, 炸薯条
friend,"n. 朋友, 支持者, 赞助者
"
hamburgers,n. 汉堡包( hamburger的复数形式 )
heart,"n. 心, 心脏, 中心, 内心, 感情, 精神, 心情, 宝贝儿
vt. 鼓励"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
mouse,"n. 老鼠, 胆小羞怯的人, 鼠标
vi. 捕鼠, 窥探
vt. 探出
"
my,"pron. 我的
"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
noodles,"n. 面条, 挂面（noodle的复数形式）"
octopus,n. 章鱼
ostrich,n. 鸵鸟
panda,"n. 大熊猫, 小熊猫"
pants,"n. 裤子, 长裤, 短衬裤, 女式运动短裤"
peacock,"n. 孔雀, 好炫耀的人
vi. 炫耀, 神气活现地行走"
pig,"n. 猪, 猪肉, 贪婪的人, 猪一样的人
v. 生小猪, 象猪般地生活"
pizza,n. 比萨饼
queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
quilt,"n. 棉被
vt. 加软衬料后缝制, 东拼西凑地编
vi. 缝被子"
rabbit,"n. 兔子
vi. 猎兔
vt. 让...见鬼去"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
rectangle,"n. 长方形, 矩形
"
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
salad,n. 色拉
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
shirt,"n. 衬衫, 内衣, 汗衫"
shoes,n. 鞋子（shoe的复数）
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
socks,"短袜, 袜子, 鞋内的衬垫, 轻软鞋, 巨款, 存款, 存钱处, 银箱, 拳打, 一击, 重击"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
tomato,"n. 番茄, 西红柿"
tea,"n. 茶, 茶叶
"
these,pron. 这些
this,"pron. 这, 本
a. 这, 本
adv. 这么"
tiger,"n. 老虎, 虎, 凶暴的人"
triangle,"n. 三角形, 三个一组, 三角关系
"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
violin,n. 小提琴
watch,"n. 观察, 手表, 看守, 守护, 监视, 值班人
vt. 看, 注视, 照顾, 看守, 守护, 监视
vi. 观看, 注视, 守侯"
watermelon,n. 西瓜
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
X-ray,"X射线, X光, X光照片"
yo-yo, 悠悠球，溜溜球，摇摇（拉线使圆盘旋转着沿线上下来回移动）
zebra,n. 斑马
zoo,n. 动物园
