hello,"interj. 喂, 嘿"
she's,abbr. she has 她（已经）; she is 她是
she is,无
let's,abbr. let us 让我们
let us,[网络] 让我们；让我们自己；让我们一起
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
OK,[网络] 确定；好；击
wow,"interj. (非正式)哇
n. 巨大的成功, 轰动一时的成功, 十分有趣的事物
"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
family,"n. 家庭, 家人, 族
a. 家庭的"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
brother,n. 兄弟
grandpa,"爷爷, 老太爷, 外公"
grandma,"n. 奶奶, 外婆"
a,"第一个字母 A; 一个; 第一的
art. "
farmer,"n. 农夫, 农场主
"
teacher,"n. 教师, 老师, 导师"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
yes,"adv. 是
n. 是, 同意
v. 同意"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
me,pron. 我
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
oh,interj. (表示惊讶、恐怖、赞叹)哦
two,"num. 二, 二个"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
our,pron. 我们的
classroom,n. 教室
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
desk,"n. 书桌, 办公桌, 工作台"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
that's,"(=that is)说得更精确些, 简而言之"
that is,(作插入语)那就是
schoolbag,n. 书包
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
it,"pron. 它
"
it's,"pron. 其
short. it is；it has
adv. （指事物、动物或婴儿）它的
"
it is," [医]〔复-itides〕〔后缀〕炎, 炎症"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
pencil-case,铅笔盒
an,art. 一
eraser,n. 擦子
mum,"n. 菊花, 沉默
a. 沉默的
vi. 演哑剧
interj. 别说话"
colour,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
yellow,"n. 黄色
a. 黄色的"
the,art. 那
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
black,"n. 黑色, 黑颜料
a. 黑色的"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
how many, 几何；几；多少；几多
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
two,"num. 二, 二个"
three,"num. 三, 三个"
four,"num. 四, 四个
"
five,"num. 五, 五个"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
six,"num. 六, 六个"
eight,"num. 八, 八个"
seven,"num. 七, 七个"
nine,"num. 九, 九个"
ten,"num. 十, 十个"
for,"prep. 为, 因为, 至于
conj. 因为
"
how old, 几岁
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
you're,abbr. you are 你（你们）是
you are,[网络] 你是；你们是；你就是
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
birthday,n. 生日
