hello,"interj. 喂, 嘿"
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
I'm,"na. 'im = him
"
I am,[网络] 我是；这就是我；唯我是问
hi,interj. 喂
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
morning,"n. 早晨, 早上, 初期"
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
are,be的现在时复数或第二人称单数
you,"pron. 你, 你们"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
thank,"n. 谢意, 感谢
vt. 谢谢, 感谢"
and,"conj. 和, 与
"
goodbye,interj. 再见
bye,"interj. 再会, 回头见
"
afternoon,"n. 午后, 下午"
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
too,"adv. 也, 非常, 太"
Mr,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
"
this,"pron. 这, 本
a. 这, 本
adv. 这么"
is,"be的现在式第三人称
"
what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
what's," （尤当 has 为助动词时, what is 或 what has 的常用口语形式）; 乌"
what is,[计] whatis命令
your,"pron. 你的, 你们的"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
my,"pron. 我的
"
he,"pron. 他
n. 男孩, 男人, 雄性动物"
he's,"他是, 他有"
he is,他是
friend,"n. 朋友, 支持者, 赞助者
"
she,pron. 她
