abdomen,"n. 腹部
"
bereave,"vt. 使孤寂, 使丧失, 使失去"
consecrate,"vt. 把...供祭祀用, 奉献, 使神圣
a. 被献给神的, 神圣的"
evoke,"vt. 唤起, 引起, 召(魂)
"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
jolt,"n. 震摇, 摇动, 颠簸
vi. 颠簸而行, 震摇
vt. 使颠簸, 使慌张, 猛击"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
prowl,"n. 潜行, 徘徊, 悄悄踱步
vi. 潜行以觅食, 徘徊
vt. 徘徊"
scoop,"n. 铲子, 勺子, 穴, 口, 独家新闻
vt. 汲取, 舀取, 挖空, 抢先报道"
status,"n. 状态, 情形, 地位, 要人身份
"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
bandit,n. 强盗
commemorate,vt. 纪念
defile,"vt. 弄脏, 污损, 败坏
vi. 以纵队前进
n. 隘路, 狭道"
deviation,"n. 背离
"
fortitude,"n. 刚毅, 坚毅, 不屈不挠"
inconsolable,"a. 无法安慰的, 极为伤心的"
nibble,"n. 少量食物, 细咬, 轻咬, 啃
v. 一点一点地咬, 细咬, 吹毛求疵
"
pageant,"n. 盛会, 游行, 虚饰, 露天表演"
scourge,"n. 鞭, 苦难根源, 灾祸
vt. 鞭打, 痛斥, 蹂躏"
tumble,"n. 跌倒, 摔跤, 翻斤斗
vi. 翻倒, 摔倒, 倒塌, 滚动, 翻斤斗, 仓促地行动
vt. 使摔倒, 使滚翻, 弄乱"
afflict,"vt. 使苦恼, 折磨"
censure,"n. 责难
vt. 非难, 指责"
dissimulation,"n. 掩饰, 装糊涂, 虚伪
"
flog,"vt. 鞭打, 鞭策, 严厉的批评, 迫使"
inscription,"n. 题字, 碑铭
"
meddle,"vi. 干涉, 干预, 擅自摸弄
"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
rummage,"v. 仔细翻寻, 仔细搜查, 检查出
n. 仔细翻找, 查出的物件"
spout,"n. 喷口, 从喷口流出的水, 水落管, 水龙卷
vt. 喷出, 喷射, 滔滔不绝说出, 典押
vi. 喷射, 高谈阔论"
traverse,"n. 越过, 横贯, 横断物, 屏障, 否认, 反驳
vt. 横过, 穿过, 经过, 详细研究, 反对, 在...来回移动
vi. 横越, 横断, 旋转, 来回移动
a. 横亘的, 横贯的"
wistful,"a. 渴望的, 想望的"
amicable,"a. 友善的, 友好的
"
blizzard,"n. 大风雪, 暴风雪"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
glimmer,"n. 一丝光线, 微光, 少许
vi. 发微光"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
ransack,"vt. 到处搜索, 遍寻, 掠夺, 洗劫
"
slash,"v. 猛砍, 乱砍
n. 猛砍, 乱砍, 删减
"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
vogue,"n. 时尚, 时髦, 流行
a. 流行的, 时髦的"
ascribe,"vt. 归因于, 归咎于
"
ascribe to,"v. 把…归于
"
bulwark,"n. 保障, 壁垒, 防波堤"
dubious,"a. 可疑的, 不确定的"
facet,"n. (多面体的)面, 方面, 琢面
"
heed,"n. 注意, 留心
v. 注意, 留心"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
mumble,"n. 喃喃而语, 咕哝
v. 喃喃而语, 咕哝"
relic,"n. 遗物, 遗迹, 纪念物, 遗风, 残留物"
smog,"n. 烟雾
"
wayfarer,n. 旅行者
wont,"n. 习惯
a. 惯常的, 易于...的
vi. 习惯
vt. 使习惯于"
absolve,"vt. 宣告...无罪, 赦免, 免除
"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
deplore,"vt. 悲悼, 哀叹, 对...深感遗憾"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
pith,"n. 木髓, 骨髓, 要旨, 重要性, 力量, 核心, 意义, 精华
vt. 从(植物茎)中取髓, 刺毁(动物的)脑脊髓"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
tidings,n. 消息
aghast,"a. 惊骇的, 吓呆的"
cumber,"vt. 妨害, 阻碍, 使受苦
n. 妨害, 累赘"
decree,"n. 法令, 判决, 天意
vt. 颁布, 判决
vi. 发布命令"
frolic,"n. 嬉戏
vi. 嬉戏
a. 嬉戏的, 欢乐的"
intercourse,"n. 交往, 交流
"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
precipice,"n. 悬崖, 绝壁, 险境"
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
sprout,"n. 芽, 萌芽
vt. 使发芽, 摘去芽
vi. 长芽, 抽条"
tread,"n. 踏, 步态, 梯级, 交尾, 鞋底
vi. 踏, 行走, 交尾
vt. 踩, 踏, 践踏, 跳(舞)"
ammunition,"n. 军火, 弹药
"
doting,"a. 偏爱的, 溺爱的"
engross,"vt. 用大字体书写, 独占(市场), 使全神贯注
"
gush,"n. 涌出, 滔滔不绝地讲话
v. 涌出, 迸出, 滔滔不绝的讲话"
insuperable,"a. 不能制胜的, 不能克服的"
ordeal,"n. 严酷考验, 痛苦经历, 煎熬
"
pouch,"n. 小袋, 小包, 眼袋, 邮袋, 育儿袋
vt. 装...入袋中, 使成袋状
vi. 成袋状"
screech,"n. 尖声喊叫, 尖叫声, 煞车声
vt. 尖声讲
vi. 发出尖声"
stature,"n. 身材, 身高, 高度
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
assess,"vt. 估定, 对...征税, 评定
"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
disdain,"n. 蔑视
vt. 蔑视, 鄙弃"
espy,"vt. 看出, 望见, 发现"
glossy,"a. 平滑的, 有光泽的"
janitor,"n. 守卫, 门警, 管理人
"
packet,"n. 小包, 一批信件, 大量, 信息包
vt. 打包, 装进小包
"
pulpit,n. 讲道坛
