a collection of,"一批,一组"
a couple of,"一对..., 三两个..."
a range of, 一系列; 一些; 一套
a series of,"一系列..., 一批..."
a variety of,"各种各样的..., 种种..."
above all,"尤其是, 首先"
access to,有权使用
accuse sb. of sth.,"un. 控告
"
adapt to sth.,适应…;适合…
add to,"na. 增加
"
after all,毕竟
agree with,"同意…,与…意见一致;适应…"
aim at,"v. 目的在于
"
aim to do sth.,[网络] 打算做某事；指望做某事；意欲
allow for sth.,"虑及, 体谅"
along with,"与…一道,与…一起,连同…"
apart from,除了...之外
appeal to sb. to do sth.,无
apply to do sth.,无
approve of,"赞成,批准…"
arise from,"从…中产生,由…而引起"
as a result of,作为结果
as for,至于
as to,"根据,按照,依照;关于,至于,就…而言"
as if,"na. 彷佛；活像
"
as though,"好像, 仿佛"
as opposed to,"完全不同, 截然相反, 反对, 对照"
as well as,"也, 又"
as long as,只要...
so long as,只要
ask for,"na. 要(价)；来找
"
at all,[网络] 高的
at first,起先
at least,"至少
"
at present,"现在, 目前"
at risk,"un. 担风险
"
at stake,"危如累卵, 在危险中"
at the rear of,无
at will,"随意, 任意"
attach importance to,重视
be absorbed in,"全神贯注于, 专心于"
be accessible to,"可以进入,拿得到,对…开放,易受…影响"
be addicted to,沉迷于…
be amazed at, 对…感到惊讶；对…感到害怕
be applicable to,(适)用于
based on,[计] 基准样式
be based on,"以…为基础,以…为根据"
be beneficial to,有益于
be biased against,"na. 对…抱有偏见
"
be bound to,"肯定,必然,注定;保证做某事,有义务做某事"
cautious about,谨慎于…
be cautious about,无
be composed of,由...组成
be concerned with,"涉及..., 与...有关"
be confined to,"限制, 禁闭"
confronted with,[网络] 面对；遭遇到
be confronted with,面临
conscious of, 意识到
be conscious of,意识到...
be considered as,被认为/看作是...
be contented with,无
be dependent on,"依靠, 依赖"
be deprived of,"被剥夺了…,失去…"
be discriminated against,无
be doubtful about,无
be eager to,"盼望,渴望"
eligible for,适宜于；有…的资格的，合格的
be eligible for,"适合…,有资格…"
be equal to,"胜任, 相等, 合适"
be equipped with,"配备有,装备有…"
be essential for,[网络] 对……至关重要；对……很必要；对…很重要
be exposed to,"[计] 曝光, 曝露"
be faced with,"面对,面临着…"
be famous for,"因…而出名,以…着称"
be fed up with,"饱受,厌烦"
be fit to do sth.,无
be good at sth.,擅长
be good at doing sth.,无
be helpful to,"v. 有助于；对…有
"
be hesitant about,无
be impressed with,"na. 深感；为…所感动
"
incorporate into,使成为…的一部分
incorporated into,无
be incorporated into,[网络] 并入；被编织成
be indifferent to,对…漠不关心
be inferior to,"劣于..., 比...差"
be interested in sth.,对…很感兴趣
be interested in doing sth.,无
be involved in, 涉及，专心; 卷入
get involved in, 涉及
be keen on,喜爱
be known as,被认为是
be known for,因...而众所周知
be likely to do sth.,无
be meant to do sth.,照道理[照规矩]应该
be obliged to do sth.,无
be obsessed with,被…困扰
be opposed to sth.,"反对..., 与...相对"
be peculiar to,是...所特有的
be ready to do sth.,[网络] 准备做某事；准备好做某事；为做某事做好了准备
related to,与…有关
be related to,"与...有关, 和...有联系, 和...有亲戚关系"
be related with,[网络] 与…有关系；与…相关
be reluctant to do sth.,无
be resistant to sth.,"抵抗...的, 对...有耐药力的"
be responsible to,[网络] 对某人负责；向……负责；对…负责
be satisfied with,对...感到满意
be dissatisfied with,对…不满意
be short of,"缺乏..., ...不足"
be similar to,与...相似
be skeptical of,无
be skeptical about,无
be strict with sb.,"对...严格, 对...严历"
be subject to,"受支配, 从属于, 可以...的, 常遭受..."
be suitable for,"适合…,适用于…"
be superior to,"优于…,胜过…,比…更优越;不受…影响,不为…所动"
be susceptible to,"易患..., 对...敏感"
be tolerant of,"忍耐,容忍,对…有忍耐力"
be unlikely to do sth.,无
be up to sb.,"胜任,达到,由…负责"
be up to sth.,"胜任,达到,由…负责"
be used to doing sth.,无
be vital to sth.,对...极端重要
be vulnerable to,易受...的伤害
be willing to do sth., 愿意做某事
worth doing sth., 值得做；物有所值
be worth doing sth.,无
be better off doing sth.,无
better off, 比较富裕; 情况好转
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
bring about,"na. 造成；带来；【航】(使船)回转
"
bring down,na. 降低；击落；削减；使落下
build up,"树立, 增进, 增大, 堵塞
"
by chance,"偶然, 也许"
by no means,决不
by contrast,"对比起来, 与之相比, 相反地"
in contrast,"比较起来, 相反地, 而"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
calm down,"平静下来, 镇定下来"
care about,担心
carry out,"na. 实行；开展；完成
"
catch up with,赶上
cling to,"依附, 依靠, 坚持"
combine A with B,无
come to terms with ...,"与…达成协议,慢慢习惯"
come up against,突然碰到
come up to,"达到, 等于"
come up with,"赶上, 提出"
compare with,"比较…,跟…相比,比得上…"
compete against,与…竞争
compete with,与…竞争
complain about,抱怨
conform to,"符合, 遵照"
conform with,与…一致
contrary to,与…相反
contribute to sth.,捐献
cope with,"与...竞争, 应付, 处理"
cover for,代替
cover up,"na. 包庇(某人)；为某人打掩护；蒙盖；隐蔽
"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
deal in,"na. 买卖(货物)；办理；经营
"
depend on,"依靠, 依赖"
depend upon," 依赖, 依靠"
derive from,"得自, 由来, 衍生"
die of,"死于…,因…而死"
die from,"[法] 由于...而死, 死于"
die out,"熄灭, 平息, 消失"
discourage sb. from doing sth.,无
distinguish A from B,把(甲)和(乙)区别开来
do away with,"废除, 弄死"
do harm to, 损害。。。，伤害。。。; 残害
draw a conclusion from,由...得出结论
earn a living,"谋生,挣钱,自食其力"
equip ... with ..., 装备，配备
exert an influence on,对…施加影响
fail to do,"未能(做)..., 没能(做)..."
fall short of,"没有达到标准, 不够, 不足"
find out,"na. 查出；发现；看清…的面目；识破
"
fit into,适合
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
for a while,暂时
for example,例如
for free,免费地
for instance,"例如
"
get along with,"进展, 走开"
get over,"爬过, 克服, 熬过, 恢复, 原谅"
give in,"na. 让步；屈服；投降；上交
"
give up,"na. 放弃；断绝；投降；自首
"
go for,"去找, 努力获取, 被认为, 主张, 拥护"
go into,"进入, 加入, 探究, 变得, 进入...状态
"
go wrong,"走错路, 出毛病, 失败"
have a knowledge of,无
have an influence on,对...有影响
