a collection of,"一批,一组"
have an impact on,对…有影响
hold on to,坚持
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
impose ... on,"v. 强迫；欺骗
"
in addition,另外
in addition to,"另外, 加之, 除…之外还"
in detail,详细地
in effect,"有效
"
in fact,"事实上
"
in fear of,"害怕,担心,为…提心吊胆"
in general,大多数
in particular,特别
in place of,"代替
"
in public,当众
in pursuit of, 追求，寻求
in return,作为报答
in terms of,"用...的话, 根据, 按照, 在...方面
"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
in turn,"na. 挨次
"
in vain,"徒然
"
inform sb. of,"v. 通知关于
"
in fashion,"时髦,流行,合潮流"
out of fashion,"不合时尚,不时兴的,过时"
insist on doing sth.,[网络] 坚持做某事；坚持要做；坚持要做某事
instead of,代替
isolate from ...,使与…隔离；使与…分离；使孤立
keep away from,(使)远离，(使)不接近；(使)不在
keep a promise,"遵守诺言, 履行诺言
"
break a promise,"不守诺言
"
keep up with,"跟上
"
lack of, 缺乏
later on,稍后
lay off,"na. 辞退；停止；暂停
"
lead to,"导致, 通向"
lie in,"在于..., 分娩, 睡懒觉"
live on,"继续生活, 以...为主食, 靠...生活"
live up to,"实践, 做到"
look after,"目送, 照顾, 关心"
look at,"看, 考虑, 着眼于"
look down upon, 蔑视，瞧不起; 鄙夷; 看轻; 掩鼻而过
look for,"寻找, 期待"
look forward to sth.," 期望, 盼望; 瞩望; 属望; 企"
look forward to doing sth.,无
look into,"窥视, 浏览, 观察
"
make a bargain,"达成协议,达成妥协"
make a difference,"有区别,有很大关系"
make a fuss,大惊小怪
make an effort to do sth.,努力(做)...
make for,"走向, 有利于, 倾向于"
make up,"na. 弥补；起草；定；签订
"
make up one's mind,"下决心, 接受, 承认"
make use of,使用
mark down,"记下, 标低价格
"
mistake ... for ...,错认
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
no longer,不再
no more than,na. 某乙也不
not any more,"不再, 不比...多"
not only ... but ...,无
not only ... but also ...,[网络] 不仅……而且；不但而且；两个不仅……而且
on average, 平均起来
on the contrary,"正相反
"
on the one hand ...,在一方面
on the other hand ...,另一方面
on time,"准时
"
once in a while,偶尔
only if,只要...就
originate from,发源于
other than,"不同于, 除了"
ought to,应该
owe ... to,"v. 由于；把…归功于
"
pass on,"na. “pass away”的变体；递；传达；通过
"
pay attention to,注意
pay for,付...款
pick up,"v. 拾起；探出；重新开始
"
play a role in ...,在...起作用
point of view,"观点
"
point out,"na. 指出
"
pose a challenge to ...,无
prefer to do sth.,[网络] 更喜欢做某事；宁愿做某事；宁可做某事
prefer A to B,宁要(甲)不要(乙)
prevent sb. from doing sth.,无
protect sb. from ...,保护
protect sb. against ..., 保护，保卫
protect sth. from ...,保护
protect sth. against ..., 保护，保卫
provide sb. with sth.,"v. 供给；供应
"
provide sth. for ...,"v. 为…作准备
"
put on,"na. 假话
"
put up with,"忍受, 容忍
"
put emphasis on,强调；着重于；强调；着重在，重视
place emphasis on,"强调,重视,着重于…"
lay emphasis on,"强调,重视,着重于…"
rather than,与其...不如...
refer to,"v. 查阅；提到
"
reflect on,"深思, 反省, 导致, 招致非议"
refrain from doing sth.,无
regard ... as,把...认作
regardless of,"不注意, 不关心"
rely on,"依赖, 依靠"
remind sb. of,"v. 提醒
"
resort to,"诉诸于, 采取
"
result from ...,"由...产生
"
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
run out,"na. 耗尽；用光；过有效期；失效
"
run through,"跑着穿过, 刺, 戳, 排练, 挥霍, 贯穿"
see ... as,[网络] 视…为；看作；看作为
see through,"na. 看穿；看透；识破；办好某事
"
serve as,"被用作..., 充当..., 起...的作用"
set up,"na. 建立；创立；发起；开办
"
show up,"na. 显眼；揭发；嘲笑；露面
"
slow down,(使)慢下来
so far,迄今为止
so that,所以
sooner or later,迟早
speed up,"加速
"
square ... with ...,"v. 与…相符合
"
stick to,粘住
stress sb. out,[网络] 压力过大；经历极大压力；压力大
struggle with,"向…作斗争,同…搏斗"
such as,"例如..., 像这种的"
suffer from,"忍受, 遭受
"
take ... apart,"na. 分解；拆分；剖析
"
take part, [体]参加比赛
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take care of,"照顾
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take over,"na. 接管；继承
"
take place,"na. 发生；举行
"
tend to do sth., 倾向于做某事
tend to sb.,"注意, 趋向"
tend to sth.,"注意, 趋向"
the same as ...,"与...相同, 与...一致"
think about,"考虑, 回想"
think of sb.,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think of sth.,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
think about sb.,"考虑, 回想"
think about sth.,"考虑, 回想"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
tidy up,整理
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn into,[网络] 了解
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn out,"v. 证明；原来；到场
"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn to sth.,"转向, 变成, 求助于, 起劲地开始行动"
turn to sb.,"转向, 变成, 求助于, 起劲地开始行动"
turn to sth.,"转向, 变成, 求助于, 起劲地开始行动"
turn up,"v. 朝上翻；出现
"
under no circumstances,"在任何情况下都不,决不"
up to date,"最近的, 最新的
"
use up,"na. 用完；耗尽
"
view ... as,"把...看作..., 认为...是..."
warn sb. about,v. 就…提出警告
warn sb. of,"na. 警告(某人)有危险
"
warn against doing sth.,无
watch out for,"戒备, 提防, 密切注意"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
work on,"继续工作, 设法说服, 影响"
work out,"v. 作出；拟定；制定；计划一下
"
wrap ... up,"na. 包起来；包好；穿暖和些；〈非正式〉完成
"
Mid-Autumn Festival,中秋节
Mid-Autumn Day,无
mooncake,n. 月饼
lunar month," 朔望月, 太阴月"
to worship the moon,无
family reunion,"合家欢聚,家族团聚"
family gathering,无
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
celebrate,"v. 庆祝, 祝贺, 举行"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
Chinese cultural heritage,无
Tang Dynasty,"n. 唐朝
"
Song Dynasty,[网络] 宋朝；宋代；南宋末年
Han Dynasty,汉朝
Ming Dynasty,[网络] 明朝；明代；明王朝
Chinese character,[计] 汉字
calligraphy,"n. 笔迹, 书法"
precious artwork,无
the Four Great Classic Novels in Chinese literature,无
the Four Great Inventions of ancient China,无
papermaking,"n. 造纸, 造纸业, 造纸学"
gunpowder,"n. 火药
"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
printing,"n. 印刷, 印刷术, 印花
"
movable type printing,[网络] 活字印刷术；活版印刷
handicraft industry,[经] 手工业
porcelain,"n. 瓷器, 瓷
a. 瓷制的"
water clock,"n. 水钟, 滴漏; 漏壶; 漏刻"
sundial,"n. 日规, 日晷"
an instrument used to detect earthquakes,无
longevity,"n. 长命, 长寿, 寿命
"
blessing,n. 祝福
harmony,"n. 协调, 和睦, 调和
"
landlord,"n. 房东, 地主
"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
Chinese civilization,[网络] 中国文明；中华文明；华夏文明
Confucianism,"n. 孔子思想, 儒家思想"
Taoism,n. 道教
Daoism,n. 道教
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
to chant poems,无
to collect medicinal herbs,无
to gather medicinal herbs,无
to weave or sew clothes,无
to cut firewood,无
to play chess,无
to farm and harvest,无
rural life, 农村生活
the traditional hospitality,无
cold dishes, 冷菜；冷菜类
hot dishes, 热菜类
western specialties,无
traditional Chinese dishes,无
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
banquet,n. 宴会
Manchu ethnic group,无
national costume, 民族服装
cultural exchanges, 文化交流
patriotic poets,无
dragon boat racing,无
dragon boat race, [体]赛龙舟
the State of Chu,无
Silk Road,丝绸之路
to meet Chinese market demands,无
to satisfy Chinese market demands,无
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
commodity,"n. 农产品, 商品, 有用的物品
"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
product,"n. 产品, 结果, 乘积
"
the reform and opening-up policy,无
planned economy,"计划经济
"
market-based economy,无
socialist market economy, 社会主义市场经济
an average GDP growth rate of 10% per year,无
to lift ... out of poverty,无
to eliminate extreme poverty,无
the UN Millennium Development Goals,无
annual economic growth target,无
health care, 卫生保健
social security,"n. 社会保障, 社会保险; <美>政府的公共福利计划"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
investment,"n. 投资
"
urban population,[法] 城市人口
urbanization process,无
historical moments,无
be both a challenge and an opportunity,无
people-oriented developing concepts,无
resource-saving and environment-friendly society,无
international communities,无
newly-developed,[网络] 新发展的；新近发展起来的
special economic zone,"[经] 特别经济区, 经济特区"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
comprehensive economic strength,无
entrepreneurs at home and abroad,无
domestic and foreign entrepreneurs,无
with the improvement of living standards,无
to make a living,无
economic boom,经济繁荣
outbound tourism,出国观光；出国旅游
tourism consumption,无
expenditure,"n. 开支, 费用, 用光, 消费额
"
food security,"n. 粮食安全；粮食保障
"
public health,[医] 公共卫生
output,"n. 输出, 产品, 产量
"
to upgrade industry,无
high speed train,[网络] 高速列车；高铁；高速火车
ocean vessel,[经] 海船
high speed rail,[网络] 高速铁路；高铁；高速铁路计划
to sign a contract,无
to facilitate market economy and urbanization,无
municipal government, 市政; 市政府
migrant workers,"un. 农业季节工人
"
rural and underdeveloped,无
less developed areas,无
service industry,n. 服务行业
commercialize,"vt. 使商业化, 使商品化, 使能营利, 在...发展商业
"
consumer market,[经] 消费者市场
to promote the development of organic farming,无
to promote the development of organic agriculture,无
sustainable development strategy,无
blueprint,"n. 蓝图, 设计图, (周详的)计划
vt. 制成蓝图, 计划"
well-off middle class,无
international rank,无
metropolis,"n. 大都市, 重要中心, 首府
"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
orderly government,无
social stability,[法] 社会稳定
foreign trade,[经] 对外贸易
to start businesses,无
to issue paper money,无
environmental and social imbalances,无
to reduce pollution,无
to tackle pollution,无
to improve energy efficiency,无
urban transport,内交通
motor vehicles,"n. 机动车辆,汽车"
private cars,[网络] 私家车；私人汽车；私人小汽车
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
clean and economical traffic system,无
PM2.5 emissions,无
pollution sources,污染源
exhaust emissions, 排放物
coal,"n. 煤, 木炭
v. 加煤"
sandstorm and construction dust,无
treatment of urban garbage and sewage,无
forestation,"n. 造林, 植林, 护林"
water recycling factory,无
unauthorized buildings,无
illegal buildings,无
to violate the regulations of emission limitation,无
with population increasing rapidly,无
sign sb. up,"签约参加工作, 签约雇用"
extracurricular classes,无
to increase the odds of being enrolled,无
key schools,无
to enter the labor market,无
to acquire a college diploma,无
to increase the student enrollments,无
vocational colleges, 职业院校
the Ministry of Education, 教育部
to study abroad, 留学；出国留学
overseas students,[网络] 留学生；海外留学生；外国留学生
classical Chinese garden,无
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
scenery,"n. 风景, 景色, 舞台布景"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
miniature landscape,盆景
winding paths and corridors,无
landscape painting scroll,无
freshwater lake,淡水湖
productive fishery,无
be located in ...,"坐落于..., 位于..."
be situated at ...,无
the provincial capital,无
... above sea level,[化] 海拔高度
salt lake," 盐湖, 盐池"
saltwater lake,咸水湖
square kilometers,[网络] 平方公里；平方千米；我国面积五十万平里
intermediate stop,无
many species of,无
seasonal,"a. 季节的, 依照季节的, 周期性的
"
total river flow,无
migration route, 回游路线
flood basin,洪泛平原;洪泛区;泛洪区
the original place,无
beautiful scenery, 远山近水；美景；烟景
picturesque,"a. 生动的, 如画的, 独特的, 别致的, 栩栩如生的"
exquisite,"a. 精致的, 细腻的, 敏锐的"
to cover a large area,无
to occupy a large area,无
hot areas,无
hot fields,无
applied science,[医] 应用科学
three-D printing,无
artificial organ research,无
to remove structural barriers,无
to promote energy conservation and emission reduction,无
to facilitate energy conservation and emission reduction,无
Chinese Academy of Sciences,中国科学院
research institute, 研究所，研究机构
research and development funds,无
innovation,"n. 改革, 创新
"
innovate,"vi. 改革, 创新"
be similar to ...,与...相似
similarly,"adv. 相像地, 类似于"
likewise,"adv. 同样地, 也"
to gain popularity,无
to ride on a wave of popularity,无
to enjoy an unstoppable rise in popularity,无
to become increasingly popular,无
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
traditional,"a. 传统的, 惯例的
"
conventional,"a. 传统的, 习惯的, 约定的
"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
convey,"vt. 传达, 运输, 转让
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
unique,"a. 独一无二的, 独特的, 稀罕的"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
get rid of,"摆脱, 除去"
constitute,"vt. 构成, 组成, 任命
"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
be aimed at doing sth.,无
to aim to do sth.,无
to aim for sth.,无
typical,"a. 典型的, 象征性的
"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
ramble,"n. 漫步, 随笔
vi. 漫步, 漫谈, 漫游, 蔓延
vt. 闲逛于"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
elaborately designed,无
world-known,[网络] 洋名天下
world-renowned,adj. 世界著名的; 名满天下
be renowned for,"因...而著名, 以...著称"
be famous for,"因…而出名,以…着称"
a series of,"一系列..., 一批..."
a range of, 一系列; 一些; 一套
extend,"v. 扩充, 延伸, 伸展, 扩大
"
derive from,"得自, 由来, 衍生"
originate from,发源于
stem from,"起源于,出自,出身于…"
to name after,无
play an important role, 起重要作用
play an important role in,在…中起重要作用
play an important part,[网络] 起重要作用；扮演重要角色；国家中起着重要作用
play an important part in,[网络] 在…方面起重要作用；在……中起重要作用；在……起重要作用
to spread to the whole world,无
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
facility,"n. 容易, 灵巧, 设备
"
in addition,另外
besides,"prep. 除...之外
adv. 而且, 此外"
moreover,"adv. 而且, 此外"
used to do, 过去常常做某事
that is to say,"就是, 即, 换句话说"
have no taste,无
so far,迄今为止
consist of,由...组成
include,"vt. 包括, 把...算入, 包住
"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
the coming year,无
the year to come,无
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
put much emphasis on,无
lay particular stress on,无
pay more attention to,[网络] 更加注意；注重；更注重
attach great importance to,无
enhance,"vt. 提高, 加强, 增加"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
for instance,"例如
"
for example,例如
such as,"例如..., 像这种的"
arise from,"从…中产生,由…而引起"
apart from,除了...之外
aside from,除...以外
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
to seek new breakthroughs,无
endeavor to do,无
make an effort to do,努力(做)...
attempt to do,v. 尝试去做
in an attempt to do,试图(做)...
make the best use of,"v. 充分利用
"
take full advantage of,充分利用
to provide equal opportunities,无
be largely attributed to,无
be most preferred,无
depict,"vt. 描述, 描写"
describe,"vt. 描述, 描绘, 画"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
at present,"现在, 目前"
currently,"adv. 现在, 当前, 一般, 普通
"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
at the present time,目前
presently,"adv. 目前, 不久"
to set goals,无
demonstrate,"vt. 示范, 证明
vi. 示威"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
indicate,"vt. 显示, 象征, 指示, 指出
"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
consider ... important,无
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
cherish,"vt. 珍爱, 怀有, 爱护"
think much of,认为...很不错
surpass,"vt. 超越, 凌驾, 胜过"
transcend,"vt. 超越, 胜过"
to catch up at a fast pace,无
it is estimated that ..., 估计，有人据计，据估计
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
with this specific goal,无
convert ... to,[计] 转换至
remarkable achievement,无
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
spring up,出现
consequently,adv. 所以
hence,"adv. 因此, 从此"
as a result,结果
therefore,"adv. 因此, 所以"
thus,"adv. 如此, 因此, 到如此程度
"
due to,"由于, 应归于"
owing to,"由于..., 因为..."
as a result of,作为结果
thanks to,由于
as a consequence of,"由于..., 因为..."
it is not surprising that ...,无
it is not uncommon to see ...,无
it is not rare to see ...,无
in spite of the fact that ..., 饶
it's worth mentioning that ...,无
take no account of,"不考虑, 不重视"
in one's interests,无
be subject to one's will,无
to bend to one's will,无
tend to,"注意, 趋向"
insist on doing,[网络] 坚持做某事；坚持要做；坚持要做某事
persist in doing,无
it is commendable that ...,无
to strike a balance,"结帐, 作出被认为公平的处理/调整"
when it comes to ...,当提到…
to offer assistance to,无
with regard to,关于
with respect to,"关于..., 至于...
"
concerning,"prep. 关于
"
regarding,prep. 关于
relating to,与...有关
as regards,"关于, 至于"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
conspicuously,"adv. 显著地, 超群地"
conspicuous improvements,无
to tackle the challenges,无
be involved in doing ...,无
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
acquire,"vt. 获得, 学到
"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
realize,"vt. 了解, 实现, 使显得逼真, 变卖
vi. 变卖"
accomplish,"vt. 完成, 达到, 实现, 使完美"
attain,"vt. 达到, 获得
vi. 达到"
have faith in,"na. 相信
"
have every confidence in,无
place a great deal of faith in,无
rely on,"依赖, 依靠"
pay a price,为所得付出代价
at the cost of,以...为代价
at the expense of,"归...付费, 在损害...的情况下
"
contribute to,捐献
unprecedented,"a. 空前的
"
a variety of,"各种各样的..., 种种..."
all kinds of,各种各样的
range from ... to ...,"从...到...(不等), 范围从...到..."
cooperate with ...,与...合作
big data,[网络] 大数据；海量资料；海量数据
