Abacavir,"n. 【药】阿巴卡韦
"
abacterial,"a. 非细菌性的
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
abdomen,"n. 腹部
"
abdominal,"a. 腹部的, 有腹鳍的
"
abduct,"vt. 诱拐, 绑架, 使外展
"
abduction,"n. 诱拐, 绑架, 外展
"
abductor,"n. 诱拐者, 绑架者, 外展肌
"
aberrant,"a. 偏离正路的, 偏离常轨的, 畸变的
"
aberration,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差
"
abiogenesis,"n. 自然发生论, 无生源说
"
abiotic,"a. 无生命的, 非生物的
"
abiotrophy,"n. [医]营养性衰竭,生活力缺失"
ablate,"v. 切除, 腐蚀, 溶化掉, 烧蚀"
ablation,"n. 腐蚀, 切除, 烧蚀
"
ablepsia,盲; 目盲; 视觉缺失
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
abnormality,"n. 反常, 畸形, 变态
"
abnormally,"adv. 不正常, 异常, (贬)不同寻常, 不规则, 变态, 反常"
abolish,"vt. 废止, 革除, 消灭
"
abortifacient,"n. 堕胎药
a. 堕胎的"
abortion,"n. 流产, 堕胎, 失败, 夭折, 中止
"
abortive,"a. 流产的, 堕胎的, 失败的
"
abound,"vi. 大量存在, 富于, 充满"
abrasion,"n. 磨擦, 磨损, 磨损处
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
abruption,"n. 突然分离, 分裂, 断裂"
abscess,"n. 脓肿
vi. 形成脓肿"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
absorbable,"a. 可吸收的, 容易被吸收的
"
absorbance,"n. 吸光率
"
absorbent,"a. 能吸收的
n. 吸收剂"
absorptiometry,"吸光测定法, 吸收测量学"
absorption,"n. 吸收, 专心, 全神贯注
"
absorptive,"a. 吸收性的, 有吸收力的
"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
abstinence,"n. 节制, 禁欲, 戒酒
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
abstraction,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品
"
abstruse,"a. 难解的, 深奥的"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
abundance,"n. 丰富, 充足, 大量
"
abundant,"a. 丰富的, 充分的, 大量的"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
academy,"n. 学院, 院校, 学会"
acalculia,n. [医]计算力缺失
acanthocytosis,[医] 棘红细胞[增多]症
acanthopanax,刺五加
acariasis,"n. 疥癣, 疥虫病"
acatalepsia,领会不能
accelerate,"v. 加速, 促进"
acceleration,"n. 加速, 促进, 加速度
"
accelerator,"n. 加速剂, 加速器, 油门
"
accentuate,"vt. 以重音念, 强调, 重读"
acceptable,"a. 可接受的, 合意的, 可忍受的"
acceptor,"n. 接受者, 承兑人, 接收器
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessibility,"n. 易接近, 可进入
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
acclimatization,"n. 服水土, 顺应, 适应环境
"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
accomplish,"vt. 完成, 达到, 实现, 使完美"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
accordance,"n. 一致, 和谐"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
accredit,"vt. 信托, 确认, 归结于, 委派
"
accretion,"n. 自然增大, 添加, 添加物, 连生
"
accumulate,"v. 积聚, 堆积"
accumulation,"n. 积聚, 累积, 积聚物
"
accuracy,"n. 精确, 正确
"
accurate,"a. 正确的, 精确的
"
accurately,"adv. 正确地, 精确地"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
acellular,"a. 非细胞的,非细胞组成的"
acetabuloplasty,[医] 髋臼成形术
acetabulum,"n. 髋臼, 吸盘
"
acetaminophen,"n. 乙酰, 退热净, 氨基酚
"
acetate,"n. 醋酸盐
"
acetazolamide,"n. [药]乙酰唑胺,醋唑磺胺(利尿剂)"
acetic,"a. 醋的, 乙酸的
"
acetone,"n. 丙酮
"
acetonuria,(=oxonuria)丙酮尿
acetyl,"n. 乙酰(基)
"
acetylator,[化] 乙酰化器
acetylcholine,"n. 乙酰胆碱
"
acetylcholinesterase,n. [生化]乙酰胆碱酯酶
acetylcysteine,乙酰半胱氨酸
acetylsalicylic,a. 乙酰水杨酸的
acetyltransferase,"乙酰转移酶
转乙酰酶"
achalasia,n. [医]弛缓不能
achieve,"vt. 完成, 达到
vi. 如愿以偿"
achlorhydria,n. [医]胃酸缺乏
achondroplastic,[医] 软骨发育不全的
achylia,胃液缺乏
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
acidemia,"n. 酸血症
"
acid-fast,[医] 耐酸的
acidic,"a. 成酸的, 尖刻的, 酸性的
"
acidification,"n. 使发酸, 酸化, 成酸性
"
acidify,"vt. 使变酸, 使成酸
vi. 变酸"
acidity,"n. 酸性
"
acidophilic,a. 嗜酸的
acidosis,"n. 酸中毒
"
aciduria,"n. 酸尿
"
acinar,[医] 腺泡的
acinebacter,无
acinetobacter,不动细菌属
acinus,"n. 小核果, 浆果, 葡萄核, 腺泡
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acknowledgement,"n. 承认, 确认, 感谢, 收到的通知
"
acleistocardia,卵圆孔未闭
acme,"n. 顶点, 极度, 最高点
"
acne,"n. 痤疮, 粉刺
"
aconitase,n. [生化]顺乌头酸酶
aconitine,"n. 乌头碱
"
acquaint,"vt. 使认识, 介绍"
acquire,"vt. 获得, 学到
"
acquired,"a. 获得的, 后天的
"
acquisition,"n. 获得, 获得物
"
acroanesthesia, 四肢麻木，肢端麻木，肢麻木
acrocentric,a. & n.[生](染色体)近端着丝(的)
acrocyanosis,n. [医]手足发绀
acrognosis,[医] 肢体感
acromegaly,"n. 肢端肥大症
"
acromion,n. [解剖]肩峰
acropachy,[医] 杵状指
acrosome,[医] 顶体(精子)
actigraphy,[网络] 腕动计；活动记录检查；腕动仪活动记录检查
actin,"n. 肌动蛋白
"
actinobacillus,[医] 放线杆菌属
actinobacteria,[网络] 放线菌门；放线菌纲；放线杆菌纲
actinomycete,n. 放射菌类
actinomycin,
actinomycosis,n. 放射菌病
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
activation,"n. 活化, 激活
"
activator,"n. 活化剂, 催化剂, 触媒剂
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
activity,"n. 活动, 行动, 活跃, 活力
"
actually,"adv. 事实上, 竟然, 如今, 现在"
acuity,"n. 尖锐, (疾病的)剧烈, 敏锐
"
acumen,"n. 敏锐, 聪明"
acupoint,穴位
acupuncture,"n. 针刺, 针刺疗法
vt. 施以针灸"
acupuncturist,n. 针灸医生
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
acutely,"adv. 尖锐地, 剧烈地"
acyanotic,不发绀的
acyclovir,[化] 阿昔洛韦; 无环鸟苷; 无糖环鸟苷
adapt,"vt. 使适应, 改编
vi. 适应"
adaptation,"n. 适应, 改编, 改编本
"
adaptin,[网络] 衔接蛋白；吞噬泡中接合素蛋白；蛋白与
adaptive,"a. 适应的, 能适应的"
adaptor,"n. 改编者, 插座, 转接器, 接合器, 拾音器
"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
addiction,"n. 入迷, 瘾
"
addition,"n. 加法, 增加的人(或物)
"
additional,"a. 附加的, 另外的, 额外的
"
additive,"a. 添加的, 附加的, 加法的, 累积的
n. 添加物"
adduct,"vt. 使内收
n. 加合物"
adduction,"n. 引证, 内收
"
adductor,"n. 内收肌
"
adenemphraxia,"腺梗阻,腺阻塞"
adenine,"n. 腺嘌呤
"
adenitis,n. [医]腺炎
adenocarcinoma,"n. 腺癌
"
adenohypophysis,n. [解]腺(性)垂体( 前叶 )
adenoid,"a. 腺的, 淋巴组织的
"
adenoidectomy,[医] 增殖腺切除术
adenoiditis,增殖腺炎
adenoma,"n. 腺瘤
"
adenomatosis,腺瘤病
adenomatous,"a. 腺瘤
"
adenomyoma,腺肌瘤
adenomyosis,[医] 子宫内膜异位
adenopathy,"n. 腺病
"
adenosarcoma,腺肉瘤
adenosine,"n. 腺苷
"
adenosis,n. [医] 腺病
adenosquamous,n. 腺鳞状
adenovirus,"n. 腺病毒
"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
adequacy,"n. 适当, 足够"
adequate,"a. 适当的, 足够的
"
adequately,"adv. 足够地, 适当地"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adherence,"n. 依附, 固执, 坚持
"
adherent,"n. 信徒, 追随者
a. 附着的, 发生联系的"
adhesion,"n. 附着, 粘着, 支持, 追随
"
adhesive,"a. 粘着的, 涂有粘性物质的
n. 粘合剂, 橡皮膏"
ad hoc,"特别地
"
adipocyte,n. 脂肪细胞
adipocytokine,[网络] 脂肪细胞因子；脂肪细胞激素；脂肪细胞素
adipokines,[网络] 脂肪因子；脂肪激素；脂肪细胞因子
adiponectin,n. 脂联素；脂肪连接蛋白
adipose,"a. 动物脂肪的, 肥胖的
n. 动物脂肪"
adiposis,n. [医]肥胖病
adiposity,"n. 肥胖
"
adjacent,"a. 毗连的, 邻近的, 连接的
"
adjoin,"v. 邻接, 毗连"
adjudication,"n. 判决, 裁定, 宣告
"
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
adjunctive,"a. 附属的, 附加的"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
adjustment,"n. 调整, 调节, 校正
"
adjuvant,"a. 辅助的
n. 佐药, 助手"
ad libitum,"随意
"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
administration,"n. 行政, 管理, 政府机关
"
administrative,"a. 管理的, 行政的
"
administratively,adv. 管理地；行政地
admission,"n. 准许进入, 入场费, 录用, 承认
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
admonition,"n. 警告, 劝告, 训诫
"
adnexa,"[复] n.[解](器官的)附件(如眼睛的眼睑和泪腺, 尤指胚胎的胚膜及其他临时部份)"
adnexal,"附件的, 附属器的"
adnexitis,(=annexitis)子宫附件炎
adolescence,"n. 青春期
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
adoptive,"a. 有收养关系的, 采用的
"
adrenal,"a. 肾上的, 肾上腺的
n. 肾上腺"
adrenalectomy,n. [医]肾上腺切除术
adrenalin,"n. 肾上腺素
"
adrenergic,"a. 肾上腺素能的, 释放出肾上腺素的
"
adrenocortical,"a. 肾上腺皮质的
"
adrenocorticoid,"肾上腺类皮质激素,肾上腺皮质素"
adrenocorticosteroid,"n. [生化]肾上腺皮质甾类,肾上腺皮质类固醇"
adrenocorticotropic,"a. 促肾上腺皮质的
"
adrenocorticotropin,n. [生化]促肾上腺皮质激素
adrenodoxin,n. [生化]( 肾上腺) 皮质铁氧还蛋白
adrenogenital,肾上腺(性)生殖器的
adriamycin,"n. [微]亚德里亚霉素,阿霉素(一种抗肿瘤药)"
adsorption,"n. 吸附
"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
adulterant,"a. 掺杂用的
n. 掺杂物"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
advantageous,"a. 有利的, 有益的"
advent,"n. 来到, 来临"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
adversely,"adv. 不利, 有害, 相反, 逆, 敌对, 逆向"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
advisable,"a. 适当的, 明智的"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
adynamic,"a. 无力的
"
aeration,"n. 通风
"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
aeroallergen,"n. [医]高空过敏症, 气源性致敏原"
aerobe,"n. 需氧菌
"
aerobic,"a. 需氧的, 需氧菌产生的, 增氧健身法的
"
aerococcaceae,气球菌科
aerogel,
