counteract,"vt. 抵消, 阻碍, 中和
"
enact,"vt. 制定法律, 扮演, 颁布
"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
inactive,"a. 不活动的, 停止的, 怠惰的, 闲置的
"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
acupuncture,"n. 针刺, 针刺疗法
vt. 施以针灸"
acumen,"n. 敏锐, 聪明"
aerobics,n. 有氧运动法；增氧健身法
aeroplane,"n. 飞机
"
aerospace,"n. 航天空间, 航天技术"
aerobic,"a. 需氧的, 需氧菌产生的, 增氧健身法的
"
agency,"n. 代理机构, 经销商, 中介
"
agenda,"pl. 议程, 日常工作事项
"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
agile,"a. 敏捷的, 灵活的, 机敏的"
coagent,"n. 合作者, 共事者, 帮手
"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
alter,v. 改变
alienate,"vt. 使疏远, 离间, 转让
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
antiquity,"n. 古老, 古代, 古代人, 古物"
antiquated,"a. 陈旧的, 过时的, 年老的"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
rectangle,"n. 长方形, 矩形
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
millennium,"n. 千禧年, 一千年"
anniversary,n. 周年纪念
perennial,"a. 常年的, 长期的, 反复的
"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
adapt,"vt. 使适应, 改编
vi. 适应"
aptitude,"n. 资质, 才能, 自然倾向
"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
aquarium,"n. 水族馆, 养鱼池, 水草缸
"
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
aqueous,"a. 水的, 似水的, 水成的
"
arcade,"n. 拱廊, 拱形建筑物, 有拱廊的街道
"
archive,"vt. 把...存档
n. 档案馆, 档案文件
"
monarch,"n. 帝王, 统治者, 元首
"
patriarch,"n. 创办人, 家长, 元老, 教长, (天主教)教皇
"
architect,"n. 建筑师, 设计者, 缔造者"
architecture,"n. 建筑学, 建筑式样
"
architectural,"a. 有关建筑的, 建筑学的"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
auditory,"a. 听觉的, 听觉器官的
"
auditorium,"n. 听众席, 礼堂
"
audiology,"n. 听力学
"
audio,"a. 音频的, 声音的
"
bullet,"n. 子弹
"
symbol,"n. 符号, 象征, 代号, 信条
"
biodiversity,n. 生物多样性
biometrics,"n. 生物统计学
"
microbiology,"n. 微生物学
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
briefcase,n. 公事包
briefly,"adv. 简短地, 扼要地, 简明地, 简单地"
coincide,"vi. 一致, 符合
"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
casualty,"n. 意外事故, 伤亡, 受害者
"
cascade,"n. 小瀑布, 瀑布状物
vi. 成瀑布落下
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
campfire,"n. 营火, 营火会"
campus,"n. 校园, 大学生活"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
conceptual,"a. 概念的
"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
perceptual,"a. 知觉的, 有知觉的"
recipe,"n. 食谱, 处方, 秘诀
"
conceive,"vt. 构思, 认为
vi. 怀孕"
capability,"n. 能力, 性能, 约束力
"
capacity,"n. 容量, 能力, 才能, 资格
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
captious,"a. 吹毛求疵的, 挑剔的"
captivate,"vt. 迷住, 迷惑"
captivity,"n. 囚禁, 被关
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
conception,"n. 观念, 概念
"
deceive,"v. 欺骗, 行骗"
encapsulate,"vt. 装入胶囊, 封进内部, 压缩
vi. 做成胶囊"
except,"vt. 除, 除外
vi. 反对
prep. 除了...之外, 若不是, 除非
conj. 只是"
handicapped,"a. 残疾的
"
hiccup,"n. 打嗝
v. 打嗝"
misconception,n. 误解
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
recapture,"n. 取回, 夺回
vt. 再捕获, 夺回, 重温"
receptacle,"n. 容器, 花托, 插座
"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
capsize,"v. 翻覆, 倾覆"
decapitate,"vt. 斩首, 杀头, 开除
"
cautious,"a. 谨慎的, 小心的"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
cautionary,a. 警告的
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
procedure,"n. 程序, 过程, 手续
"
