rocker,"n. 摇的人, 摇杆
"
tick,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠
vi. 滴答响, 活动
vt. 滴答地记录, 标记号于"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
in rhythm, 跄跄
cricket,"n. 蟋蟀, 板球"
give sb. no peace,无
churn,"n. 搅乳器
v. 搅拌, 搅动"
sob,"vi. 啜泣, 呜咽
vt. 哭诉, 哭得使
n. 啜泣, 呜咽"
ambition,"n. 野心, 志向"
expressive,"a. 表达的, 富于表情的"
puss,"n. 猫味, 小姑娘, 少女"
regardless of,"不注意, 不关心"
binding,"n. 装订
"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
something of a,"有…的味道,有点像…"
salary,"n. 薪水
vt. 给...加薪"
all the while,"一直, 始终"
bookcase,"n. 书架, 书柜"
encyclopedia,n. 百科全书
unabridged,"a. 未经删节的, 完整的"
secondarily,"adv. 在第二, 在其次, 在第二位"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
sink into,"v. 坠落
"
hedonist,"n. 快乐主义者, 享乐主义者"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
elope,"vi. 私奔, 潜逃
"
girlhood,"n. 少女时代, 少女们"
stay on,继续停留
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
come on,"偶遇, 进步, 发生, 开始, 出场, 快来"
come upon,"偶遇, 袭击, 要求, 成为...负担"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
make mention of,提到
make no mention of,vt.未提到
syllable,"n. 音节
vt. 分成音节
"
in words of one syllable,"用浅显明了的话说,简单明了地(说)…"
interlocutor,"n. 对话者, 谈话者"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
allot,"vt. 分配, 分摊指定
"
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
respective,"a. 分别的, 各自的"
engrave,"vt. 刻上, 雕刻, 铭记"
fleck,"n. 斑点, 雀斑, 斑纹
vt. 使起斑点, 使有斑纹, 使有斑驳"
garish,"a. 穿着花哨的, 炫耀的, 过分装饰的"
illustration,"n. 例证, 插图
"
unattached,"a. 无关系的, 无隶属的, 独立的, 未婚的, 未被查封的, 未任命的, 不连接的
"
heedless,"a. 不注意的, 不留心的, 不谨慎的"
coverless,a. 无覆盖的
shelve,"vt. 放置架子上, 搁置
vi. 渐渐倾斜"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
hearth,"n. 炉床, 灶台, 炉边
"
fairy,"n. 仙女, 精灵
a. 仙女的"
legend,"n. 传说, 传奇文学, 图例
"
whack,"vt. 猛击, 重打, 削减
vi. 重击
n. 重击, 重打"
terrifying,a. 令人恐惧的；骇人的；极大的
terrify,"vt. 使恐惧, 恐吓"
flank,"n. 侧面, 侧腹, 胁, 腰窝肉
vt. 攻击侧面, 守侧面
vi. 侧面与...相接"
backless,a. 无靠背的
be through fire and water,无
go through fire and water,赴汤蹈火
not hold a candle to,"不能与某人相提并论,比…差得远"
in gratitude to,无
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
by way of,"经由, 作为, 为了
"
inward,"a. 内心的, 向内的, 本来的
"
inwardly,"adv. 在内部, 向中心, 向内, 内里, 在心灵深处, 精神上, 思想上, 暗自地
"
cadence,"n. 韵律, 抑扬, 调子, 节奏
"
reside,"vi. 住, 居留, 属于
"
take charge of,"掌管..., 负责..., 看管..., 不受...控制
"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
go through the motions, 走过场; 敷衍; 糊弄
go through the motions of doing sth.,无
motivation,"n. 动机, 刺激, 推动
"
catch hold of,抓住
get hold of,"抓住, 得到"
take hold of,握住
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
"
painstaking,"n. 辛苦, 苦心, 工夫
a. 辛苦的, 勤勉的, 小心的"
ragged,"a. 衣衫褴褛的, 参差不齐的, 不协调的, 粗糙的, 刺耳的"
burrow,"n. 洞穴, 藏身处
vi. 掘洞穴, 躲藏
vt. 掘, 打洞"
mammal,"n. 哺乳动物
"
live off,"以...为食料, 靠...生活"
wedge,"n. 楔子, 楔形物, 起因, 导致分裂的东西
vt. 楔住, 挤进, 楔入
vi. 楔入, 挤进"
inmate,"n. 同住者, 被收容者
"
work up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
religion,"n. 宗教, 信仰
"
circulation,"n. 流通, 循环, 发行量
"
emphasis,"n. 强调, 加强, 重点, 强语气"
rehabilitation,"n. 复原
"
demonstrate,"vt. 示范, 证明
vi. 示威"
sizable,"a. 相当大的, 大小相当的"
devour,"vt. 吞食, 挥霍, 吞没"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
isolation,"n. 隔绝, 孤立, 隔离
"
catch sb. in the middle of,无
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
feign,"vt. 假装, 装作
vi. 作假"
dormant,"a. 睡眠状态的, 静止的
"
craving,"n. 渴望, 热望
"
confer,"vt. 授予, 带来
vi. 协商"
homemade,"a. 自制的, 国产的"
sensitivity,"n. 敏感, 灵敏度
"
afflict,"vt. 使苦恼, 折磨"
intensively,adv. 强烈地；集中地
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
veggie,n. 素食者
go veggie,无
food-borne,[医] 食物传播的
refer to,"v. 查阅；提到
"
Canadian,a. 加拿大的
vegetarian,"n. 素食者, 食草动物
a. 素食的"
unparalleled,"a. 无比的, 无双的, 空前的"
burger,n. 汉堡包（等于hamburger）
