apprentice,"n. 学徒, 生手
vt. 使做学徒"
aptitude,"n. 资质, 才能, 自然倾向
"
craftsman,"n. 工匠, 技工, 手艺人"
dexterity,"n. 灵巧, 机敏"
adroit,"a. 灵巧的, 敏捷的, 聪明的"
ambidextrous,"a. 两手俱利的, 搞两面派的
"
versatile,"a. 多才多艺的, 万用的, 万向的"
indigence,"n. 贫乏, 穷困的人们"
economize,"v. 节约, 节省, 有效地利用"
impoverish,"vt. 使贫穷, 耗尽...的力气"
destitute,"a. 穷困的, 缺乏的"
frugal,"a. 节俭的, 朴素的"
avarice,n. 贪婪
dowry,"n. 嫁妆
"
means,"n. 方法, 手段, 工具, 财产, 收入
"
opulence,"n. 富裕, 丰富, 大量"
covet,"v. 妄想, 垂涎"
fleece,"n. 羊毛, 羊毛制的覆盖物
vt. 剪下羊毛, 诈取"
hoard,"n. 贮藏物, 密藏的金钱
v. 囤积, 贮藏"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
financial,"a. 财政的, 金融的
"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
lucrative,"a. 有利益的, 获利的, 合算的"
craven,"n. 懦夫, 怯懦者, 胆小鬼
a. 怯懦的, 畏缩的, 胆小的"
trepidation,"n. 恐惧, 惊惶, 忧虑
"
cower,"vi. 畏缩, 退缩, 抖缩"
intimidate,"vt. 威胁, 恐吓
"
apprehensive,"a. 惴惴不安的, 敏悟的, 知晓的"
dastardly,"a. 卑怯的人, 懦夫, 怯懦"
timid,"a. 胆小的, 羞怯的"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
fortitude,"n. 刚毅, 坚毅, 不屈不挠"
audacious,"a. 大胆的, 鲁莽的, 胆大妄为的"
dauntless,"a. 不屈不挠的, 大胆的"
indomitable,"a. 不屈服的, 不屈不挠的"
plucky,"a. 有勇气的, 有胆量的, 大胆的"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
alias,"n. 别名, 化名
adv. 以化名为人所知
"
enigma,"n. 谜, 费解的事物"
lurk,"n. 潜伏, 潜行
vi. 暗藏, 潜伏, 埋伏
"
seclude,"vt. 使隔离, 使孤立, 隔开"
clandestine,"a. 偷偷摸摸的
"
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
stealthy,"a. 秘密的, 掩人耳目的, 鬼鬼祟祟的
"
avowal,"n. 公开表示, 坦率承认
"
apprise,vt. 通知
divulge,"vt. 泄露, 透露"
elicit,"vt. 引出, 推导出, 引起"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
overt,"a. 明显的, 公然的, 蓄意的
"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
accede,"vi. 同意, 正式加入, 就任, 继任"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
correspond,"vi. 符合, 通信, 相当
"
dovetail,"n. 楔形榫头
vt. 与...吻合, 用鸠尾榫接合
vi. 吻合"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
relent,"vi. 变宽厚, 变温和, 动怜悯之心"
compatible,"a. 能共处的, 可并立的, 适合的
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
altercation,"n. 争论, 争吵"
cleavage,"n. 劈开, 裂片, 分裂
"
discord,"n. 不调和, 不和
vi. 不一致, (声音)刺耳"
discrepancy,"n. 不符合, 差异, 不相符之处
"
friction,"n. 摩擦, 摩擦治疗, 不和
"
litigation,"n. 诉讼, 起诉
"
antagonize,"vt. 使对抗, 使敌对, 反对
vi. 引起反抗"
dissent,"n. 异议
vi. 持异议, 不同意"
embroil,"vt. 使卷入, 牵连"
estrange,"vt. 使疏远, 离间, 使离开"
wrangle,"vi. 争论, 口角
vt. 辩驳, 放牧
n. 口角, 吵嘴"
irreconcilable,"a. 不能和解的, 不能协调的, 矛盾的"
at variance,"有分歧, 不和"
condiment,"n. 辛辣调味品
"
glutton,"n. 暴食者, 酷爱...的人"
devour,"vt. 吞食, 挥霍, 吞没"
slake,"vt. 消除, 使清凉, 熄灭
"
edible,"n. 食品, 食物
a. 可食用的"
luscious,"a. 甘美的, 浓厚的, 满足感官的"
palatable,"a. 美味的, 好吃的, 可口的
"
succulent,"a. 多汁的, 多水分的
"
voracious,"a. 贪吃的, 狼吞虎咽的, 贪婪的"
gamut,"n. 音阶, 整个范围, 全部, 音域"
iota,"n. 希腊字母第9位(I,L), 极微小"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
pittance,"n. 少量津贴, 小额施舍, 少量"
superabundance,"n. 多余, 过多, 剩余"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
colossal,"a. 巨大的, 巨像似的"
commodious,"a. 宽敞的, 方便的"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
infinitesimal,"a. 极小的, 极微的, 无限小的
n. 极小量, 极微量, 无限小"
inordinate,"a. 过度的, 紊乱的, 过分的"
picayune,"n. 小钱币, 五分钱币, 微不足道的事物, 无足轻重的人
a. 微不足道的, 不值钱的, 琐细的, 眼光狭小的, 小气的, 可鄙的"
puny,"a. 微小的, 弱小的, 微不足道的"
infirmity,"n. 虚弱, 病身, 疾病
"
debilitate,vt. 使衰弱
enervate,"vt. 使衰弱
a. 衰弱的, 无力的"
incapacitate,"vt. 使无能力, 使无行为能力
"
decadent,"a. 衰微的, 颓废的
n. 颓废派"
decrepit,a. 衰老的
dilapidated,"a. 破坏的；荒废的, 要塌似的"
flimsy,"a. 易坏的, 脆弱的, 浅薄的
n. 易损坏的东西(或材料), 薄纸, 描图用薄纸, 薄纸稿纸"
frail,"a. 脆弱的, 虚弱的, 意志薄弱的
n. 少女, 少妇, 灯心草篓"
bulwark,"n. 保障, 壁垒, 防波堤"
citadel,"n. 城堡, 避难处"
forte,"n. 长处, 特长, 拿手, 优点"
vigor,"n. 精力, 活力"
invigorate,"vt. 使精力充沛, 鼓舞, 搞活, 使健壮"
cogent,"a. 使人首肯的, 使人信服的, 中肯切题的
"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
impregnable,"a. 无法攻取的, 坚强不屈的, 驳不倒的"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
tenacious,"a. 紧握的, 固执的, 不屈不挠的, 黏着力强的
"
vehement,"a. 热烈的, 激烈的"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
heedless,"a. 不注意的, 不留心的, 不谨慎的"
inadvertent,"a. 漫不经心的, 非故意的"
remiss,"a. 怠慢的, 不小心的, 没精打采的, 疏忽的"
slovenly,"a. 邋遢的, 不修边幅的, 不整洁的, 懒散的, 潦草的, 马虎的
adv. 邋遢地, 不修边幅地, 不整洁地, 懒散地, 潦草地, 马虎地"
solicitude,"n. 焦虑, 关心, 担心, 挂念, 渴望, 担心的事情"
vigilance,"n. 警戒, 警觉, 失眠症
"
heed,"n. 注意, 留心
v. 注意, 留心"
scrutinize,"vt.vi. 细看, 仔细检查, 审查, 细阅
"
discreet,"a. 小心的, 慎重的"
meticulous,"a. 一丝不苟的, 精确的, 过细的"
scrupulous,"a. 小心谨慎的, 细心的"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
denizen,"n. 居民, 外籍居民, 外来语
vt. 给...居住权, 移植"
domicile,"n. 住所, 住宅
v. (使)定居"
inmate,"n. 同住者, 被收容者
"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
nomad,"n. 游牧部落一员, 流浪者
a. 游牧的, 流浪的"
sojourn,"n. 逗留, 旅居
vi. 逗留, 旅居"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
migrate,"vi. 移动, 移往, 随季节而移居
"
nomadic,"a. 游牧的, 游牧生活的, 流浪的
"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
defiance,"n. 蔑视, 挑战
"
infraction,"n. 违反, 侵害
"
insurgent,"a. 谋叛的, 起义的, 澎湃的
n. 起义者, 叛乱者"
insurrection,"n. 起义, 暴动, 反抗
"
malcontent,"a. 抱不平的, 不满的, 不服的
n. 不满现状的人"
sedition,"n. 煽动骚乱, 暴动, 妨害治安, 骚动
"
transgress,"vt. 违反, 犯罪, 侵犯
vi. 越界, 违法"
trespass,"n. 擅自进入, 非法侵入, 侵害
vi. 侵害, 侵入, 打扰, 冒犯"
insubordinate,"a. 不顺从的, 地位不低的"
perverse,"a. 乖张的, 故意作对的, 有悖常情的, 执迷不悟的, 歪曲的, 错误的, 不正当的
"
allegiance,"n. 忠贞, 效忠"
acquiesce,"vi. 默许, 默然同意"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
docile,"a. 容易教的, 温顺的"
meek,"a. 温顺的, 逆来顺受的"
pliable,"a. 易弯的, 柔顺的, 圆通的"
tractable,"a. 驯服的, 易于管教的
"
dawdle,"v. 游手好闲, 混日子"
procrastinate,"v. 延迟, 耽搁"
protract,"vt. 延长, 拖延, 伸出, 绘制
"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
concurrent,"n. 同时发生的事件
a. 同时发生的, 一致的
"
imminent,"a. 即将来临的, 逼近的"
incipient,"a. 起初的, 发端的, 初期的
"
intermittent,"a. 间歇的, 断断续续的
"
perennial,"a. 常年的, 长期的, 反复的
"
sporadic,"a. 偶尔发生的, 零星发生的, 分散的
"
essence,"n. 实质, 本质, 香精
"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
necessitate,"vt. 迫使, 使成为必需, 需要"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
obviate,"vt. 除去, 排除, 使成为不必要, 避免"
compulsory,"a. 被强制的, 强迫的, 义务的
"
gratuitous,"a. 免费的, 无理由的
"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
incumbent,"a. 现任的, 依靠的, 负有义务的
n. 领圣俸者, 在职者"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
pressing,"a. 紧迫的, 迫切的, 热切的
n. 压, 压榨, 冲压件, 唱片"
superfluous,"a. 多余的, 过剩的"
autobiography,n. 自传
autocrat,n. 独裁者
autograph,"n. 亲笔, 亲笔签名, 手稿
vt. 亲笔签名于, 亲笔写"
automation,"n. 自动化, 自动操作
"
automaton,"n. 自动机, 机器人
"
autonomy,"n. 自治, 自治权
"
autopsy,"n. 验尸
"
authentic,"a. 可靠的, 可信的, 真正的
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
autonomous,"a. 自治的
"
aristocracy,"n. 贵族, 上层社会, 知识界杰出分子
"
autocracy,"n. 独裁统治, 独裁统治的国家
"
bureaucracy,"n. 官僚, 官吏
"
democracy,"n. 民主政治, 民主主义
"
plutocracy,"n. 富豪统治
"
technocracy,"n. 技术专家政治论, 技术专家治国论
"
aristocrat,n. 贵族
Democrat,"n. 民主人士, 民主主义者, 民主党党员
"
demagogue,n. 煽动者
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
democratize,v. (使)民主化
democratic,"a. 民主的
"
panacea,"n. 万能药, 灵丹妙药
"
pandemonium,"n. 魔窟, 地狱, 阎王殿, 无法无天, 一片混乱, 大混乱, 大吵大闹, 乌烟瘴气"
panoply,"n. 全套披甲, 全幅盔甲, 华服美饰"
panorama,"n. 全景, 全貌, 概论, 范围"
pantomime,"n. 手势, 哑剧, 舞剧
v. 打手势, 演哑剧"
Pan-American,泛美分校；泛美航空公司
anachronism,"n. 时代错误, 不合潮流的人(物)
"
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
chronological,"a. 年代学的, 按时间顺序的, 按照年月顺序的
"
synchronize,"vt. 使同步, 使合拍
vi. 同时发生
"
kleptomania,"n. 盗窃癖
"
mania,"n. 狂躁, 热衷, 狂热
"
maniac,"a. 发狂的, 癫狂的, 疯狂的
n. 狂人, 疯子"
pyromania,"n. 放火狂
"
maniacal,"a. 躁狂的, 狂乱的, 狂热的, 疯狂的
"
encyclopedia,n. 百科全书
orthopedic,"a. 整形术的, 整形学的
"
pedagogue,"n. 小学教师, 教员, 学究"
pedagogy,"n. 教育学, 教授法, 教学工作"
pediatrician,"n. 儿科医生, 儿科专家
"
pediatrics,"n. 小儿科
"
orthodontist,"n. 畸齿校整医生
"
orthography,"n. 正确拼字, 拼字法, 正字法"
orthopedist,[医] 矫形外科医师
orthodox,"a. 正统的, 传统的, 惯常的"
unorthodox,"a. 非正统的, 异教的"
genealogy,"n. 系谱, 宗谱, 家系, 世系, 血统
"
genesis,"n. 发生, 起源, 创世记
"
homogenize,"vi. 变均匀
vt. 使均匀"
heterogeneous,"a. 异种的, 异质的, 由不同成分形成的
"
homogeneous,"a. 同种的, 同质的, 齐性的
"
barometer,"n. 气压计
"
