intellect,"n. 智力, 出众的才华, 知识分子
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
transmission,"n. 传输, 传送, 变速器
"
amaze,vt. 使吃惊
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
clause,"n. 子句, 条款
"
differ,"vi. 不一致, 不同
"
evidence,"n. 根据, 证据, 迹象
"
insight,"n. 察看, 洞察力, 见识
"
prison,"n. 监狱, 监禁, 拘留所
vt. 监禁"
sight-seeing,"n. 观光, 游览
a. 观光的, 游览的"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
ambiguous,"a. 不明确的, 模棱两可的
"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
repository,"n. 贮藏所, 贮物器, 仓库, 博物馆, 店铺, 陈列室, 资源丰富地区, 墓地, 亲信, 知己
"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
bummer,"n. 无赖, 游民, 游荡者"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
digit,"n. 数字, 位数, 指头
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
insist,"v. 坚持, 坚决主张, 强调"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
similar,"a. 相似的, 类似的
n. 相似的东西"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
clergyman,n. 牧师
dilemma,"n. 困境, (进退两难的)窘境"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
formation,"n. 形成, 构造, 编队
"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
mournful,"a. 悲恸的, 悲哀的, 令人惋惜的"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
amount,"n. 总数, 总额
vi. 总计, 等同"
bun,"n. 小面包
"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
"
exaggerate,"v. 夸大, 夸张"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
moment,"n. 片刻, 瞬间, 重要, 阶段, 力矩
"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
renege,"vi. 违例出牌, 食言, 毁约
vt. 否认, 放弃, 拒绝
n. 出牌违例"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
alphabet,"n. 字母
"
brochure,"n. 小册子, 小册"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
devil,"n. 魔鬼
vt. 折磨, 戏弄"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
innovation,"n. 改革, 创新
"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
alter,v. 改变
clamp,"n. 夹钳
vt. 夹紧, 强加"
devote,"vt. 投入于, 献身"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
inquiry,"n. 质询, 探索, 调查, 询盘
"
monopoly,"n. 垄断, 专卖权, 独占事业
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
trait,"n. 特征, 特性, 一笔, 少许"
altitude,"n. 高度, 海拔, 高处
"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
diagnosis,"n. 诊断
"
foreign-born,"adj. 在外国出生的
"
insatiable,"a. 不知足的, 贪求无厌的
"
monster,"n. 怪物, 恶人, 巨物
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
transaction,"n. 交易, 办理, 学报, 和解协议
"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
dialect,"n. 方言, 同源语"
foremost,"a. 最初的, 最重要的
adv. 在最前"
insecurity,"n. 不安全, 不安全感
"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
replace,"vt. 代替, 替换, 放回, 归还
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
classical,"a. 古典的, 正统派的, 经典的
"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
foresee,"vt. 预见, 预知"
insensitivity,n. 感觉迟钝；不灵敏性；昏迷
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
instrument,"n. 工具, 手段, 仪器
"
mutual,"a. 相互的, 共有的
"
profess,"vt. 声称, 以...为业, 伪称, 讲授
vi. 表白, 承认, 当教授"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
sceptical,"a. 怀疑论的, 怀疑的"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
clinic,"n. 诊所, 临床教学
"
disapproval,n. 不赞成
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
insurance,"n. 保险, 保险业, 保险费
"
mystery,"n. 秘密, 神秘, 奥秘"
proficiency,"n. 精通, 熟练, 精练"
resent,"vt. 愤恨, 憎恶, 怨恨"
