a,"第一个字母 A; 一个; 第一的
art. "
an,art. 一
away,adv. 离去
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
bake,"vt. 烘焙, 烤
vi. 烤面包
n. 烘焙, 烤"
bike,"n. 自行车, 脚踏车"
blow a kiss,[网络] 飞吻；给一个飞吻；来个飞吻吧
boy,"n. 男孩
"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
cow,"n. 母牛, 母兽
vt. 威胁"
crazy,"a. 发狂的, 狂热的"
do,"v. 做, 进行, 完成"
don't,"(= do not)不要
n. 禁忌"
do not,无
football,"n. 足球, 橄榄球"
go to school,上学
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
kiss,"n. 吻
vt. 吻
vi. 接吻"
policeman,"n. 警察
"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
street,"n. 街道, 马路, 街区
a. 街道的"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
April,n. 四月
August,"n. 八月
a. 威严的, 令人敬畏的"
autumn,"n. 秋天, 成熟期"
Canada,n. 加拿大
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
December,n. 十二月
February,n. 二月
how old, 几岁
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
January,n. 一月
June,n. 六月
March,abbr. Master of Architecture 建筑学硕士
May,"n. 五月
aux. 愿能, 可以, 愿意"
Nice to meet you.,[网络] 很高兴见到你；很高兴认识你；见到你很高兴
November,n. 十一月
October,n. 十月
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
September,n. 九月
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
where,"adv. 在哪里
pron. 哪里
n. 地点"
which,"pron. 哪一个, 那一个"
why,"adv. 为什么
n. 原因, 理由"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
ah,"interj. 啊, 哈"
any,"a. 任何的
pron. 任何"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
behind,"adv. 在后地
prep. 在...背后"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
good idea, 好主意
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
in front of,在...前面
it,"pron. 它
"
mm,"毫米
"
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
sir,"n. 先生, 阁下"
teacher,"n. 教师, 老师, 导师"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
under,"prep. 在...之下, 低于
a. 下面的, 从属的
adv. 在下面"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
Well done!, 做得不错
what about,adv. 怎么样，以为如何（提出建议或用以引出话题）
at,"prep. 在, 向, 对
"
British,"a. 英国的
n. 英国人, 英国英语"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
dinner,"n. 晚餐, 正餐, 宴会"
eighty,"num. 八十, 八十个"
fifty,"num. 五十, 五十个"
forty,"num. 四十, 四十个"
has got,[网络] 有；拥有；过去完成时
his,"pron. 他的
"
hole,"n. 孔, 洞, 穴, 漏洞
vt. 挖洞, 掘坑
vi. 进洞, 凿洞"
how much,"多少, 什么价钱, 到什么程度"
hundred,"n. 百, 百个东西
num. 百, 百个
a. 一百的, 许多的"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
London Zoo,[网络] 伦敦动物园；英国伦敦动物园；伦敦动物园的
look for,"寻找, 期待"
lunch,n. 午餐
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
money,"n. 金钱, 一笔款, 财富, 货币, 金额
"
ninety,"num. 九十, 九十个"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
seventy,"num. 七十, 七十个"
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
sixty,"num. 六十, 六十个"
song,"n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
thirty,"num. 三十, 三十个"
to,"prep. 到, 向, 趋于
adv. 向前"
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
China,"n. 中国, 瓷器
a. 中国的"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
computer,"n. 电脑, 电子计算机
"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
head teacher,n. 校长; 班主任
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
here,"adv. 在这里, 此时, 这里
n. 这里"
Japan,"n. 日本
"
library,"n. 图书馆, 藏书, 库
"
of,"prep. 的, 属于"
often,"adv. 时常, 常常"
or,"conj. 或, 或者
"
our,pron. 我们的
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
sport,"n. 运动, 游戏, 娱乐, 消遣, 玩笑
a. 运动的, 户外穿戴的
vi. 游戏, 参加体育运动, 戏弄, 产生变种
vt. 炫耀, 使产生变种"
