asperity,"n. 粗暴, 严酷, 粗糙"
bane,"n. 祸根, 毒药, 灭亡的原因, 灭亡
"
buffoon,n. 小丑
doleful,"a. 悲哀的, 忧郁的, 阴沉的"
extrovert,"n. 外向性格的人
"
garish,"a. 穿着花哨的, 炫耀的, 过分装饰的"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
imbue,"vt. 使感染, 灌输, 使浸透"
instigate,"vt. 教唆, 怂恿, 煽动
"
penchant,"n. 爱好, 嗜好"
rambunctious,"a. 粗暴的, 难控制的, 喧闹的"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
rudiment,"n. 基础, 入门, 雏形, 退化器官
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
unremitting,"a. 不懈的, 不断的, 坚忍的, 持续的
"
adjudicate,"v. 判决, 宣告, 裁定"
centennial,"n. 百年纪念
a. 一百年的"
countenance,"n. 面容, 面部表情, 支持, 镇定"
disgruntle,vt. 使不高兴
equilibrium,"n. 平衡, 平静, 均衡
"
expedite,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
gird,"n. 嘲笑
vt. 用带束, 佩带, 围绕, 嘲笑
vi. 准备, 嘲笑"
gratuitous,"a. 免费的, 无理由的
"
illusory,"a. 产生幻觉的, 幻影的, 错觉的
"
implacable,"a. 不能安抚的, 难和解的, 不变的"
luminary,"n. 发光体, 杰出人物"
manifesto,"n. 宣言, 声明"
mesmerize,"vt. 施催眠术, 迷住, 迷惑
"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
spurious,"a. 假造的, 伪造的, 欺骗的
"
curtail,"vt. 缩减, 剥夺, 简略
"
discriminate,"v. 区别, 差别待遇"
espionage,"n. 间谍活动
"
inalienable,"a. 不能让与的, 不能转售的, 不能夺取的, 不可分割的"
incarcerate,"vt. 下狱, 监禁, 禁闭
"
indignity,"n. 侮辱
"
indiscriminate,"a. 无差别的, 任意的, 杂乱的
"
infamous,"a. 无耻的, 不名誉的, 声名狼藉的"
intercede,"vi. 说情, 调解
"
malign,"a. 有害的, 恶性的, 有恶意的
vt. 诽谤, 说坏话"
perpetrate,"vt. 做(恶), 犯(罪), 胡说, 恶劣地做
"
rampant,"a. 猖獗的, 蔓生的, 猛烈的, 跃立作扑击状的"
rancor,"n. 敌意, 深仇"
reparation,"n. 补偿, 赔偿, 弥补, 修复, 修理
"
smattering,"n. 肤浅的知识, 一知半解的知识, 片断的知识, 少数, 少量"
accolade,"n. 荣誉, 赞美, 骑士爵位的授予礼, 连谱号"
adamant,"n. 坚硬的东西
a. 非常坚硬的, 坚强的, 固执的"
adulate,"vt. 谄媚, 过分称赞"
altercation,"n. 争论, 争吵"
annals,"n. 编年史, 活动年报, 历史"
assiduous,"a. 勤勉的, 刻苦的"
chary,"a. 细心的, 吝啬的, 谨慎的"
clique,"n. 派系, 集团
vi. 结党
"
decrepit,a. 衰老的
endow,"vt. 捐赠, 捐助, 赋予
"
ephemeral,"a. 朝生暮死的, 短命的, 短暂的
"
ingratiate,"vt. 使迎合, 使讨好"
pantheon,"n. 众神庙, 万神殿, 罗马万神殿"
perverse,"a. 乖张的, 故意作对的, 有悖常情的, 执迷不悟的, 歪曲的, 错误的, 不正当的
"
tutelage,"n. 守护, 监护, 指导
"
acrimony,"n. 严厉, 尖刻
"
affinity,"n. 吸引, 姻亲关系, 类同
"
ambivalent,"a. 矛盾的, 模棱两可的
"
cessation,"n. 停止
"
emaciated,"a. 瘦弱的, 衰弱的"
enclave,"n. 被包围的领土
"
engender,"vt. 产生, 引起
vi. 发生, 形成"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
illicit,"a. 不法的, 不正当的, 禁止的
"
indigenous,"a. 本土的, 国产的, 固有的
"
inexorable,"a. 无情的, 冷酷的"
infatuated,"a. 迷恋着的, 昏头昏脑的"
insatiable,"a. 不知足的, 贪求无厌的
"
poignant,"a. 辛酸的, 尖锐的, 剧烈的"
proselytize,"vt. 使改变宗教信仰
vi. 劝诱改变宗教信仰"
ameliorate,"v. 改善, 改良, 改进"
baleful,"a. 有害的, 恶意的"
berate,vt. 严责
circumvent,"vt. 绕行, 陷害, 包围, 智取"
compunction,"n. 良心的责备, 后悔, 悔恨"
condone,"vt. 赦, 宽恕
"
diminutive,"a. 小的, 小型的, 指小的
n. 身材极小的人, 指小词, 爱称"
euphemism,"n. 委婉说法, 委婉语"
expendable,"a. 可消费的, 消耗性的, 可牺牲的, 值得消耗的, 可消耗的
n. 消耗物, 可牺牲的人, 可牺牲的物"
heresy,"n. 异端, 异教
"
infirmity,"n. 虚弱, 病身, 疾病
"
profane,"a. 世俗的, 不敬神的, 亵渎的
vt. 亵渎, 玷污"
recompense,"n. 报偿, 酬金, 赔偿
vt. 报偿, 赔偿, 报酬"
repast,"n. 餐, 就餐
vi. 享用, 就餐"
servitude,"n. 奴隶状态, 惩役, 地役权
"
castigate,"vt. 惩罚, 苛评, 修订"
colloquial,"a. 会话的, 口语的, 口语体的"
epitaph,"n. 墓志铭, 碑文"
exodus,"n. 大批的离去
"
inter,"vt. 埋葬
prep. 在中间"
lacerate,"vt. 划破, 割破, 使痛心, 撕碎
a. 撕碎的, 受折磨的"
largesse,"n. 慷慨的赠与, 慷慨赠与物, 慷慨的赏钱"
obituary,"a. 关于死亡的, 讣告的
n. 讣告"
omnivorous,"a. 无所不吃的, 杂食的, 什么都喜欢的"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
rendition,"n. 译文, 施舍, 表演
"
resurgence,"n. 再起, 复活, 再现"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
stipend,"n. 薪金, 定期生活津贴
"
subservient,"a. 有帮助的, 有用的, 奉承的"
adjacent,"a. 毗连的, 邻近的, 连接的
"
beset,"vt. 围绕, 使苦恼, 镶嵌"
cede,"vt. 割让
"
circuitous,"a. 迂回的, 间接的, 绕行的"
desultory,"a. 散漫的, 无条理的, 不连贯的"
galvanize,"vt. 通电, 镀锌, 使...感到震惊"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
inconsequential,"a. 不合逻辑的, 不合理的, 不重要的"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
materialize,"vt. 赋予实质, 使体现, 物质化
vi. 成有形, 体现, 实现"
muster,"n. 召集, 集合, 检阅, 清单, 花名册, 样品
vt. 召集, 集合, 应召
vi. 集合, 集中"
prohibitive,"a. 禁止的, 禁止性的
"
reminisce,"vt. 追忆说
vi. 追忆往事, 话旧"
vanguard,"n. 前锋, 先锋, 先驱"
visionary,"a. 幻像的, 幻想的, 梦想的
n. 有眼力的人, 空想家, 梦想者"
cautionary,a. 警告的
constrain,"vt. 强迫, 限制, 关押"
flotilla,"n. 小舰队, 小型船队"
gossamer,"n. 小蜘蛛网, 蛛丝, 薄纱
a. 薄弱的, 轻飘飘的"
