take inventory,[经] 实地清点盘存
write a report,[网络] 写报告；写一份报告；写报导
speak to the boss,无
go to the bank,[网络] 上银行；去银行；我必须去趟银行
eat lunch,[网络] 吃午饭；吃午餐；吃中午饭
give out the paychecks,无
set up the meeting room,无
see the personnel officer,无
get gas,无
drive to the gym,无
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
do sit-ups,无
be,"v. 是, 表示, 在
"
was,be的过去式
were,be的过去式
been,be的过去分词
begin,"v. 开始
"
began,begin的过去式
begun,begin的过去分词
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
blew,blow的过去式和过去分词
blown,"a. 吹制的, 喘气的, 开着花的
blow的过去分词"
do,"v. 做, 进行, 完成"
did,do的过去式
done,"a. 完成了的, 好了的
do的过去分词"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
drew,draw的过去式
drawn,"a. 拔出的
draw的过去分词"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
drove,"n. 畜群
drive的过去式"
driven,"a. 有紧迫感的
drive的过去分词"
eat,"v. 吃, 腐蚀"
ate,"eat的过去式
"
eaten,eat的过去分词
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
fell,"vt. 击倒
n. 一季所伐的木材, 折缝
a. 凶猛的, 可怕的
fall的过去式"
fallen,"a. 堕落的, 落下来的, 陷落的
fall的过去分词"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
flew,fly的过去式
flown,fly的过去分词
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
got,"get的过去式和过去分词
"
gotten,get的过去分词
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
gave,give的过去式
given,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
went,go的过去式
gone,"a. 离去的, 死去的, 用完的
go的过去分词"
