enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
assembly,"n. 与会者, 集会, 装配, 组件
"
headmaster,"n. (中小学)校长, 监工"
earn,"vt. 赚得, 获得, 博得
"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
devote,"vt. 投入于, 献身"
literature,"n. 文学, 文艺, 著作
"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
challenging,"a. 挑战的, 引起争论的"
encouragement,"n. 鼓励, 激励, 奖励
"
cooking,"n. 烹饪
"
for free,免费地
extra,"n. 额外的事物, 另外的收费
a. 额外的, 特别的
adv. 额外地, 特别地, 非常地"
fond,"a. 喜欢的, 宠爱的, 温柔的"
Spanish,"n. 西班牙人, 西班牙语
a. 西班牙的"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
dessert,n. 餐后甜点
look back,"回顾, 三心二意
"
look back on,"回头看,回顾,追忆"
satisfaction,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会
"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
fluent,"a. 流利的, 流畅的"
painting,"n. 画, 绘画, 油漆
"
donate,v. 捐赠
kindness,"n. 仁慈, 亲切, 和蔼"
splendid,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
make use of,使用
title,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕
vt. 授予头衔, 加标题于
"
dynasty,"n. 朝代, 王朝"
somehow,adv. 不知何故
