infection,"n. 传染, 影响, 传染病
"
insurance,"n. 保险, 保险业, 保险费
"
over time,[计] 超时
predict,"v. 预知, 预言, 预报"
by now,到目前为止
do well,"做得好, 进展好"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
how about," …怎么样, …怎么办"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
muscle,"n. 肌肉, 臂力
"
take over,"na. 接管；继承
"
show up,"na. 显眼；揭发；嘲笑；露面
"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
all the way,"从远道, 自始至终, 一路上"
come to life,苏醒
software,"n. 软件
"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
visually,"adv. 看, 视力, 视觉, 可见, 凭视力, 看到, 看得见, 光学, 形象化, 栩栩如生"
creativity,"n. 创造力, 创造性"
corporate,"a. 社团的, 合伙的, 公司的
"
elementary,"a. 初步的, 基本的
"
motivation,"n. 动机, 刺激, 推动
"
believe in,"信仰, 信任"
be big on,"热衷于,偏爱…"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
why not, 何妨；何不
janitor,"n. 守卫, 门警, 管理人
"
pursuer,"n. 追赶者, 追求者, 研究者
"
refugee,"n. 难民, 流亡者
"
classics,n. 古希腊、古罗马文学（classic的复数）
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
fame,"n. 名望, 名声, 传说"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
pull an all-nighter,[网络] 开夜车；熬夜；熬夜通宵
honors,"n. 优等成绩, (英)优等成绩奖金, 给予优等生的荣誉, 荣誉标志"
result from,"由...产生
"
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
campus,"n. 校园, 大学生活"
thumbs-up,翘起姆指
podium,"n. 墩座, 矮隔墙, 指挥台
"
preside over,"负责, 主持"
ceremony,"n. 典礼, 仪式, 礼节
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
academics,"n. 学习, 学术; 学者( academic的复数形式 ); 大学教师; [复数]（院校的）学术活动; [A-]柏拉图哲学信奉者"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
dedicated,"a. 专注的, 献身的"
homeland,"n. 本国, 故国"
busboy,n. 餐馆里的服务员助手
cellphone,n. 蜂窝式便携无线电话；大哥大
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
bitterness,"n. 苦味, 悲痛, 怨恨"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
ambition,"n. 野心, 志向"
Ph.D.,哲学博士
supervisor,"n. 管理者, 监督者, 指导者, 视导员
"
custodian,"n. 管理人, 保管人, 监护人
"
spirited,"a. 有精神的, 活泼的, 生气勃勃的"
determination,"n. 决心, 果断
"
foresight,"n. 远见, 深谋远虑
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
dismantle,"vt. 拆除...的设备, 分解, 去除覆盖物"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
opportunity,"n. 机会, 时机"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
visa,"n. 签证
vt. 签发"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
Oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
stock exchange,"证券交易(所)
"
go bankrupt,[经] 破产
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
ups and downs,"盛衰, 沉浮"
career,"n. 事业, 生涯, 成功
"
start over, 重新开始
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
hardship,"n. 艰难, 辛苦, 苦难
"
ordeal,"n. 严酷考验, 痛苦经历, 煎熬
"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
oasis,"n. 绿洲, 舒适的地方
"
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
in tow,"拖着, 在一起"
one's thoughts go out to sb.,无
one's heart goes out to sb.,无
registrar,"n. 记录者, 登记者, 登记官员
"
take charge,"看管, 负责, 不受控制"
in line,"un. 把话说死；排队；循规蹈矩；一列的
"
stand in line,"站队, 排齐"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
reflect on,"深思, 反省, 导致, 招致非议"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
if not,"na. 要是不；不然的话
"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
inevitable,"a. 不可避免的, 必然的
"
embarrassed,a. 尴尬的；窘迫的
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
no doubt,无疑地
misguide,vt. 误导
boyhood,n. 少年时代
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
seminar,"n. 研究班, 专题讨论会
"
complain,"v. 抱怨, 抗议, 控诉"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
