foolishly,"adv. 愚笨地, 无聊地"
jot down,"v. 草草记下
"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
devastated,"v. 彻底破坏( devastate的过去式和过去分词); 摧毁; 毁灭; 在感情上（精神上、财务上等）压垮
a. 毁坏的; 极为震惊的"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
cram,"vt. 塞满, 填满, 猛吃
vi. 贪吃
n. 极度拥挤, 死记硬背"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
comedy,"n. 喜剧, 有趣的事情"
reminiscence,"n. 回想, 回忆, 怀旧, 话旧"
innovative,"a. 革新的, 创新的, 富有革新精神的"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
humanity,"n. 人性, 人类, 博爱"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
cider,"n. 苹果汁, 苹果酒
"
waterproof,"n. 防水材料
a. 不透水的, 防水的
vt. 使防水"
spare room,备用房间;客房
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
rubbish,"n. 废物, 垃圾, 胡说"
supposedly,"adv. 想象上, 看上去像, 被认为是, 恐怕, 按照推测"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
brim,"n. 边, 边缘, (河)边
vt. 注满, 使满溢
vi. 满溢"
delude,"vt. 迷惑, 蛊惑"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
irretrievably,"adv. 不能挽回地, 不能补救地"
have a sneaking feeling,无
have a sneaking feeling that,无
bun,"n. 小面包
"
inventive,"a. 善于创造的, 发明的"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
