ambiguity,"n. 不明确, 含糊
"
ambiguous,"a. 不明确的, 模棱两可的
"
ambition,"n. 野心, 志向"
ambivalent,"a. 矛盾的, 模棱两可的
"
unambiguous,"a. 不含糊的, 明确的
"
cardiac,"n. 心脏病患者, 强心剂, 健胃药
a. 心脏的, (胃的)贲门的"
cardiovascular,"a. 心血管的
"
accede,"vi. 同意, 正式加入, 就任, 继任"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
precedence,"n. 优先, 居先
"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
secede,"vi. 正式脱离(或退出), 分离
"
homicide,"n. 杀人, 杀人者
"
insecticide,"n. 杀虫剂
"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
claimant,"n. 提出要求者, 原告
"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
include,"vt. 包括, 把...算入, 包住
"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
seclude,"vt. 使隔离, 使孤立, 隔开"
secluded,"a. 隐退的, 隐蔽的"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
concord,"n. 一致, 和睦, 协定"
concordance,"n. 调和, 一致, 用语索引
"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
concur,"vi. 同意, 一致, 同时发生
"
cursory,"a. 匆匆忙忙的, 草率的, 粗略的"
incursion,"n. 侵入, 侵略, 奇袭"
precursor,"n. 先驱者, 前导, 前兆
"
recurrent,"a. 再发生的, 定期重复的, 循环的
"
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
diction,"n. 措辞, 发音, 用语"
indict,"vt. 起诉, 控告, 指控
"
indictment,"n. 起诉, 控告, 起诉状
"
circumference,"n. 圆周, 周缘, 胸围
"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
deference,"n. 顺从, 尊重"
proffer,"vt. 提供, 贡献, 提议
n. 提供, 提议"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
informant,"n. 提供消息者, 密告者, 被调查者
"
performing,"a. 表演的, 履行的"
abject,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的
"
dejected,"a. 沮丧的, 灰心的"
eject,"vt. 逐放, 放逐, 喷射
"
objectionable,"a. 会引起反对的, 令人讨厌的"
projectile,"n. 发射体, 抛射物
a. 发射的, 投射的"
projector,"n. 计划人, 发起人, 规划人, 放映机, 映画器, 幻灯机, 幻灯, 探照灯, 发射器
"
neglectful,"a. 不小心的, 疏忽的"
reelect,"vt. 重选, 改选"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
genealogy,"n. 系谱, 宗谱, 家系, 世系, 血统
"
methodology,"n. 方法学, 方法论
"
pathology,"n. 病理学, 病理, 病状, 病变
"
physiology,"n. 生理学, 生理机能
"
terminology,"n. 术语, 术语学
"
theology,n. 神学
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
denounce,"vt. 告发, 抨击, 谴责
"
pronounced,"a. 发出音的, 读出来的, 显著的, 断然的, 明显的
"
renounce,"vt. 拒绝, 放弃, 否认, 垫牌
vi. 垫牌, 声明放弃权利
n. 垫牌"
omnipotent,"a. 全能的, 无所不能的, 彻头彻尾的, 臭名昭著的"
omniscient,"a. 全知的, 无所不知的
n. 无所不知者, 上帝"
omnivorous,"a. 无所不吃的, 杂食的, 什么都喜欢的"
hypnosis,"n. 催眠状态, 催眠术
"
neurosis,"n. 神经症, 神经机能病
"
tuberculosis,"n. 肺结核
"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
parameter,"n. 参变数, 参变量, 参数, 参量
"
paramount,"n. 首长, 最高当局
a. 最重要的, 最高的, 至上的"
paranoia,"n. 偏执狂, 多疑症
"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
department,"n. 部门, 系, 机关
"
impart,"vt. 给予, 传授, 告知"
particularity,"n. 特殊性, 特质, 个性, 细致, 苛求"
impasse,"n. 难局, 僵局, 死路, 死胡同"
passbook,"n. 存款簿, 银行存折"
surpass,"vt. 超越, 凌驾, 胜过"
trespass,"n. 擅自进入, 非法侵入, 侵害
vi. 侵害, 侵入, 打扰, 冒犯"
dispel,"vt. 驱散, 驱逐"
impel,"vt. 推动, 激励, 驱使, 迫使"
repellent,"a. 抵抗的, 排斥的, 令人讨厌的, 防水的
n. 防水布, 防护剂"
pend,"vi. 悬而未决, 待定"
impending,"a. 即将发生的, 迫切的, 悬空的
"
interdependent,"a. 相互依赖的, 相互依存的"
pendant,"n. 垂饰, 下垂物, 补充的东西, 补编
"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
"
perpendicular,"n. 垂直线, 垂直的位置, 直立(姿势), 刚正, 垂规
a. 垂直的, 直立的, 陡峭的"
suspender,"n. 悬挂者(物), 袜吊, 吊裤带
"
claustrophobia,"n. 幽闭恐怖症
"
xenophobia,"n. 无端畏惧和憎恨外国人/陌生人, 对外国人的畏惧和憎恨
"
deport,"vt. 举止, 驱逐出境
"
deportation,"n. 驱逐出境, 放逐
"
opportune,"a. 恰好的, 时机适宜的, 适当的"
portal,"n. 入口, 大门
a. 肝门的"
purport,"n. 意义, 要旨, 目的
vt. 意味着, 声称, 打算"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
depose,"vt. 免职, 废黜, 作证
vi. 作证, 供证"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
compression,"n. 压缩, 压紧
"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
expressly,"adv. 明白地, 清楚地, 特意地"
oppress,"vt. 压迫, 压抑, 使烦恼"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
erupt,"vi. 爆发
vt. 喷出"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
circumscribe,"vt. 在...周围画线, 限制"
describe,"vt. 描述, 描绘, 画"
inscribe,"vt. 登记, 铭记于, 题写, 雕刻
"
manuscript,"n. 手稿, 原稿, 底稿
a. 手写的"
proscribe,"vt. 剥夺...的公民权, 使失去法律保护, 把...充军, 把...放逐, 排斥, 禁止"
assign,"vt. 分配, 指派, 赋值
"
