weight-training,举重锻炼
body-building,健美运动
come down with,"被传染上,因…而病倒"
acupressure,[医] 针压法
massage,"n. 按摩, 揉
vt. 按摩, 揉"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
picky,"a. 吹毛求疵的, 挑剔的, 找麻烦的"
out of breath,上气不接下气
stress sb. out,[网络] 压力过大；经历极大压力；压力大
lose one's appetite,"没胃口, 食欲减退"
acupuncture,"n. 针刺, 针刺疗法
vt. 施以针灸"
well-liked,"n. 被敬爱
"
sleepless,"a. 不睡眠的, 睡不着的, 不休息的"
sleeplessness,[医] 失眠
laid-back,adj. 随和的好脾气的
forgetfulness,[计] 忽视
stress-reducing,[网络] 缓压
energise,vt. 供给…能量；使精力充沛（等于energize）
disorganisation,"n. 计划混乱
 "
unreasonable,"a. 不合理的, 过度的, 不切实际的
"
achievable,"a. 做得成的, 可完成的, 可有成就的"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
yoga,n. 瑜珈
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
muscle,"n. 肌肉, 臂力
"
unblock,
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
peacefulness,"n. 平静, 宁静, 平和"
soothing,"a. 抚慰的, 使人宽心的
"
unwanted,"a. 没人要的, 不需要的, 多余的"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
visualise,"vt. 使可见, 使具体化, 使具形象
vt.vi. 设想, 想象
vi. 显现"
smooth,"a. 平滑的, 平稳的, 流畅的, 和蔼的, 安祥的, 圆滑的, 调匀的, 无毛的
vt. 使光滑, 烫平, 使平和, 消除
vi. 变平滑, 变平静
n. 一块平地, 平滑部分"
ruffle,"n. 皱褶, 波纹, 生气, 混乱
vt. 弄皱, 触怒, 洗(牌), 连续轻擂(鼓)
vi. 起皱, 发脾气, 连续轻擂"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
facilitator,n. 服务商；促进者
impractical,"a. 不切实际的, 不能实行的, 不现实的, 不合情理的"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
rumble,"n. 隆隆声, 辘辘声
vi. 发隆隆声, 辘辘响
vt. 使隆隆响, 低沉地说"
clutter,"n. 杂乱
vt. 弄乱, 使凌乱"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
herbal,"a. 草药的
"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
desktop,"n. 桌面
"
icepack,"na. 浮冰群；〈美〉冰袋
"
balmy,"a. 芳香的, 温和的, 止痛的
"
bearable,"a. 可忍受的, 支承得住的"
mauve,"n. 苯胺紫, 淡紫色
a. 淡紫色的"
bathe,"vt. 沐浴, 用水洗
vi. 洗澡"
