Break a leg!, 祝好运；大获成功（用于祝愿演员演出成功）
break down,"v. 分解；抛锚；分析；划分
"
break even,"并列起跑, 得失相当
"
break ground for sth.,无
break ground,"破土, 创办, 犁田"
break in on ...,"打断, 打扰"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break into sth.,"破门而入, 侵占
"
break ... in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break loose from ...,无
break loose,挣脱
break new ground,开创新局面
break off with sb.,与…断绝交往
break off sth.,"v. 断绝；摘；把…折断；使脱落
"
break one's neck,折断脖子
break one's back, 辛勤工作
break one's heart,(使某人)伤心，(使某人)悲痛欲绝；(使某人)伤心而死
break ... down,"v. 分解；抛锚；分析；划分
"
break down ...,"v. 分解；抛锚；分析；划分
"
break ... up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
break the ice,打破沉默
break the news to sb.,"na. (向某人)委婉传达不幸的消息
"
break away from ...,"摆脱,脱离"
break away,"突然离开, 脱离, 放弃"
break camp," 打好背包, 离开露营地"
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
"
break out in sth.,"突然发出,迸发出,突发"
break out into tears,无
break into tears,突然哭起来
break out in tears,无
break out of sth.,逃出
break one's fall,[网络] 阻止摔倒
break sth. off,"v. 断绝；摘；把…折断；使脱落
"
break off sth.,"v. 断绝；摘；把…折断；使脱落
"
break sth. to pieces,使成为碎片
break the back of sth.,"毁坏…,伤害…的要害;完成…最困难的部分"
break through sth.,"突围, 突破
"
break through,"突围, 突破
"
bring home the bacon,"成功, 谋生"
bring ... around,na. 说服；〈口〉使恢复知觉
bring ... back,"na. 送回；使恢复；使回忆起
"
bring back ...,"na. 送回；使恢复；使回忆起
"
bring ... out,"na. 公布；说出；出版；上演
"
bring out ...,"na. 公布；说出；出版；上演
"
bring ... up,"na. 抚养；教导；教育；在…长大
"
bring up ...,"na. 抚养；教导；教育；在…长大
"
bring sb. to account,要求...对自己的行为做出解释
call sb. to account,"na. 质问
"
bring sb. up to date on ...,无
bring sb. up to date,[化] 使现代化
