French door,落地双扇玻璃门
fire brigade,"消防队
"
maroon,"n. 逃亡黑人奴隶, 褐紫红色, 爆竹
a. 褐紫红色的
vt. 放逐到无人岛上, 使孤立
vi. 闲荡, 带帐篷旅行"
moorings,"n. 停泊处, 系船处"
vantage point,"n. 有利位置, 优越地位, 优势"
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
festoon,"n. 花彩
vt. 结彩于"
spaghetti,n. 意大利面条
rampaging,"v. （因兴奋或愤怒而）乱跑, 乱冲( rampage的现在分词 )"
wreckage,"n. 残骸, 失事, 破坏
"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
"
facade,"n. 建筑物的正面, 外观, 表面"
martyred,"a. （为博取同情或赞赏而）假装可怜的, 满脸苦相的"
intermezzo,"n. 插曲, 幕间剧, 间奏曲"
embankment,"n. 堤防, 筑堤"
barge,"n. 驳船
vt. 用船运输
vi. 蹒跚, 闯入"
beige,"a. 淡棕色的
n. 薄斜纹呢, 米色"
incessant,"a. 不断的, 不绝的, 无尽的"
twinge,"n. 一阵一阵痛, 刺痛, 剧痛
vt. 使一阵一阵痛, 使刺痛"
bombardment,"n. 炮击
"
spinal,"a. 针的, 尖刺的, 尖刺状突起的, 脊骨的
"
oyster,"n. 牡蛎, 蚝, 沉默者"
reverie,"n. 梦想, 沉思, 幻想曲
"
heinous,"a. 可憎的, 令人发指的"
cataclysm,"n. 大洪水, 地震, (社会政治的)大变动
"
formaldehyde,"n. 甲醛
"
ether,"n. 醚, 苍天, 以太
"
stretcher,"n. 担架, 延伸器
"
nickel-plated,镀镍
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
cryptic,"a. 神秘的, 含义模糊的, 隐藏的
"
fray,"n. 磨损, 打架, 争论
vt. 使磨损
vi. 被磨损"
sardonically,"adv. 讽刺地, 冷嘲地"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
décor,无
incongruous,"a. 不协调的, 不一致的, 不合适的"
falsetto,"n. 假音, 假声歌手"
conceivable,"a. 想得到的, 可想象的, 可理解的"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
inbred,"a. 天生的, 同系繁殖的"
concede,"vt. 承认, 退让
vi. 让步"
headlight,"n. 前灯, 桅灯
"
incriminate,"vt. 连累, 暗示...有罪, 控告
"
roadblock,"n. 障碍, 障碍物"
peremptorily,"adv. 断然地, 不容置疑地, 紧急地, 独断地, 蛮横地"
