hot dog,"n. <口>热狗（一种中间夹有熏红肠并配有芥菜, 作料等的面包）"
cashier,"n. 出纳员
"
cola,"结肠, 冒号, 科朗
"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
dollar,"n. 美元, 元(加、澳等国货币单位)
"
cent,"n. 分
"
enjoy,"vt. 享受, 喜欢, 欣赏
"
meal,"n. 一餐, 膳食, 粗粉
vi. 进餐"
later,"adv. 以后, 随后"
to go,"剩下, 还有"
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
Oh dear!,[网络] 哎呀；天呐；天啊
dry,"a. 干的, 无酒的, 枯燥无味的, 干燥的
vt. 把...弄干
vi. 变干
n. 干, 干涸"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
quickly,adv. 很快地
left,"a. 左边的, 左倾的, 左侧的, 左派的
adv. 在左面
n. 左, 左面, 左派
leave的过去式和过去分词"
shine,"n. 光泽, 阳光
vt. 使发光
vi. 照耀, 发光, 发亮"
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
fly away,"离开, 飞离"
stairs,n. 楼梯
telephone,"n. 电话, 电话机
v. 打电话"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
bell,"n. 铃, 钟
"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
arrive,"vi. 到达, 抵达"
hardly,"adv. 刚刚, 几乎不, 勉强是"
raincoat,n. 雨衣
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
earth,"n. 地球, 泥土, 世界, 尘世
vt. 埋入土中, 赶入洞内
vi. 躲入洞内"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
interested,"a. 感兴趣的
"
be interested in,对…很感兴趣
spaceship,n. 宇宙飞船
surprised,a. 感到惊讶的
made,"a. 人工制成的, 成功的, 创造的
make的过去式和过去分词"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
taikonaut,n. 中国太空人
national,"a. 国家的, 国立的, 全国性的, 民族的
"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
seed,"n. 种子, 籽, 萌芽, 子孙, 精液
vt. 在...播种, 催...发育, 脱...籽
vi. 结实, 播种"
flew,fly的过去式
spent,"a. 用尽的, 精疲力竭的
spend的过去式和过去分词"
video,"n. 影像, 电视
a. 图像的, 电视的"
someday,adv. 有一天
born,"a. 天生的
bear的过去分词"
illness,"n. 疾病, 恶意
"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
all over the world,全世界
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
classmate,n. 同班同学
baseball,"n. 棒球
"
brought,bring的过去式和过去分词
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
make mistakes,犯错误
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
best wishes,[网络] 最美好的祝愿；最好的祝福；最良好的祝愿
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
primary school,"n. 小学, 初等学校; 参见：elementary school"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
forever,adv. 永远
joy,"n. 欢喜, 乐事, 高兴
vt. 使快乐, 令人高兴
vi. 欢喜"
future,"n. 未来, 将来
a. 将来的, 未来的"
taught,teach的过去式和过去分词
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
happiness,"n. 快乐, 幸运, 适当"
middle,"n. 中央, 中间, 腰部
a. 中央的, 中庸的, 中间的"
middle school,"n. 中等学校, 中学"
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言
"
September,n. 九月
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
geography,"n. 地理学, 地理
"
same,"a. 相同的, 同样的
pron. 相同的人(或事物)
adv. 同样地"
at the same time,"同时, 但是"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
keep on,na. 继续；穿
