colonist,"n. 殖民地居民, 移民"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
populated,a. 粒子数增加的
mistaken,"a. 犯错的, 错误的
mistake的过去分词"
meekly,"adv. 温顺地, 柔和地, 忠厚地"
rebellion,"n. 谋反, 叛乱, 反抗
"
ultimately,"adv. 最后, 最终
"
make one's way towards,无
wharf,"n. 码头
vt. 卸在码头上, 靠码头
vi. 靠码头, 入坞"
take command of,开始控制
for the purpose of, 为了，因…起见; 借以
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
do damage to,"损害,破坏"
chest,"n. 胸, 胸部, 衣柜, 箱子
"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
on contact with,无
large quantities of,大量...
inevitable,"a. 不可避免的, 必然的
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
dissatisfied,"a. 不满的, 显出不满的"
colonial,"a. 殖民的, 殖民地的
"
representation,"n. 表示法, 表现, 陈述, 代表
"
make up for,"补偿,弥补"
be prepared to,"na. 准备着
"
give in to,向…呈上；向…交上(试卷等)；屈服于，向…让步；向…投降
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
intolerable,"a. 无法忍受的, 难耐的"
signatory,"n. 协议的签署者, 签约国
a. 签署的, 签约的"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
silversmith,n. 银(器)匠
patriot,"n. 爱国者, 爱国主义者"
patriotism,"n. 爱国心, 爱国精神, 爱国主义"
craftsman,"n. 工匠, 技工, 手艺人"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
sentry,"n. 哨兵, 看守
vt. 设岗哨
vi. 站岗, 放哨"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
take liberties with,过于随意
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
exaggerate,"v. 夸大, 夸张"
give an account of,"讲述,叙述,说明"
unanimous,"a. 意见一致的, 无异议的"
endow,"vt. 捐赠, 捐助, 赋予
"
unalienable,"[法] 不可转让的, 不可剥夺的, 不可出卖的"
usurpation,"n. 篡夺, 霸占, 夺取
"
tyranny,"n. 专制, 暴政
"
solemnly,adv. 庄严地；严肃地
tyrant,"n. 暴君
"
grievance,"n. 委屈, 冤情, 苦况
"
abolition,"n. 废除, 废奴运动
"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
discriminate,"v. 区别, 差别待遇"
applicable,"a. 合适的, 可应用的
"
sensitivity,"n. 敏感, 灵敏度
"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
ruling,"n. 判决, 裁定, 统治
a. 统治的, 支配的, 普遍的"
enrol,"vt. 登记, 使加入
vi. 参军, 注册"
precise,"a. 精确的, 严谨的, 明确的
"
mob,"n. 暴民, 民众, 暴徒
vt. 大举包围, 蜂拥进入, 围攻
vi. 聚众生事"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
integration,"n. 综合, 与环境协调的行为, 集成
"
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
"
imprisonment,"n. 监禁, 下狱, 坐牢
"
apartheid,n. 种族隔离
legislation,"n. 立法, 法律
"
restrict,"vt. 限制, 限定, 约束
"
outlaw,"n. 被剥夺法律保护的人, 罪犯
vt. 使...失去法律保护, 将...逐出社会, 宣告非法, 取缔"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
defiance,"n. 蔑视, 挑战
"
segregation,"n. 隔离, 偏析, 被隔离的部分, 种族隔离
"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
seamstress,"n. 女裁缝, 做针线活的妇女"
jail,"n. 监牢, 监狱, 拘留所
vt. 监禁, 下狱"
immeasurable,"a. 不可测量的, 无限的, 广大无边的"
boycott,"n. 联合抵制
vt. 联合抵制"
inherently,"adv. 内在地, 生来地, 固有地
"
culminate,"vi. 到绝顶, 达于极点, 达到高潮
vt. 使到绝顶, 使达到高潮"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
