according to,"根据, 按照；取决于；据…所说"
such as,"例如..., 像这种的"
seem to,似乎，好象；看起来
rather than,与其...不如...
tend to,"注意, 趋向"
for example,例如
instead of,代替
at the end of,"在…末尾,在…结束时"
be likely to,"有可能…,很可能…"
fail to, 未能…
as well as,"也, 又"
no longer,不再
result in,"导致
"
add to,"na. 增加
"
depend on,"依靠, 依赖"
look for,"寻找, 期待"
so that,所以
lack of, 缺乏
deal with,"安排, 处理, 涉及, 做生意"
as a result,结果
refer to,"v. 查阅；提到
"
in fact,"事实上
"
be exposed to,"[计] 曝光, 曝露"
be interested in,对…很感兴趣
pay attention to,注意
point out,"na. 指出
"
result from,"由...产生
"
search for,搜查
be willing to,愿意(做)...
contribute to,捐献
for instance,"例如
"
lead to,"导致, 通向"
only if,只要...就
in order to, 为了…
provide ... with,"v. 供给；供应
"
regardless of,"不注意, 不关心"
above all,"尤其是, 首先"
access to,有权使用
at all,[网络] 高的
be subject to,"受支配, 从属于, 可以...的, 常遭受..."
be worth doing,无
in effect,"有效
"
no less than,正如
on average, 平均起来
on behalf of,"代表...
"
on the other hand,另一方面
prevent ... from doing,无
provide for,"v. 为…作准备
"
seek to,vt. 设法; 企图，试图
so long as,只要
as long as,只要...
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
turn out,"v. 证明；原来；到场
"
along with,"与…一道,与…一起,连同…"
as if,"na. 彷佛；活像
"
be eager to,"盼望,渴望"
be entitled to,[法] 有资格或权利...
be vulnerable to,易受...的伤害
by contrast,"对比起来, 与之相比, 相反地"
in contrast,"比较起来, 相反地, 而"
in addition,另外
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
other than,"不同于, 除了"
out of date,"过时的, 废弃的
"
stick to,粘住
similar to, 跟。。。类似得，与。。。同样的; 如同
so far,迄今为止
take advantage of,"v. 利用
 欺骗, 占…的便宜"
view ... as,"把...看作..., 认为...是..."
adapt to,适应…;适合…
arise from,"从…中产生,由…而引起"
a bit of,一点
as a result of,作为结果
as for,至于
as to,"根据,按照,依照;关于,至于,就…而言"
as usual,照常
be conscious of,意识到...
be dependent on,"依靠, 依赖"
be deprived of,"被剥夺了…,失去…"
be regarded as,[网络] 被认为是；被当做是；视为
be unlikely to,不大可能(做)...
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
compete with,与…竞争
derive from,"得自, 由来, 衍生"
intend to,"打算(做)..., 想要(做)..."
if only,只要
in a sense,在某种意义上
in favor of,"赞同, 有利于"
in general,大多数
in particular,特别
in theory, 理论上
in the wake of,"尾随, 紧跟, 仿效"
in turn,"na. 挨次
"
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
make up,"na. 弥补；起草；定；签订
"
nothing more than,不过是...
now that,"既然..., 由于..."
owe to,"v. 由于；把…归功于
"
on the contrary,"正相反
"
play a role in,在...起作用
parallel to, vt. 平行于；与……平等
parallel with,与...比较
prior to,"在前, 居先
"
reluctant to, 不甘心情愿做…
show up,"na. 显眼；揭发；嘲笑；露面
"
suffer from,"忍受, 遭受
"
take measures,採用措施
take place,"na. 发生；举行
"
with regard to,关于
adhere to,"执着于,坚持,粘附于,信奉…"
apply to,[计] 应用于
anything but,"单单除...之外, 决不"
apart from,除了...之外
as far as,"远到, 直到, 至于"
at length,"最后, 详细地"
bring about,"na. 造成；带来；【航】(使船)回转
"
be concerned with,"涉及..., 与...有关"
be dominant over,无
be immune to,"对...有免疫力, 可避免..., 不受...的影响"
be inclined to,"倾向于..., 有...的趋势"
be obliged to, 不得不; 只得; 必须
be obsessed with,被…困扰
be puzzled by,无
be resistant to,"抵抗...的, 对...有耐药力的"
be susceptible to,"易患..., 对...敏感"
by accident,偶然
by means of,依靠
by nature,天生地
come across,偶遇
cope with,"与...竞争, 应付, 处理"
