according to,"根据, 按照；取决于；据…所说"
draw on,"戴上, 吸收, 利用, 向...提取, 引诱, 招致, 临近"
evolve from,由...进化
exert influence on,对…施加影响
for fear of,"害怕,恐怕,生怕,唯恐,以防"
for fear that, 唯恐，害怕; 生恐; 惟恐; 生怕
for long,长久
give up,"na. 放弃；断绝；投降；自首
"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
impinge on,"撞击, 侵犯, 紧密接触"
in face of,"面对,在…面前;不顾,即使"
in trouble,"处于不幸中, 在监禁中"
oppose to, <正>反对
on the basis of,以...为基础
on the whole,"大体上, 基本上"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
peculiar to, 是…特有的
shut down,"na. 关闭；关拢(窗等)；停业；禁止
"
sign on,"签约雇用, 开始广播"
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
subscribe to,"预订, 同意, 订阅"
sum up,"na. 〈口〉概括；总结
"
would rather,"倒愿意…,宁愿…"
accuse of,"un. 控告
"
act on,"按...行动, 作用于
"
aim for, 计划， 打算
approve of,"赞成,批准…"
accessible to, [医]adj.易接近的，能进去的
accountable to,对…(人)负责
as a means of,作为…的工具；作为…的方法
at large,"未被捕, 详尽, 普遍
"
at odds with, 与…不和，与…争吵
at risk,"un. 担风险
"
at stake,"危如累卵, 在危险中"
at times,"有时, 不时"
blame on,[网络] 把责任推给；责怪；归罪于
be applicable to,(适)用于
be biased against,"na. 对…抱有偏见
"
be busy with,忙于
be cautious about,无
be confronted with,面临
be considered as,被认为/看作是...
be generous to,无
be satisfied with,对...感到满意
be second to,次于…
be unprepared for,无
by chance,"偶然, 也许"
by way of,"经由, 作为, 为了
"
cast doubt on,"引起对...的怀疑, 使人们不相信..."
check on,"检查,核对"
cling to,"依附, 依靠, 坚持"
comply with,照做
conform to,"符合, 遵照"
cannot but,不得不
die out,"熄灭, 平息, 消失"
do harm to, 损害。。。，伤害。。。; 残害
draw a conclusion from,由...得出结论
discontent with,无
equipped with, 装备有
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
filter out,[化] 滤出
fold ... into,(烹饪时)把…调[拌]入
feel disappointed at,无
get over,"爬过, 克服, 熬过, 恢复, 原谅"
give in,"na. 让步；屈服；投降；上交
"
go against,"反对, 违反, 不利于"
insist on,"坚持, 坚决要求"
ignorance about,无
in and out,"进进出出, 弯弯曲曲"
in a word,总之
in brief,"简言之, 以简洁的形式"
in consequence,结果
indifference to,对…漠不关心
in line with,符合
in vain,"徒然
"
jump on,扑向
keep down,"na. 压住；压服；【印】用小活字排印；缩减
"
keep ... from doing,[网络] 避免做；避免做某事；从某事中停下来
lead up to,"带到, 导致, 作为...的准备"
lose faith in,不再信任
make fun of,取笑
make no difference,没有影响
once for all,"只此一次, 一劳永逸地, 彻底地"
on the average, 平均而言; 一般来说;  通常; 平均来讲
on an average,"作为平均数, 通常"
prefer to,"un. 较喜欢；宁愿:
"
rest on,"被搁在, 停留在, 信赖"
run against,"撞上, 偶遇, 违反"
reliance on,[网络] 依赖；依靠；对……的依赖
scrape through,勉强通过
show sympathy for,无
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
"
slow down,(使)慢下来
stay away from,不在，外出；走开；不接近，不打扰；避开
step out of,从…走出
stress the importance of,无
take pride in,以...为傲
thirst for,"渴望, 热望"
trade with,"与…交换,和…贸易"
trifle with,玩弄
take efforts,无
take one's stand,在…的位置；在…上站岗；站在…的立场；以…为根据
take the lead,"为首, 带头"
up in arms,"进行武装斗争, 竭力反对"
ward off,"v. 挡开；架开
"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
spell,"n. 符咒, 魅力, 轮值, 轮班, 工作时间, 一次发作
vt. 拼写, 拼成, 琢磨, 理解, 招致, 轮换, 迷住
vi. 轮换, 拼字"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
economy,"n. 经济, 理财, 节约
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
celebrate,"v. 庆祝, 祝贺, 举行"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
apprehensive,"a. 惴惴不安的, 敏悟的, 知晓的"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
climate,"n. 气候, 社会趋势, 气候区
"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
demonstration,"n. 示范, 实证
"
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味
vi. 赌博
a. 勇敢的, 有胆量的, 关于野味的, 跛的
"
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
might,"n. 力量, 权力
aux. 可能, 也许"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
outlet,"n. 出口, 发泄方法, 市场
"
ability,"n. 能力, 才干
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
abolish,"vt. 废止, 革除, 消灭
"
absence,"n. 缺席, 缺乏, 没有
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
abundant,"a. 丰富的, 充分的, 大量的"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
academy,"n. 学院, 院校, 学会"
accelerate,"v. 加速, 促进"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
accomplish,"vt. 完成, 达到, 实现, 使完美"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
accountant,"n. 会计人员, 会计师
"
accumulate,"v. 积聚, 堆积"
accuracy,"n. 精确, 正确
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acquaintance,"n. 认识, 相识者"
acquire,"vt. 获得, 学到
"
acquisition,"n. 获得, 获得物
"
acre,n. 英亩
actual,"a. 真实的, 实际的, 现行的
"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
adapt,"vt. 使适应, 改编
vi. 适应"
addition,"n. 加法, 增加的人(或物)
"
adequate,"a. 适当的, 足够的
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
administration,"n. 行政, 管理, 政府机关
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
admission,"n. 准许进入, 入场费, 录用, 承认
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
agency,"n. 代理机构, 经销商, 中介
"
agenda,"pl. 议程, 日常工作事项
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
agreement,"n. 同意, 合约, 协议
"
agriculture,"n. 农业
"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
aircraft,"n. 航空器, 飞机
"
airline,"n. 航线, 航线的设备, 航空公司"
alcohol,"n. 酒精, 酒
"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
allocate,"vt. 分派, 分配
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
alongside,"adv. 在旁边, 靠拢着
prep. 在...旁边, 与...在一起"
alphabet,"n. 字母
"
alter,v. 改变
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
altitude,"n. 高度, 海拔, 高处
"
altogether,"adv. 完全地, 总而言之"
aluminum,"n. 铝
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
amaze,vt. 使吃惊
ambassador,"n. 大使
"
ambiguous,"a. 不明确的, 模棱两可的
"
ambition,"n. 野心, 志向"
amount,"n. 总数, 总额
vi. 总计, 等同"
ample,"a. 大量的, 充足的, 丰富的"
amuse,"vt. 消遣, 娱乐, 使发笑"
analyse,"vt. 分析, 细察, 分解
"
analysis,"n. 分析
"
ancestor,"n. 祖先, 祖宗"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
anecdote,"n. 轶事, 奇闻"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
ankle,"n. 踝
"
anniversary,n. 周年纪念
annoy,"vt. 使恼怒, 骚扰"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
ant,n. 蚂蚁
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
anyway,"adv. 无论如何, 至少"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
apartment,"n. 房间, 公寓"
apology,"n. 道歉, 辩护
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
appendix,"n. 附录, 附加物, 阑尾
"
appetite,"n. 食欲, 欲望, 爱好
"
applaud,"v. 拍手喝彩, 称赞, 赞同"
application,"n. 应用, 申请, 志愿书, 应用程序
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
appoint,"vt. 任命, 指定, 下令
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
appropriate,"a. 适当的
"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
architect,"n. 建筑师, 设计者, 缔造者"
architecture,"n. 建筑学, 建筑式样
"
argument,"n. 争论, 论证, 论据, 自变量
"
arise,"vi. 站立, 出现, 起来"
arithmetic,"n. 算术, 算术知识
"
arrange,"v. 安排, 排列, 达成协议
"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
arrival,"n. 到达, 抵达, 到达者
"
arrow,"n. 箭, 箭状物, 箭头记号"
artificial,"a. 人造的, 假的, 非原地产的
"
ash,"n. 灰, 灰烬
"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
aspect,"n. 外观, 方面, 面貌, 方向
"
assess,"vt. 估定, 对...征税, 评定
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
assistance,"n. 协助, 援助
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
association,"n. 协会
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
assumption,"n. 假定, 自负, 担任, 假装
"
astonish,vt. 使惊讶
astronaut,"n. 太空旅行者, 宇航员
"
astronomy,n. 天文学
atmosphere,"n. 大气, 空气, 气氛
"
atom,"n. 原子, 核能, 微粒, 微量
"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
attain,"vt. 达到, 获得
vi. 达到"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attitude,"n. 态度, 看法, 姿势
"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
attractive,"a. 吸引人的, 有魅力的
"
audience,"n. 听众, 观众, 读者
"
authentic,"a. 可靠的, 可信的, 真正的
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
available,"a. 可利用的, 可获得的, 有效的
"
avenue,"n. 大街, 途径, 林荫路"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
aware,"a. 知道的, 有觉悟的"
awkward,"a. 笨拙的, 棘手的"
bachelor,"n. 单身汉, 学士
"
background,"n. 背景, 背景资料
"
bacon,"n. 熏猪肉
"
bacterium,"n. 细菌
"
badminton,n. 羽毛球运动
baggage,"n. 行李
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
balcony,"n. 阳台, 戏院楼厅"
ballet,n. 芭蕾舞
ban,"n. 禁令
vt. 禁止, 取缔"
bandage,"n. 绷带
"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
barrier,"n. 障碍, 栅栏
"
basement,"n. 地下室, 墙脚
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
basin,"n. 盆, 盆地
"
basis,"n. 基础, 主要成分
"
bathe,"vt. 沐浴, 用水洗
vi. 洗澡"
bathroom,"n. 浴室, 厕所"
battery,"n. 电池, 殴打
"
battle,"n. 战役
v. 战斗"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
bean,"n. 豆子
"
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
beast,"n. 畜生, 动物, 野兽, 兽性"
beauty,"n. 美, 美人"
beg,"v. 乞求, 乞讨, 请求"
begin,"v. 开始
"
behalf,"n. 利益, 方面"
being,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
belief,"n. 信念, 相信, 信仰"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
belt,"n. 带子, 地带
"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
beneath,"prep. 在...下方
adv. 在...下方"
beneficial,"a. 有益的, 受益的
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
best,"a. 最好的
adv. 最好地
n. 最好的人"
better,"a. 较好的
adv. 比较好"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
bicycle,n. 自行车
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
billion,"num. 十亿, 十亿个"
biography,n. 传记
birth,"n. 出生, 起源
"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
blanket,"n. 毛毯, 毯子
vt. 掩盖, 覆盖
a. 总共的"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
bless,"vt. 祝福, 祈佑, 使神圣化"
blouse,n. 宽松的上衣
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
bone,"n. 骨头, 骨, 骨制品
vt. 剔骨
vi. 专心致志"
bonus,"n. 奖金, 红利
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
booth,"n. 亭, 摊棚
"
telephone,"n. 电话, 电话机
v. 打电话"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
boundary,"n. 边界, 分界线
"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
boycott,"n. 联合抵制
vt. 联合抵制"
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
breast,"n. 胸部, 乳房, 胸怀
vt. 以胸对着, 面对"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
bride,n. 新娘
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
brochure,"n. 小册子, 小册"
broom,"n. 扫帚, 金雀花
vt. 扫除"
bucket,"n. 桶
"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
bunch,"n. 串, 束
"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
burglar,"n. 窃贼
"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
bury,"vt. 埋葬, 埋藏"
bush,"n. 矮树丛
"
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
butterfly,"n. 蝴蝶
"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
cab,"n. 出租车, 出租汽车, 出租马车
vi. 乘出租马车(或汽车)"
cafeteria,"n. 自助餐厅
"
cage,"n. 笼, 牢房, 战俘营
vt. 关进笼内"
calculate,"v. 计算, 预测, 计划, 打算"
camel,"n. 骆驼, 打捞浮筒"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
campus,"n. 校园, 大学生活"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
candidate,"n. 候选人, 投考者
"
