find out,"na. 查出；发现；看清…的面目；识破
"
a large sum of,"na. 大量的
"
in line with,符合
put aside,"na. “set aside”的变体
"
read off,"[经] 读出, 从...读取"
plenty of,许多的
eat out,"上馆子吃饭, 锈坏, 过度消耗(牧草等), 责骂"
follow suit,"跟着做, 跟着出同花色的牌"
as long as,只要...
up in arms,"进行武装斗争, 竭力反对"
far more than, 许多，多得多的; 何啻; 何止
remind ... of,"v. 提醒
"
burst out,"闯出来, 大声喊, 突发"
take pride in,以...为傲
be contemptuous of, 嗤之以鼻
at home,"在家, 在本地, 在国内, 熟悉"
resort to,"诉诸于, 采取
"
a little bit,"有点,些许"
take place,"na. 发生；举行
"
be of importance,无
be of ... importance,无
be competent to,无
clamp down,"取缔, 强行压制"
in one's view, 依某人看来
turn to,"转向, 变成, 求助于, 起劲地开始行动"
break through,"突围, 突破
"
draw a conclusion from,由...得出结论
keep pace with,"并驾齐驱, 齐头并进"
the rest of,"其余的,剩下的"
on the board,在会上讨论
encourage sb. to do sth.,[网络] 鼓励…做；鼓励做某事
in other words,换句话说
to put it another way,"na. 换言之
"
be obsessed with,被…困扰
force sb. to do sth.,"v. 强人所难
"
get the nod,"得到认可,被选中"
ahead of,在…之前
afford to, （买）得起（某物）
a ban on,无
in response to,"回答..., 响应..., 对...有反应
"
make up,"na. 弥补；起草；定；签订
"
take the lead,"为首, 带头"
too ... to ...,[网络] 太……而不能；太……以致不能；用法
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
result in,"导致
"
as it happens,"偶然,碰巧"
in trouble,"处于不幸中, 在监禁中"
lay out,"n. 布局；设计；规划；安排
"
keep an eye out for,留心〔注意〕某人〔某事物〕
bring about,"na. 造成；带来；【航】(使船)回转
"
in question,"正被讨论, 可怀疑
"
be under way, 进行中
in the first place,首先
get on well with, 与…相处融洽
by accident,偶然
in the face of,面对
wear off,"逐渐减弱, 消失, 磨损, 耗损"
in short,"简而言之
"
arise from,"从…中产生,由…而引起"
be incapable of,不能
in a word,总之
succeed in sth.,在...方面成功
respond to,"答复,响应,对…作出反应"
serve on,为成员
divide into,"把…划分成,分成"
of necessity,必然地
glare at,怒视
for example,例如
look for,"寻找, 期待"
turn around,"na. 转身；〈美〉使向好的方向转变
"
invite ... to,邀请(某人)参加
instead of,代替
in part,部分地
be designed to,[网络] 被设计用于做；目的是；被设计作
insure against,给...保险
move on,继续前进
a group of,"一组,一队,一群,一伙,一批…"
make a profit,"获利,得益,赚钱"
consent to,"同意, 答应"
in the midst of,在...之中
in fashion,"时髦,流行,合潮流"
rip off,"v. 剥削；抢劫；强奸；〈俚〉剽窃
"
for instance,"例如
"
account to,向(某人)报账
embody in,在…体现; 使具体化
under stress, 在受力时
come true,"实现, 成为事实"
thousands of,"成千上万,数千,许许多多"
accord with,"与...符合, 与...一致"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
brand ... as,标以…记号(指恶名)，给…加上…的污名；给(商品)加上…商标
identify with, 认为…等同于; 觉得与…有联系; 支持; 同情（某人）
be entitled to,[法] 有资格或权利...
in addition,另外
be grateful for, 感恩戴德
think back, 回想
engage with,交战
have nothing to do with,与...无关
return the favor, 回报，报答
return a favor,无
be applicable to,(适)用于
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
"
go through with,完成
make fun of,取笑
make efforts to,n. 努力，下功夫
make an effort to,努力
in touch with,与…保持联络
nothing more than,不过是...
rather than,与其...不如...
without question,毫无疑问
stake out,"na. “stake off”的变体
"
relate to,"na. 有关联；与…有关；理解
"
place a burden on,无
tens of thousands of, 千百万; 千千万万; 成千上万
hundreds of millions of,无
pray for,"v. 祈求
"
invest in,"投资于, 买进"
be eager to,"盼望,渴望"
come into one's own,"得到自己该得的东西, 盛行起来
"
keep track of,了解
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
open up,"na. (打)开；割开；开发(资源)；揭示
"
part of, 部分
common sense,常识
from the outset,从一开始
in favor of,"赞同, 有利于"
be seen to be,无
or else,否则
talk of,"[法] 谈到, 说到, 说及"
turn off,"v. 关掉
"
attempt to, 尝试，企图; 试图做某事
look inside, 往里看
in depth,"na. 广泛
"
so that,所以
work for,"为…工作,致力于…"
come to fruition,"实现,完成"
in exchange, [财]在兑换中
in exchange for,交换
be interested in,对…很感兴趣
set limits on,无
lean towards,"朝…倾斜,倾向于…"
as a result,结果
vary from ... to ...,无
shrug off,na. (耸肩)表示轻蔑
not long ago,不久前
remove from,从...除去
rest on,"被搁在, 停留在, 信赖"
keep ... away from,(使)远离，(使)不接近；(使)不在
with confidence,满怀信心地
appear to, 似乎，好像
provide sth. for sb.,"v. 为…作准备
"
be expected to, 被期待做某事; 有望做某事; 期许
pledge to,无
substitute for,"代替…,替换…,取代…"
wait for,"na. 等；等待
"
draw attention to,"un. 促使…注意
"
draw sb.'s attention to,无
none of ...,千万别…
decide to,[网络] 决定；决定去做；决定要
in the long term,长远地
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
be hostile to,对...有敌意
be hostile towards,无
be linked to,与...连接
be packed with,"挤满..., 装满..., 塞满..."
in addition to,"另外, 加之, 除…之外还"
be apt to,倾向于
