curly,"a. 拳曲的, 卷毛的, 弯曲的"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
height,"n. 高度, 海拔, 高地, 顶点
"
of medium height,无
be of medium height,无
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
build,"v. 建立, 建筑
n. 构造, 体格"
of medium build,无
be of medium build,无
tonight,"n. 今晚, 今夜
adv. 今晚, 今夜"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
a little,"一些, 一点点, 一点儿, 稍微, 些许"
cinema,"n. 电影院, 电影"
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
later,"adv. 以后, 随后"
a little,"一些, 一点点, 一点儿, 稍微, 些许"
cinema,"n. 电影院, 电影"
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
later,"adv. 以后, 随后"
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
actor,"n. 男演员, 行动者
"
actress,n. 女演员
person,"n. 人, 人身, 人称
"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
blonde,"a. (头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
n. 肤色白皙的金发女人"
blond,"a. 金发的
n. 白肤碧眼金发的人"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
