cinema,"n. 电影院, 电影"
cry out,大声呼喊
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
few,"a. 很少的, 不多的, 少数的
n. 少数"
get along,"生活, 融洽相处"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
left,"a. 左边的, 左倾的, 左侧的, 左派的
adv. 在左面
n. 左, 左面, 左派
leave的过去式和过去分词"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
supermarket,"n. 超级市场
"
That's all right.,[用于回答别人的道歉、感谢等]不要紧，没关系，没什么
That's OK.,[网络] 不用了；可以；没有关系
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
turn on,"na. 转向；对…进行突击
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
dialogue,"n. 对话
vi. 对话
vt. 用对话表达"
drama,"n. 戏剧, 戏剧艺术"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
French,"n. 法国人, 法文, 法式
a. 法国的, 法国人的, 法语的"
geography,"n. 地理学, 地理
"
history,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
"
ICT,"[医] 结蒂组织炎, 胰岛素昏迷疗法"
language,"n. 语言, 文字, 措辞
"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
pop,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
"
south,"n. 南方, 南
a. 南的, 向南的
adv. 在南方
vi. 转向南方"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
at the moment,此刻
building,"n. 建筑物, 建筑
"
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
direction,"n. 方向, 指导, 趋势
"
east,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
famous,"a. 出名的, 极好的"
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
"
middle,"n. 中央, 中间, 腰部
a. 中央的, 中庸的, 中间的"
most,"n. 最多, 最大
a. 大多数的, 几乎全部的, 最多的
adv. 最, 最多, 极其"
north,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
palace,"n. 宫, 宫殿, 华丽大厦"
Queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
river,"n. 河, 江
"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
third,"num. 第三, 三分之一
"
twin towers,双塔式建筑
west,"n. 西方, 西部
a. 西方的, 向西的
adv. 向西, 自西方, 在西方"
anything,pron. 任何事
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
call out,"召唤...行动, 唤起, 大声叫唤"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
doorbell,n. 门铃
down,"a. 向下的
adv. 下, 下去, 降下
prep. 往下, 沿着
n. 丘陵, 软毛, 开阔的高地
"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
far,"a. 远的, 久远的, 遥远的
adv. 甚远地, 很, 到很深的程度, 到很远的距离"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
fourth,"num. 第四, 四分之一"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
Halloween,n. 万圣节前夕（10月31日夜）
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
"
lock out,"na. 锁定；停工；排定教员；将学生关在课室外
"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
Mid-Autumn Festival,中秋节
moon cake,月饼(中国食品)
myself,"pron. 我自己, 我亲自, 我独自"
Native American,印第安人；美洲原住民
nobody,"n. 小人物, 无名小卒
pron. 无人, 没有人"
officer,"n. 军官, 主管, 官员, 公务员
vt. 指挥"
peanut,"n. 花生, 小人物, 极小的数额
a. 渺小的, 微不足道的"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
strange,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
sweet potato,"[医] 甘薯, 甜薯"
Thanksgiving,n. 感谢
the Mayflower,[网络] 五月花号；五月花号船；五月花酒店
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
trick or treat, 不请吃就捣蛋（指万圣节孩子们挨家逐户要糖果等礼物，如不遂愿便恶作剧一番的风俗）
turkey,"n. 火鸡, 无用的家伙, 土耳其"
upstairs,"a. 楼上的
adv. 在楼上, 向楼上, 处于更高地位
n. 楼层"
wild,"n. 荒野, 荒地
a. 野性的, 野蛮的, 野生的, 失控的, 任性的, 杂乱的, 轻率的, 狂热的, 疯狂的
adv. 狂暴地, 失控地"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
bandage,"n. 绷带
"
belt,"n. 带子, 地带
"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
campsite,n. 营地
cut,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路
a. 经切割的, 缩减的
vt. 切, 割, 减少, 刺痛, 开辟, 雕刻, 删节, 缩短, 停止, 排斥, 切断, 关, 显出
vi. 切, 割, 砍, 刺痛, 相交, 抄近路, 剪辑
"
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
finally,"adv. 最后, 终于"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
keep to,"v. 坚持；固守
"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
put away,"v. 把…收起来；储存
"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
swimming,"n. 游泳, 眩晕"
take care," 当心, 小心; 坚持到底"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
unhappy,"a. 不快乐的, 不幸的, 不适当的"
village,"n. 村庄
a. 乡村的, 村庄的"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
anyone,pron. 任何人
bamboo,"n. 竹子
"
black rhino,黑犀牛（非正式）
danger,"n. 危险, 威胁
"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
fur,"n. 毛皮
vt. 以毛皮制作, 使生苔, 使生水垢
vi. 生苔, 积水垢"
grass,"n. 草, 草原, 牧场
"
have a look, 看一看
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
kill,"n. 杀, 杀戮, 小河
vt. 杀, 破坏, 消灭, 使终止, 抵消, 否决
vi. 杀死
"
kingfisher,"n. 鱼狗, 翠鸟"
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
mud,"n. 泥, 诽谤
vt. 弄脏"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
rhino,"n. 钱, 现金, 犀牛"
riverbank,"n. 河堤, 河岸"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
South China Tiger,无
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
web,"n. 网, 蛛丝, 蹼, 织物, 圈套, 卷筒纸
vi. 结网, 形成网
vt. 织蜘蛛网于, 使落入圈套"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
American,"n. 美国人
a. 美国的, 美洲的"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
bookshop,n. 书店
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
CD,"abbr. (=compact disc)激光唱片
n. 光盘
"
CD player,激光唱机；CD播放器
chicken,"n. 小鸡, 鸡肉"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
cute,"a. 可爱的, 聪明的, 伶俐的
"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
each other,彼此
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
forever,adv. 永远
grown-up,"成年的,适于成年人的"
hobby,"n. 嗜好, 癖好, 爱好"
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
mango,"n. 芒果
"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
photograph,"n. 相片, 照片, 逼真的描绘
v. 照相, 摄影"
player,"n. 竞赛者, 上场队员, 游戏者, 演员
"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
poverty,"n. 贫穷, 贫困, 缺乏
"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
signature,"n. 签字, 识别标志, 调号
"
soccer,n. 英式足球
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
without,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
hotel,"n. 旅馆, 客栈"
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药
vt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴"
