accustomed,"a. 惯常的, 习惯了的"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
ambiguous,"a. 不明确的, 模棱两可的
"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
appropriate,"a. 适当的
"
at stake,"危如累卵, 在危险中"
available,"a. 可利用的, 可获得的, 有效的
"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
bilateral,"a. 有两边的, 双边的, 双方的
"
bland,"a. 温和的, 乏味的, 冷漠的
"
blunt,"a. 钝的, 坦率的, 麻痹的"
bull,"n. 公牛
"
burgeoning,[计] 急速增长的
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
compulsory,"a. 被强制的, 强迫的, 义务的
"
conciliatory,"a. 安抚的, 和好的, 调和的"
conscious,"a. 有意识的, 知觉的, 觉察的
"
conventional,"a. 传统的, 习惯的, 约定的
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
crucial,"a. 决定性的, 重要的, 严厉的
"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
dazzling,"a. 眼花缭乱的, 耀眼的"
dedicated,"a. 专注的, 献身的"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
determined,"a. 坚决的, 已下决心的"
disabled,"a. 残废的, 有缺陷的, 失效的
"
disastrous,"a. 损失惨重的, 悲伤的"
distinct,"a. 清楚的, 显著的, 不同的"
dominant,"a. 占优势的, 支配的
"
doomed,a. 注定的；命定的
drastic,"a. 激烈的
"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
elevated,a. 提高的
elite,"n. 精华, 精锐, 中坚分子"
enduring,"a. 持久的, 忍耐的"
explicit,"a. 详述的, 清楚的, 直言的"
exquisite,"a. 精致的, 细腻的, 敏锐的"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
ferocious,"a. 残忍的, 凶猛的, 可怕的"
flamboyant,"a. 火焰似的, 辉耀的, 华丽的"
fledgling,"n. 羽毛初长的雏鸟, 刚会飞的幼鸟, 无经验的人"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
fragile,"a. 易碎的, 脆的
"
futile,"a. 无用的, 琐细的, 不重要的"
genuine,"a. 真正的, 真实的, 诚恳的
"
hefty,"a. 重的, 肌肉发达的"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
immense,"a. 极广大的, 无边的, 非常好的"
imminent,"a. 即将来临的, 逼近的"
inaugural,"a. 就任的, 开幕的
n. 就职演讲"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
lingering,a. 拖延的
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
mutual,"a. 相互的, 共有的
"
namely,"adv. 即, 就是, 换句话说"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
ominous,"a. 恶兆的, 不吉利的, 预兆的"
ostensibly,"adv. 可公开, 显然, 表面, 外表, 诡称, 假装"
outspoken,"a. 直言无讳的, 坦率的, 坦白无隐的"
pending,"a. 未决定的, 待决的, 行将发生的, 向外伸出的
prep. 在等待...之际, 直到...时为止, 在...期间, 在...过程中"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
phony,"n. 假货, 假冒者, 赝品
a. 伪造的, 假的, 不可信的, 华而不实的"
poignant,"a. 辛酸的, 尖锐的, 剧烈的"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
previous,"a. 早先的, 前面的, 过急的
"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
promising,"a. 有希望的, 前途有望的
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
reminiscent,"a. 回忆的, 怀旧的
n. 往事叙述者, 回忆录作者"
reminiscent of, [医]adj.暗示…的，表明…的
renowned,"a. 有名的, 有声誉的"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
rugged,"a. 高低不平的, 崎岖的, 粗糙的"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
sensible,"a. 有感觉的, 敏感的, 明智的
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
sophisticated,"a. 复杂的, 久经世故的
"
staggering,"a. 蹒跚的, 巨大的, 惊人的
"
strapped,"a. 用皮绳捆住的, 用皮带装饰的, 身无分文的"
strapped for cash,"资金不足
钱不够用"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
subject to,"v. 处于…中；使服从
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
sweeping,"n. 扫除, 垃圾
a. 扫荡的, 彻底的, 广泛的"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
thriving,"a. 兴旺的, 旺盛的, 繁荣的"
tremendous,"a. 巨大的, 非常的, 可怕的"
tricky,"a. 狡猾的, 机敏的"
unanimous,"a. 意见一致的, 无异议的"
unprecedented,"a. 空前的
"
urgent,"a. 紧急的, 急迫的, 催逼的
"
venerable,"a. 庄严的, 值得尊敬的"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
volatile,"a. 挥发性的, 可变的, 不稳定的, 飞行的, 轻快的, 爆炸性的
n. 有翅动物, 挥发物
"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
abolish,"vt. 废止, 革除, 消灭
"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acquire,"vt. 获得, 学到
"
adapt,"vt. 使适应, 改编
vi. 适应"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
amount,"n. 总数, 总额
vi. 总计, 等同"
amount to,"[经] 等于, 相当于"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
assert,"vt. 主张, 坚称, 断言
"
assign,"vt. 分配, 指派, 赋值
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
ban,"n. 禁令
vt. 禁止, 取缔"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
characterize,"vt. 描绘...的特性, 刻划...的性格"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
collide,"vi. 碰撞, 互撞, 抵触"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
compel,"vt. 强迫, 迫使"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
concede,"vt. 承认, 退让
vi. 让步"
condemn,"vt. 判刑, 责备, 谴责
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
constitute,"vt. 构成, 组成, 任命
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
convey,"vt. 传达, 运输, 转让
"
convince,"vt. 说服, 使相信
"
cope,"vi. 竞争, 应付
n. 长袍"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
demonstrate,"vt. 示范, 证明
vi. 示威"
deprive,"vt. 剥夺, 使丧失
"
detect,"vt. 发现, 察觉, 探测
"
deteriorate,v. (使)恶化
devastate,"vt. 毁坏
"
devote,"vt. 投入于, 献身"
diagnose,v. 诊断
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
displace,"vt. 移置, 替换, 转移"
distinguish,"v. 区别, 辨别"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
enhance,"vt. 提高, 加强, 增加"
ensure,"vt. 确定, 保证, 担保, 保护
"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
