birthday,n. 生日
buy,"vt. 买, 获得
vi. 买
n. 购买, 买得的东西"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
for you, 为你; 面向你; 献给你
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
what about,adv. 怎么样，以为如何（提出建议或用以引出话题）
football,"n. 足球, 橄榄球"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
here,"adv. 在这里, 此时, 这里
n. 这里"
bird,"n. 鸟, 羽毛球
vi. 打鸟"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
bike,"n. 自行车, 脚踏车"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
yes,"adv. 是
n. 是, 同意
v. 同意"
can't,[网络] 不能
cannot,"aux. 无法, 不能"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
grape,"n. 葡萄, 葡萄树
"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
don't,"(= do not)不要
n. 禁忌"
do not,无
early,"a. 早的, 早熟的
adv. 很早, 初"
eleven,"num. 十一, 十一个"
twelve,"num. 十二, 十二个"
o'clock,"n. ...点钟, 钟头"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
sorry,"a. 难过的, 悲哀的, 遗憾的"
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
many,"n. 多数, 多数人
a. 许多的
pron. 许多"
so many,"那么多的, 同数目的"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
mom,n. 妈妈
London,[网络] 伦敦；英文单词伦敦；五环及英文单词伦敦
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
honey,"n. 蜂蜜, 甜蜜, 爱人
a. 蜂蜜似的, 甜蜜的, 甘美的
vt. 加蜜使甜, 对...说甜言蜜语
vi. 说甜言蜜语, 奉承"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
