enable,"vt. 使能够
"
ability,"n. 能力, 才干
"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
poverty,"n. 贫穷, 贫困, 缺乏
"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
opening,"n. 开始, 口子, 穴, 揭幕
a. 开始的"
opportunity,"n. 机会, 时机"
equality,"n. 平等, 均匀, 相等
"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
barely,adv. 几乎不
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
furthermore,"adv. 此外, 而且"
besides,"prep. 除...之外
adv. 而且, 此外"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
otherwise,"adv. 否则, 不同地, 别的方式"
whereas,"conj. 然而, 鉴于
"
thereby,adv. 因此
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
fluent,"a. 流利的, 流畅的"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
conjunction,"n. 连接词, 联合, 结合
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
doubtful,"a. 可疑的, 疑心的, 不明确的
"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
attitude,"n. 态度, 看法, 姿势
"
mood,"n. 心情, 气氛, 生气, 基调
"
emotion,"n. 情绪, 激动, 强烈的情感
"
climate,"n. 气候, 社会趋势, 气候区
"
atmosphere,"n. 大气, 空气, 气氛
"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
property,"n. 财产, 所有权, 性质, 属性
"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
depict,"vt. 描述, 描写"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
diagram,n. 图表；图解
chart,"n. 图表, 海图
vt. 制成图表
"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
detect,"vt. 发现, 察觉, 探测
"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
artificial,"a. 人造的, 假的, 非原地产的
"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
mechanical,"a. 机械的, 机械性的, 力学的
"
mechanic,"n. 机械工, 技工
a. 手工的"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
appliance,"n. 器械, 用具, 应用
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
instrument,"n. 工具, 手段, 仪器
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
