Argentina,n. 阿根廷
Ashley,n. 艾希莉（人名）
Brazil,n. 巴西
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
Eva,"EVA
abbr.
extravehicular activity (宇航员的)舱外活动,出舱活动,在飞船外的活动
Eva
"
guy,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
Hiroshi,n. 藤原浩（男子名）
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
Iran,n. 伊朗
Japan,"n. 日本
"
London,[网络] 伦敦；英文单词伦敦；五环及英文单词伦敦
Maheen,无
Malaysia,"n. 马来西亚
"
Michael,[网络] 迈克尔
Sofia,n. 索非亚（保加利亚首都）
yeah,"adv. (非正式)是, 是的"
yep,adv. 是（美国俚语=yes）
census,"n. 户口普查
vt. 实施统计调查"
Kim,n. 金姆（人名）
Korea,"n. 朝鲜, 韩国"
Lisa,n. 丽莎（女子名）
married,"a. 已婚的, 婚姻的
"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
Africa,n. 非洲
community,"n. 社区, 公众, 共有, 共同体
"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
diverse,"a. 不同的, 变化多的"
diversity,"n. 差异, 多样性
"
German,"n. 德国人, 德语
a. 德国的, 德国人的, 德国语的, 同父母的"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
immigrant,"n. 移民
a. 移入的, 移民的"
India,n. 印度
Irish,"n. 爱尔兰人, 爱尔兰语
a. 爱尔兰的"
Madras,n. 马德拉斯薄棉布
majority,"n. 多数, 大半
"
nationality,"n. 国籍, 国家, 民族性
"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
neighborhood,"n. 附近, 邻近"
New York,纽约
Puerto Rican,n. 波多黎各人
Queens,[网络] 皇后；女皇；女皇大学
randomly,"adv. 偶然, 胡乱, 无目的, 任意, 随便, 任取, 无规则, 机遇, 胡乱地, 任意地, 随便地
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
southern,"n. 南方人, 男风
a. 向南方的, 来自南方的"
baseball,"n. 棒球
"
basketball,n. 篮球
bowling,n. 保龄球戏
cricket,"n. 蟋蟀, 板球"
cycling,"n. 骑脚踏车兜风, 骑脚踏车消遣
"
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
golf,"n. 高尔夫球
vi. 打高尔夫球"
gymnastics,"n. 体操, 体育
"
hiking,n. 徒步旅行
hockey,"n. 冰球, 曲棍球"
karate,n. 空手道
Mexico,n. 墨西哥
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
rollerblading,[网络] 轮滑溜冰；直排轮；滑旱冰
rugby,"n. 橄榄球, 橄榄球赛"
skateboarding,n. 滑板运动
skiing,"n. 滑雪运动, 滑雪术"
soccer,n. 英式足球
surfing,n. 冲浪运动
tennis,n. 网球
taekwondo,n. 跆拳道
yoga,n. 瑜珈
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
hang on,"v. 坚守；守住；坚持；支撑着
"
instead,"adv. 作为替代, 反而"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
terribly,"adv. 可怕地, 甚为, 非常"
turn ... off,"v. 关掉
"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
fiddle,"n. 小提琴, 提琴类乐器
vt. 虚度时光, 拉小提琴
vi. 拉小提琴, (无目的地)拨弄, 瞎搞"
hillside,"n. 山坡, 山腹"
Mongolia,n. 蒙古
Mongolian,"n. 蒙古人, 属于蒙古人种的人, 蒙古语, 先天愚型患者
a. 蒙古人的, 蒙古语的, 先天愚型的"
Mukhdalai,无
Naadam,[网络] 那达慕；那达慕大会；那达慕节
Namjin,无
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
rider,"n. 骑手, (文件后的)附件, 扶手
"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
traditional,"a. 传统的, 惯例的
"
Ulaanbaatar,n. 乌兰巴托（蒙古国城市）
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
winner,"n. 胜利者, 优胜者
"
especially,"adv. 尤其, 特别, 格外"
night market,夜市
nightclub,n. 夜总会
outdoor movie theater,无
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
alcohol,"n. 酒精, 酒
"
hopefully,"adv. 有希望地, 如果希望能实现的话"
scientist,"n. 科学家
"
sleepwalk,vi. 梦游
stressed,a. 感到有压力的；紧张的
district,"n. 区域, 地方
"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
hip hop,n. 希普霍普
makeup,"n. 组成, 性格, 化妆品, 化装(术), 虚构, 补考"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
stylishly,"adv. 时髦地, 新式地"
Google Glass,谷歌眼镜
amazing,a. 令人惊异的
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
brass,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
Padaung, [地名] [缅甸] 巴当
ring,"n. 环, 环形物, 拳击场, 戒指, 角逐, 小集团, 铃声, 钟声, 声调
vt. 包围, 套住, 按铃, 敲钟
vi. 成环形, 响, 鸣, 按铃, 敲钟, 回响"
apartment,"n. 房间, 公寓"
balcony,"n. 阳台, 戏院楼厅"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
