a bit,一点儿；有一点儿
a bit of,一点
a chorus of,无
a collection of,"一批,一组"
a couple of,"一对..., 三两个..."
a dozen,一打
a few,"几个, 少数, 一些"
a good deal, 许多
a great deal,大量
a good deal of,很多的
a great deal of,很多的
a good many,很多
a great many,许许多多
a group of,"一组,一队,一群,一伙,一批…"
a handful of,"一小撮,少数"
a kind of,"一种,一类"
a large amount of,大量的
a little,"一些, 一点点, 一点儿, 稍微, 些许"
a lot of,许多的
lots of,"许多的..., 大量的..."
a mass of,"一块,一团,大量的"
masses of,"大量的,众多的"
a matter of,"...左右, ...上下, 只是...的问题而已, 只需, 大约"
a number of,许多的
a pair of,"一对..., 一付..."
a piece of,"一块..., 一片..."
a quantity of,"一些,若干"
a range of, 一系列; 一些; 一套
a sequence of,"一个…的序列,一系列…"
a series of,"一系列..., 一批..."
a variety of,"各种各样的..., 种种..."
a waste of, 浪费…
abandon oneself to,沉溺于
abide by, 遵守; 信守; 忠于（某人）; 接受
above all,"尤其是, 首先"
according to,"根据, 按照；取决于；据…所说"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
accuse ... of,"un. 控告
"
across the world,[网络] 在全世界；世界各地；横跨世界
act a part,"扮演一个角色, 装腔作势"
act the part,扮演某一特定的角色；(在戏中)扮演一个角色；担当；充当；尽职责，履行义务
act as," 担当…, 起…的作用; 充; 充当; 为"
act on,"按...行动, 作用于
"
act upon," 对…起作用[有功效]; 奉行, 按照…而行动; 照办"
adapt to,适应…;适合…
add in,"n. 外接程序（程序名）
n. (Addin)人名；(阿拉伯)阿丁"
add to,"na. 增加
"
add up,合计
adjust to,[计] 调整至
admit doing sth.,[网络] 承认做某事；承认做过某事；承认做了某事
after a while,过了一会儿
after all,毕竟
after you,[网络] 你先请；您先；您先请
again and again,"再三地, 反复地"
against sb.'s will,无
agree on,"就…取得一致意见,商定"
agree upon,"就…取得一致意见,商定…"
agree to,"同意,赞成…"
agree with,"同意…,与…意见一致;适应…"
ahead of,在…之前
aim at,"v. 目的在于
"
all alone,独立地
all but,"几乎, 差一点"
all day,整天
all in all,"总而言之, 合计, 头等重要的东西"
all kinds of,各种各样的
all of a sudden,突然
all one's life,一生
all over,"全部结束, 到处, 浑身"
all right,"好, 顺利, 良好的, 正确的"
all round,"周围, 四处"
all sorts of,各种各样的，种种
all the best,万事吉利;一路平安;一帆风顺(祝酒或送行时用语)
all the same,仍然
all the time,始终
all the way,"从远道, 自始至终, 一路上"
all year round,一年到头，终年；全年地，整年地
all the year round,一年到头
all through,一直
all together,一起
allow for,"虑及, 体谅"
allow in, 准许进入
along with,"与…一道,与…一起,连同…"
and so on,等等
answer back,"na. 回嘴；顶嘴
"
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
anything but,"单单除...之外, 决不"
apart from,除了...之外
apologize to sb. for sth.,[网络] 因某事向某人道歉
apologize to sb. for doing sth.,无
appeal against,[法] 不服上诉
appeal to,[法] 诉诸...
apply for,"申请,请求,要求…"
apply to,[计] 应用于
appoint as,无
approve of,"赞成,批准…"
argue with sb. about sth.,无
arise from,"从…中产生,由…而引起"
arm in arm,臂挽臂
around the corner,"在拐角处, 在附近, 即将来临"
arrange for,"为…作安排,安排某人做…"
arrive at,"到达, 达到"
arrive in,"到达,抵达,来到"
as a consequence,"因此, 结果是"
as a matter of fact,事实上
as a result,结果
as a result of,作为结果
as a rule,通常
as a general rule,"一般地, 大体上, 总的来看"
as a whole,总体上
as ... as possible,"尽可能..., 愈...愈好"
as far as,"远到, 直到, 至于"
so far as,"远至…;就…来说,在…范围内,至于"
as follows,如下
as for,至于
as if,"na. 彷佛；活像
"
as though,"好像, 仿佛"
as long as,只要...
so long as,只要
as many as,和...一样多
as regards,"关于, 至于"
as soon as,一...就
as to,"根据,按照,依照;关于,至于,就…而言"
as usual,照常
as well,也
as well as,"也, 又"
aside from,除...以外
ask for,"na. 要(价)；来找
"
ask for leave,请假
at a discount,"打折扣, 没销路, 不受欢迎
"
at a distance,有相当距离
at a loss,"困惑, 亏本地"
at a low price,"[经] 廉价, 低价"
at a time,"每次, 在某时"
at all,[网络] 高的
at all costs,不惜任何代价
at an end,"结束,终止"
at any rate,"无论如何, 至少"
at birth,在出生时
at ease,"na. 自由自在；=stand at ease.
"
at one's ease,"安逸, 舒适"
at first,起先
at first sight,乍一看
at hand,"在手边, 在附近, 即将到来"
at home,"在家, 在本地, 在国内, 熟悉"
at last,终于
at least,"至少
"
at length,"最后, 详细地"
at most,至多
at the most,最多
at no time,决不
at once,立刻
at one time,"同时, 曾经"
at one's best,处在最佳状态
at one's own pace,"按自己的节奏
按自己的节奏（歌名，At One's Own Pace）"
at present,"现在, 目前"
at random,"胡乱地, 随便地
"
at risk,"un. 担风险
"
at sb.'s convenience,无
at sb.'s expense,无
at sb.'s service,无
at table,在餐桌边
at the age of,在…年龄的时候
at the beginning of,在…刚开始的时候
at the bottom of,在…的底部
at the end of,"在…末尾,在…结束时"
at the foot of,在…的脚下
at the latest,最迟
at the mercy of,受...支配
at the moment,此刻
at the same time,"同时, 但是"
at the sight of,在看到…时
at the start of,[网络] 在…开始的时候；在……的开始；在---的开端
at the thought of,一想起
at the top of,在…顶部
at times,"有时, 不时"
at war,在交战状态中
at work,"在工作, 在运转"
attach to,"v. 连接在…上；归于
"
attempt to do,v. 尝试去做
attend to, 处理; 注意; 听取; 致力于
attitude to,"un. 对…态度
"
attitude towards,态度，看法
attribute ... to,"na. 认为(成功)是(努力)的结果
"
attract the attention of ...,无
avoid sth.,"vt. 避免, 防止, 撤消
"
avoid doing sth.,[网络] 避免做某事；避免干某事；防止做某事
awake to,"意识到,察觉到"
back and forth,来回地
back away,逐渐后退
back out,"停止不干, 食言
"
back up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
badly off,"穷的, 缺少的"
bargain with sb. for sth.,无
base ... on,"v. 根据
"
be able to,"能, 会"
be about to,即将
be absorbed in,"全神贯注于, 专心于"
be abundant in,"富于,有很多"
