app,"[计] 应用, 应用程序; 相联并行处理器"
enable,"vt. 使能够
"
convenience,"n. 方便, 便利的事物, 方便的时候"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
self-focused,[网络] 自我关注；自我聚焦；以自我为中心
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
"
be addicted to,沉迷于…
indeed,"adv. 的确, 实在, 真正地, 甚至"
download,"[计] 卸载, 下栽"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
avatar,"n. 天神下凡化作人形, 化身"
explore,"v. 探险, 探测, 探究"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
2D,"二维的
平面的
二元的（two dimensional）"
2-dimensional, [医]二维
variety,"n. 多样, 种类, 变种, 杂耍
"
a variety of,"各种各样的..., 种种..."
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
instant messenger,[网络] 即时通讯；即时通信；即时通讯软件
sex,"n. 性别, 性欲
vt. 区别...的性别, 引起...的性欲"
sensible,"a. 有感觉的, 敏感的, 明智的
"
creativity,"n. 创造力, 创造性"
blog,n. 博客；部落格；网络日志
obviously,"adv. 显而易见地, 明显地"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
hairstyle,n. 发型
selection,"n. 选择, 选文, 精选品
"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
powerful,"a. 有力的, 有权力的, 强大的
"
latest,a. 最近的
reality,"n. 实在, 事实, 实体, 逼真
"
VR,[医] 语响
Virtual Reality,n. [计]虚拟现实
AR,"suf. [构成形容词]表示：...的：molecular,nuclear; ...状的,似...的：triangular; 有...特性的：popular; [构成名词]表示：...的人,...的物：bursar, scholar, vicar, morta; 动作者[-er或-or的异体]：liar, pedlar"
Augmented Reality,"n. 增强现实
"
MR,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
"
Mixed Reality,[网络] 混合现实；混合实境；混合现实技术
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
software,"n. 软件
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
mobile device, 移动装置
ensure,"vt. 确定, 保证, 担保, 保护
"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
gender,"n. 性
vt. 产生"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
goods,"n. 货物
"
favour,"n. 好感, 偏爱, 喜爱, 相信, 庇护, 赞同, 支持, 信赖, 善行, 恩惠, 徽章, 礼物
vt. 赞成, 帮助, 支持, 喜爱, 偏袒, 关切, 赐与, 给与, 有利于, 有助于, 像, 体恤"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
error,"n. 错误, 过失, 失误, 误差
"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
argument,"n. 争论, 论证, 论据, 自变量
"
replace,"vt. 代替, 替换, 放回, 归还
"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concerned,"a. 关心的, 有关的, 参与的, 担心的"
be concerned with,"涉及..., 与...有关"
rewarding,"a. 有益的, 有报酬的, 报答的"
addition,"n. 加法, 增加的人(或物)
"
in addition,另外
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
basis,"n. 基础, 主要成分
"
percent,"n. 百分比, 百分数, 部分
"
opinion,"n. 意见, 评价, 主张
"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
smartphone,n. 智能手机
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
"
limiting,"a. 限制的
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
emoji,n. 表情符号
creative,"a. 有创造力的, 创作的, 产生的"
thought-provoking, 发人深省的
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
location,"n. 位置, 场所, 特定区域
"
optional,"a. 可选择的, 随意的
"
imaginary,"a. 想像的, 虚构的, 假想的"
fantasy,"n. 幻想, 想象的产物
"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
author,"n. 作家, 作家的著作, 创始人
"
amazing,a. 令人惊异的
privacy,"n. 隐私, 隐居, 秘密
"
policy,"n. 政策, 方针, 策略, 保险单
"
digitise,vt. 数码化
sailor,"n. 水手, 船员, 海员
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
wristband,n. 袖口
disaster,"n. 灾祸, 不幸, 彻底失败"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
drought,"n. 干旱, 缺乏"
hurricane,"n. 飓风, 暴风, 暴风雨"
landslide,"n. 山崩
"
volcanic,"a. 火山的, 猛烈的
n. 火山岩"
eruption,"n. 爆发, 喷出物, 出疹
"
wildlife,n. 野生动植物
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
crowded,"a. 拥挤的, 塞满的"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
living,"n. 生活, 生计, 生存
a. 活的, 逼真的, 现存的"
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
deer,n. 鹿
insect,"n. 昆虫, 卑鄙的人
"
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
dolphin,n. 海豚
shark,"n. 鲨鱼, 骗子
v. 诈骗"
kangaroo,"n. 袋鼠
"
eagle,"n. 鹰, 鹰状标饰"
fox,"n. 狐狸, 狡猾的人
vi. 奸狡地行动, (书页)生斑, 变酸
vt. 欺骗, 使变酸, 为(鞋等)换面, 使生黄斑"
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
climate,"n. 气候, 社会趋势, 气候区
"
ecology,"n. 生态学, 社会生态学
"
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
overuse,"vt. 使用过度
n. 过度使用, 任意驱使"
million,"n. 百万, 无数
num. 百万"
greenhouse,n. 温室
turn one's back,[网络] 不愿帮助；在别人遇到困难时；不理会某人
turn one's back on sb.,"背弃, 抛弃"
turn one's back on sth.,"背弃, 抛弃"
title,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕
vt. 授予头衔, 加标题于
"
whirlpool,"n. 漩涡, 涡流
"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
descent,"n. 降落, 家系, 侵袭, 血统
"
tidal,"a. 潮汐的, 受潮汐影响的"
poetry,"n. 诗, 韵文, 诗歌艺术"
mystery,"n. 秘密, 神秘, 奥秘"
soul,"n. 灵魂, 心灵, 精神, 精髓, 人, 化身, 典型, 鬼魂
a. 黑人的"
frightened,"a. 受惊吓的, 受惊的, (非正式)害怕...的"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
on the edge of,"濒于, 几乎, 在边缘"
barrel,"n. 桶
vt. 装入桶内"
curious,"a. 好奇的, 求知的, 古怪的"
observation,"n. 观察, 注意, 观测, 观察力
"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
extent,"n. 范围, 程度, 区域
"
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
