comedy,"n. 喜剧, 有趣的事情"
cross talk,[计] 串道; 串音; 串扰
pretend,"v. 假装, 伪称, 自命, 自称"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
well-being,n. 健康; 幸福; 保持良好状态
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
enhance,"vt. 提高, 加强, 增加"
referee,"n. 仲裁人, 调解人, 裁判员
v. 仲裁, 裁判"
terrified,a. 受惊吓的；感到恐惧的
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
unbalanced,"a. 不平衡的, 错乱的, 不稳定的, 收支不平衡的
"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
embarrassed,a. 尴尬的；窘迫的
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
confused,"a. 困惑的, 混乱的"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
saucer,"n. 茶碟, 茶托
"
doorway,"n. 门口, 途径"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
casually,"adv. 偶然地, 临时地, 随便地"
innocently,adv. 纯洁地；无罪地
appetite,"n. 食欲, 欲望, 爱好
"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
deduce,"vt. 推论, 演绎出
"
astronomy,n. 天文学
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
potentially,"adv. 可能地, 潜在地"
Saturn,n. 土星
Leo,"n. 狮子, 狮子座"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
measurement,"n. 尺寸, 度量, 度量单位
"
atmosphere,"n. 大气, 空气, 气氛
"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
middle-aged, 中年
surgery,"n. 外科, 手术, 手术室, 换球术"
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
sneeze,"n. 喷嚏
vi. 打喷嚏"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
consultation,"n. 请教, 咨询, 磋商会
"
crisis,"n. 危机, 危险期, 紧要关头
"
examine,"v. 检查, 调查, 考试"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
afterwards,"adv. 然后, 后来"
circus,"n. 马戏团, 马戏, 竞技场"
clown,"n. 小丑, 乡下人"
deserve,"vt. 该得到, 值得
vi. 应得报答"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
muscle,"n. 肌肉, 臂力
"
