man-made,人造的
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
discussion,n. 讨论
eastern,"n. 东方人, 东正教徒
a. 东方的, 向东的, 自东的"
though,"adv. 然而, 可是
conj. 虽然, 纵然"
loud,"a. 大声的, 不断的, 喧吵的
adv. 高声地, 大声地"
wow,"interj. (非正式)哇
n. 巨大的成功, 轰动一时的成功, 十分有趣的事物
"
opinion,"n. 意见, 评价, 主张
"
in one's opinion,"na. 据某人意见
"
more than,"比...多, 超出预料, 很, 绰绰"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
millions of,"成千上万的..., 无数的..."
below,"prep. 在下面
adv. 在下面"
shine,"n. 光泽, 阳光
vt. 使发光
vi. 照耀, 发光, 发亮"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
silent,"a. 沉默的, 安静的, 无声的, 静止的
"
silver,"n. 银, 银币, 银器
a. 银的, 银制的, 银器的
vt. 镀银
vi. 变银白色"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
grey,"n. 灰色
a. 灰色的, 阴沉的
v. (使)成灰色"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
beside,prep. 在旁边
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
fall away,"消瘦, 背离, 离开, 消失, 倾斜"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
nearly,"adv. 几乎, 密切地"
on top of,"熟练掌握, 在...之上, 完全控制着, 另外, 紧接着"
canyon,"n. 峡谷, 海底悬崖"
remain,"vi. 保持, 逗留, 剩余
"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
since then,"从那以来,从此"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
until,"prep. 直到, 在...以前
conj. 直到...时, 在...以前"
off,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的
adv. 走开, ...掉, ...下, 休息, 出发, 隔断
prep. 离开, 脱落, 不在从事......, 在...之外
vi. 离开, 滚开
vt. 杀死
n. 关闭状态
"
all kinds of,各种各样的
vacation,"n. 假期, 休假
"
take a vacation,度假
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
have fun, 玩得高兴，过得快活; 耍笑; 玩耍
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
UK,"n. 英国；联合王国
abbr. United Kingdom 联合王国
"
as soon as,一...就
fourth,"num. 第四, 四分之一"
sixth,"num. 第六, 六分之一"
seventh,"num. 第七, 七分之一"
eighth,"num. 第八, 八分之一"
ninth,"num. 第九, 九分之一"
tenth,"num. 第十, 十分之一"
twelfth,"num. 第十二, 十二分之一"
twentieth,"num. 第二十, 二十分之一"
among,prep. 在...之中
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言
"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
following,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
lay the table,"摆餐具,摆餐桌"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
dish,"n. 盘子, 碟, 菜肴
"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
ourselves,pron. 我们自己
including,"prep. 包含, 包括
"
medal,"n. 奖牌, 勋章
vt. 授勋予"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
once again,再一次
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
degree,"n. 程度, 度数, 学位, 度
"
whatever,pron. 无论什么
give up,"na. 放弃；断绝；投降；自首
"
amazing,a. 令人惊异的
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
victory,"n. 胜利, 战胜, 克服"
simply,"adv. 简单地, 只是, 简直, 简朴地, 坦白地"
Canadian,a. 加拿大的
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
soldier,"n. 军人, 士兵, 兵蚁
vi. 从军, 尽职, 偷懒, 磨洋工"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
wound,"n. 创伤, 伤口, 伤疤, 伤害, 痛苦
vt. 伤害, 损害, 使受伤
vi. 打伤, 伤害
wind的过去式和过去分词"
die for,为…而献身; 〈口〉急需(某物)
