breakfast,n. 早餐
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
some,"pron. 一些, 一部分, 若干
adv. 大约
a. 一些的, 少许的, 某一的"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
lunch,n. 午餐
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
chicken,"n. 小鸡, 鸡肉"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
dinner,"n. 晚餐, 正餐, 宴会"
would like, 想要
drink,"n. 饮料, 酒
v. 喝, 喝酒"
coffee,"n. 咖啡, 咖啡色
"
apple,"n. 苹果, 家伙
"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
too,"adv. 也, 非常, 太"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
lovely,"a. 可爱的, 有趣的"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
isn't,(=is not)不是
is not,无
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
whose,pron. 谁的
shirt,"n. 衬衫, 内衣, 汗衫"
