precise,"a. 精确的, 严谨的, 明确的
"
goodness,"n. 仁慈, 善良"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
seaside,"a. 海边的, 海滨的
n. 海滨"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
dozen,"n. 打, 十二个
a. 一打的"
acquire,"vt. 获得, 学到
"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
tiny,"a. 很少的, 微小的"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
willingness,"n. 乐意, 心甘情愿, 愿意"
agricultural,"a. 农业的
"
liberation,"n. 释放, 解放
"
restriction,"n. 限制, 限定, 约束
"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
unfair,"a. 不公平的, 不正直的, 不正当的
"
cater,"v. 提供饮食及服务, 投合, 迎合"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
unfit,"a. 不适当的, 不胜任的, 不健康的
vt. 使不相宜, 使不合格"
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
album,"n. 粘贴簿, 唱片套
"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
civilization,"n. 文明, 教化
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
retell,"vt. 再讲, 重复, 重说"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
breath,"n. 呼吸, 气息, 瞬间
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
shaver,"n. 修面的人, 电动剃刀, 刨刀, 杀价买进期票的人, 善于讨价还价的人"
medical,"n. 医生, 体格检查
a. 医学的, 内科的, 药的"
dine,"vi. 用正餐, 进餐
vt. 宴请"
smelly,"a. 发臭的, 有臭味的"
approximately,"adv. 大约, 大致, 近于
"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
enquiry,"n. 询问
"
puzzled,"a. 困惑的, 迷惑的"
evident,"a. 显然的, 明显的"
simple-minded,"adj. 傻；头脑简单的
"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
regulation,"n. 规则, 管理, 调整
"
co-worker,"n. 共同工作者
"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
bacterium,"n. 细菌
"
zoom,"n. 急速上升, 变焦摄影, 嗡嗡声
vi. 猛增, 急速上升, 摄象机移动
vt. 使摄象机移动
"
explicit,"a. 详述的, 清楚的, 直言的"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
