boring,"a. 烦人的, 无聊的, 无趣的
"
classmate,n. 同班同学
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
drawing,"n. 图画, 制图, 拉
"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
especially,"adv. 尤其, 特别, 格外"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
geography,"n. 地理学, 地理
"
history,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
"
introduce,"vt. 介绍, 引入, 采用, 输入
"
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
maybe,"adv. 也许, 大概
n. 可能性"
neighbor,"n. 邻居
vt. 邻接
vi. 毗邻而居, 友好
a. 邻近的"
neighborhood,"n. 附近, 邻近"
painting,"n. 画, 绘画, 油漆
"
really,"adv. 实际上, 真实地, 实在"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
themselves,"pron. 他们自己, 她们自己, 它们自己"
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
chore,"n. 零工, 家务
"
dish,"n. 盘子, 碟, 菜肴
"
dust,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱
vt. 拂去灰尘, 撒, 弄成粉末
vi. 拂去灰尘, 化为粉末"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
furniture,"n. 家具, 帆具"
grass,"n. 草, 草原, 牧场
"
hardly ever,几乎从不
homework,"n. 家庭作业, 家里做的工作
"
never,"adv. 从不, 决不, 不曾
"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
person,"n. 人, 人身, 人称
"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
street,"n. 街道, 马路, 街区
a. 街道的"
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
trash,"n. 垃圾, 废物
vt. 丢弃"
twice,"adv. 两次, 两倍"
bowling,n. 保龄球戏
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
ice-skate,溜冰鞋
