violin,n. 小提琴
put,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予
vi. 出发, 航行, 发芽
n. 掷, 股票出售权, 笨蛋
a. 固定不动的
"
put into,"na. 插入；注入；(船)入港
"
get to,"到达, 接触到, 开始, 对...有影响"
meet at the gate,无
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
shall,aux. 将
or,"conj. 或, 或者
"
basket,"n. 篮, 篮子
vt. 装入篮"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
just now,刚刚
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
wallet,"n. 皮夹
"
sunglasses,"n. 太阳镜, 墨镜, 太阳眼镜"
gloves,n. 手套（glove的复数）
warm jacket,[网络] 外套；保暖外套
rain boots, 油靴
school bag,书包
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
in front of,在...前面
yesterday,"n. 昨天
adv. 昨天"
lost,"a. 失去的, 遗失的, 迷惑的
lose的过去式和过去分词"
ago,adv. 以前
thousand,"num. 千
a. 成千的, 许多的
n. 许许多多"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
watch a show,无
look after,"目送, 照顾, 关心"
housework,"n. 家事, 家务"
do housework,vt. 做家务
see a friend,无
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
go away,走开
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
happen,"vi. 发生, 发生, 恰巧"
herself,"pron. 她自己, 她亲自"
beach,n. 海滩
volleyball,n. 排球
play beach volleyball,无
museum,n. 博物馆
visit the museum,无
buy some gifts,无
eat sea food,无
make a cake, 制做蛋糕
myself,"pron. 我自己, 我亲自, 我独自"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
laugh,"n. 笑, 笑声
vi. 笑, 大笑
vt. 以笑表示"
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
joke,"n. 笑话, 玩笑, 笑柄
v. 开玩笑, 取笑, 作弄"
tell a joke,[网络] 讲笑话；说笑话；讲个笑话
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
act a play,无
guitar,n. 吉他
play the guitar, 弹吉他
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
win a gift,无
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
everyone,"pron. 每个人, 人人
"
everything,"pron. 每件事物, 所有事物"
at the beginning,从头开始
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
finally,"adv. 最后, 终于"
