commend,"vt. 嘉奖, 委托给, 推荐"
slime-based,无
grit,"n. 砂砾, 粗砂石
vt. 覆以砂砾, 咬牙切齿地说
vi. 摩擦作声"
high-powered,高功率的；马力大的
piss off,"na. 惹恼；滚开
"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
detonate,"vt. 引爆, 使爆炸, 使爆裂
vi. 爆炸, 发爆炸声"
to the effect that,"大意是, 以便"
reincarnation,"n. 转世化身, 再生"
hype,n. 大肆宣传；皮下注射
info,"n. 信息
"
trustee,"n. 受托人, 理事
"
salient,"a. 显著的, 突出的, 跳跃的
n. 凸角, 突出部分"
credentials,"n. 信任状, 国书, 文件, 身份证明, 证书
"
indentured,v. <史>以契约束缚（学徒）( indenture的过去式和过去分词 )
tacitly,"adv. 肃静地, 沉默地"
disparity,"n. 不一致
"
feather bed,羽毛铺盖
assimilation,"n. 同化, 同化作用, 吸收
"
cut corners,抄近路
tragicomedy,n. 悲喜剧
academia,"n. 学术界, 学术生涯"
over-intellectualized,[网络] 过于智慧化
be clipped off,无
sue your eyes out,无
mince,"n. 切碎物
vt. 切碎, 矫揉做作地说
vi. 碎步走, 装腔作势"
esteemed,a. 受人尊敬的
samurai,n. 武士
discomfit,"vt. 打乱, 挫败, 使破灭"
jigger,"n. 小滑车, 小玩意
"
ethos,n. 气质；民族精神；社会思潮
amok,"adv. 乱砍乱杀, 杀气腾腾地横冲直撞
"
temerity,"n. 鲁莽, 蛮勇"
align,"vi. 排列, 排成一行, 结盟
vt. 使结盟, 使成一行, 校正"
align with,v. 与…结盟
disgorge,"vt. 吐出, 流注, 被迫交出
vi. 呕吐"
decorously suited,无
discreet,"a. 小心的, 慎重的"
precept,"n. 规诫, 规矩, 格言, 训令
"
arduous,"a. 费力的, 努力的, 险峻的"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
fraught,"a. 含有...的, 伴着...的, 充满...的"
dope out,"预测, 猜出, 想出"
protracted,a. 拖延的
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
in proximity to, 接近
revere,"vt. 崇敬, 敬畏, 尊敬"
alienated,a. 疏远的；被疏远的
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
sublime,"a. 高尚的, 壮观的, 卓越的
v. 提高, (使)变高尚, (使)纯化, (使)升华
n. 庄严, 崇高, 顶点"
wherewithal,"n. 必要的资金
"
sage,"n. 圣人, 哲人, 鼠尾草属植物
a. 贤明的, 明智的"
aversion,"n. 厌恶, 讨厌的事, 讨厌的人
"
speculative,"a. 思索性的, 投机的, 推测的
"
erotic,"a. 性爱的, 性欲的, 色情的
n. 好色之徒, 色情诗"
charismatic,"a. 魅力, 能吸引大众的非凡能力, 神授的能力, 领袖人物感人的超凡魅力"
consequential,"a. 作为结果的, 随之发生的, 推论的, 间接的, 重大的, 自大的, 傲慢的, 自傲的
"
goad,"n. 赶牛棒, 激励, 刺激
vt. 用刺棒驱赶, 激励, 刺激, 唆使, 煽动"
winnow ... out,"淘汰
排除"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
assertive,"a. 武断的, 过分自信的
"
prod,"n. 刺针, 刺棒, 激励话, 提醒物
vt. 戳, 刺, 刺激
vi. 戳, 刺"
pester,"vt. 不断打扰, 纠缠"
a cornucopia of,无
be cut out to do,无
for what it's worth,[网络] 不论真假；不论真伪；不管怎样
manger,"n. 马槽, 牛槽, 挡水板"
Formica,n. 胶木
sauciness,n. 鲁莽
sheet music,活页乐谱
encore,"n. 再演唱的要求, 要次登场
interj. 再演唱一次
vt. 要求再演(或唱)"
sonata,n. 奏鸣曲
