elementary,"a. 初步的, 基本的
"
future,"n. 未来, 将来
a. 将来的, 未来的"
Kenya,n. 肯尼亚
lawyer,"n. 律师
"
return,"n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书
a. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的
vi. 返回, 归还, 回来
vt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回
"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
instrument,"n. 工具, 手段, 仪器
"
presentation,"n. 赠与, 描述, 介绍
"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
businesswoman,"n. 商人, 办理实务的人, 经商者"
generation,"n. 一代, 一世, 产生
"
Johannesburg,约翰内斯堡[南非(阿扎尼亚)东北部城市]
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
neighborhood,"n. 附近, 邻近"
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
shantytown,n. 棚户区
South Africa,南非
suburb,"n. 市郊住宅区, 郊区, 边缘"
Western,"n. 西方人, 西部片, 西部小说
a. 向西方的, 来自西方的, 西方的, 西洋的, 西部的"
bottled water, 包装饮用水
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
