fresher,n. 大学一年级生
wearisome,"a. 使疲倦的, 使厌倦的, 乏味的"
expedition,"n. 远征, 探险队, 迅速"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
warden,"n. 典狱官, 渔猎法监督官, 看守人
"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
unlock,"vt. 开...的锁, 开启, 表露, 放出
vi. 被开启, 揭开, 解放
"
barely,adv. 几乎不
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
full-length,[机] 全长
muscle,"n. 肌肉, 臂力
"
hem,"n. 边缘, 折边, 哼声
vt. 缝边, 包围, 关闭
vi. 做折边, 发哼声
interj. 哼"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
affable,"a. 和蔼可亲的, 友善的, 亲切的, 慈祥的"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
jerk,"n. 性情古怪的人, 急拉, 肌肉抽搐, 牛肉干
vi. 痉挛, 急拉, 急推
vt. 猛拉"
wildly,"adv. 狂暴地, 激动地, 狂热地, 鲁莽地, 轻率地"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
sip,"n. 啜饮, 小口喝, 抿
vi. 啜饮
vt. 啜
"
thunderstruck,"a. 惊愕的, 吓呆的, 遭雷击的"
enquire,v. 询问
peckish,"a. 有点饥饿的, 想要吃的, 急躁的"
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
lengthy,"a. 冗长的, 漫长的"
guy,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
frighteningly,"adv. 吓人地; 令人恐惧地, 引起突然惊恐地"
intelligent,"a. 聪明的, 智能的, 了解的"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
impressive,"a. 给人深刻印象的, 威严的"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
concur,"vi. 同意, 一致, 同时发生
"
ballroom,"n. 舞厅, 跳舞场"
dramatics,"n. 演剧活动, 舞台技术, 演剧技术, 戏剧艺术研究, 戏剧性行径"
choir,"n. 唱诗班, 唱诗班的席位
v. 合唱"
buddy,"n. 好朋友, 伙伴"
reassure,"vt. 使...安心, 向...再保证
"
inordinately,"adv. 紊乱地, 不规则地, 无限制地, 过分地, 无节制地, 放纵地, 过度地"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
check in,"登记, 报到
"
out of order,"次序颠倒, 不整齐
"
stretch out,"伸手, 开始大踏步走"
go along,"前进, 进行"
sign up for, 注册，选课；报名参加
rent out,租出
as long as,只要...
burst into tears,突然哭起来
burst into song,忽然唱起歌来
burst into laughter,哈哈大笑起来
run out of,用完
'tis,"n. 【植】铁树 (Cordyline terminalis)
abbr. (=titanium)【化】
short. it is"
memoir,"n. 传记, 实录, 追思录, 回忆录, 自传
"
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
cultural,"a. 文化的, 教养的, 修养的
"
inadequate,"a. 不充分的, 不适当的
"
subway,"n. 地铁, 地道
vi. 乘地铁"
admiringly,"adv. 钦佩地, 羡慕地"
pilgrim,"n. 旅行者, 朝圣者, 香客
vi. 朝圣"
scribble,"n. 潦草的写法, 潦草写成的东西, 拙劣的作品
v. 潦草地书写, 乱写, 滥写"
detect,"vt. 发现, 察觉, 探测
"
Irish,"n. 爱尔兰人, 爱尔兰语
a. 爱尔兰的"
brogue,"n. 土腔, 拷花皮鞋"
persecution,"n. 虐待, 迫害运动, 迫害, 烦扰
"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
diploma,"n. 文凭, 毕业证书
"
surely,"adv. 的确地, 安全地
"
cafeteria,"n. 自助餐厅
"
Puritan,"n. 清教徒
a. 清教徒的"
out of,"在...外, 离开..., 从...里面, 出于, 由于, 因为, 缺乏, 没有, 放弃, 丧失"
in the long run,"长远, 最后"
be lost,迷
feel lost, 怅然若失; 恍然若失; 不知所措
frighten the life out of sb., 吓掉…的魂
frighten sb. to death,吓坏了，吓得要死
dorm,n. 宿舍
complicated,"a. 复杂的
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
oyster,"n. 牡蛎, 蚝, 沉默者"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
nasty,"a. 污秽的, 下流的, 险恶的"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
enormous,"a. 巨大的, 庞大的"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
seafood,"n. 海味, 海鲜, 鱼类"
crab,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果
vi. 捕蟹, 偏航, 发牢骚
vt. 使偏航, 抱怨, 破坏"
prawn,"n. 明虾, 对虾
vi. 捕虾"
lobster,n. 龙虾
shellfish,"n. 贝, 甲壳类水生物
"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
bucket,"n. 桶
"
yummy,"a. 美味的, 可口的, 赏心悦目的, 愉快的"
schoolboy,n. 男学生
juicy,"a. 多汁液的, 生动的, 多水分的"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
emotion,"n. 情绪, 激动, 强烈的情感
"
innocence,"n. 无罪, 无知, 天真无邪
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
homesick,"a. 思家的, 思乡病的"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
complain,"v. 抱怨, 抗议, 控诉"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
mouthful,"n. 一口, 满口"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
despair,"n. 绝望, 失望
vi. 绝望"
bake,"vt. 烘焙, 烤
vi. 烤面包
n. 烘焙, 烤"
thumb,"n. 拇指
vt. 以拇指拨弄, 笨拙地摆弄, 用拇指翻旧, 迅速翻阅, 作搭车手势"
slippery,"a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的
"
work out,"v. 作出；拟定；制定；计划一下
"
to be frank,"坦率地说,老实说"
come of age,"到法定年龄
"
a battery of,"一连串的,一系列的…"
now and then,偶尔
pick up,"v. 拾起；探出；重新开始
"
cacao,"n. 可可豆, 可可树
"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
paste,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击
vt. 用浆糊粘, 张贴, 狠狠地打
"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
stimulating,"a. 刺激的, 有刺激性的"
nourishing,"a. 有营养的, 滋养多的"
cocoa,"n. 可可粉, 可可茶, 可可色
"
highly,"adv. 非常, 非常赞许地
"
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
mould,"n. 模子, 模制品, 松软沃土, 霉
vt. 形成, 浇铸, 用泥土覆盖
vi. 发霉"
