greenhouse effect,温室效应
endanger,"vt. 危及
"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
ecology,"n. 生态学, 社会生态学
"
botanical,"a. 植物学的
n. 植物性药材"
a number of,许多的
consultant,"n. 顾问, 征询意见者
"
brewery,"n. 啤酒厂, 酿酒厂
"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
principle,"n. 原则, 原理, 主义
"
boycott,"n. 联合抵制
vt. 联合抵制"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
conservation,"n. 保护, 保存
"
consensus,"n. 合意, 一致, 同感
"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
beyond one's control, [法]难以约束; 不由自主
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
look ahead,"向前看, 着眼未来"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
in turn,"na. 挨次
"
lead to,"导致, 通向"
ray,"n. 光线, 射线, 闪烁, 光辉
vi. 射出光线, 浮现, 放射光线
vt. 放射, 显出"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
pin,"n. 大头针, 针, 别针, 栓, 销子, 图钉, 插头, 管脚, 品(液量单位)
vt. 将...用针别住, 钉住, 压住, 牵制, 使不能动, 归罪于
a. 针的, 销子的, 闩的"
agriculture,"n. 农业
"
coincidence,"n. 巧合, 同时发生
"
condemn,"vt. 判刑, 责备, 谴责
"
drought,"n. 干旱, 缺乏"
federal,"a. 联邦的, 联合的, 同盟的
"
reservation,"n. 保留, 预定, 保留品, 保留地
"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
take action,"采取行动, 提出诉讼"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
ahead of,在…之前
pancake,"n. 薄烤饼, 薄煎饼, 烙饼"
hurricane,"n. 飓风, 暴风, 暴风雨"
species,"n. 种, 类, 外形
"
leopard,"n. 豹, 美洲豹"
crested ibis,朱?
alligator,"n. 短吻鳄
"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
tortoise,"n. 龟, 行动迟缓的人"
apart from,除了...之外
mainland,"n. 大陆, 本土
"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
call for an end to sth.,无
or else,否则
wrap up,"na. 包起来；包好；穿暖和些；〈非正式〉完成
"
behalf,"n. 利益, 方面"
on somebody's behalf,"na. 给
"
for good,"永久地, 永远地, 一劳永逸地"
carry off,"na. 得(奖)；夺去；诱拐；(病)夺去人命
"
Tibetan antelope,"n. 【动】藏羚羊
"
Tibet,n. 西藏
fashionable,"a. 时髦的, 上流社会的, 流行的"
enforce,"vt. 强迫, 执行, 坚持
"
all in all,"总而言之, 合计, 头等重要的东西"
orangutan,"猩猩
"
landslide,"n. 山崩
"
tsunami,n. 海啸
typhoon,n. 台风
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
