Broadband phone,[网络] 宽带电话
assessment,"n. 评估, 估定, 评定的款额
"
tick-box test,无
outdoor activity,室外活动
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
kayak,n. 爱斯基摩人划子
white water,[化] 白水; 纸浆白水
back country, 穷乡僻壤
skill,"n. 技术, 技巧, 技能, 熟练, 熟练工人
"
grow up in,无
ski,"n. 滑雪橇
vi. 滑雪"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
unimportant,a. 不重要的
cheaply,adv. 便宜地
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
still,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
indoor activity,无
learner,"n. 学习者, 初学者"
phone,"n. 电话, 受话器, 耳机
vt. 打电话给
vi. 打电话"
get on,"na. 上马；安上；过日子；相投 (with together)
"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
swimming pool,n. 游泳池
gymnasium,"n. 健身房, 体育馆
"
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐
vt. 摇摆, 摇动, 使摇晃, 使动摇
vi. 摇, 摇动"
forest,"n. 森林, 林区
vt. 植树于"
guest,"n. 客人, 来宾, 旅客
"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
tyre,"n. 轮胎
vt. 装轮胎于"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
put on weight,体重增加
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
upstairs,"a. 楼上的
adv. 在楼上, 向楼上, 处于更高地位
n. 楼层"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
whether,"conj. 是否, 不论
pron. 两个中的哪一个"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
leave something to somebody,无
reservation,"n. 保留, 预定, 保留品, 保留地
"
use to, 过去常常
