abscissa,"n. 横坐标
"
absolute value,
acute angle,
addition,"n. 加法, 增加的人(或物)
"
adjacent angle,[医] 邻角
algebra,n. 代数学
algorithm,"n. 算法
"
angle bisector,角平分线，分角线
angular,"a. 有角的, 消瘦的, 有尖角的, 生硬的
"
arc,"n. 弧, 弧形, 弓形, 弧光
"
area,"n. 区域, 面积, 范围, 空地
"
arithmetic,"n. 算术, 算术知识
"
arithmetic mean,
arithmetic progression,
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
average out,"na. 平均为；最终达到平衡
"
bisect,"v. 分成两部份, 对分"
bracket,"n. 支架, 括弧, 托架
vt. 装托架, 括入括弧
"
breadth,"n. 宽度
"
calculator,"n. 计算者, 计算器
"
calculus,n. 结石；微积分学
center,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中
"
chord,"n. 弦, 和音
"
coefficient,"n. 系数
"
common divisor,"n. 公约, 公约数"
composite number, 合数
concentric,"a. 同中心的, 同轴的
"
concentric circle,同心圆
cone,"n. 圆锥体, 球果
vt. 使成锥形"
congruent,"a. 适合的, 一致的, 合谐的, 全等的"
consecutive integer,无
cube,"n. 立方体, 立方
"
decimal,"a. 十进位的, 小数的
n. 十进制, 小数
"
denominator,"n. 分母, 命名者
"
diagonal,"a. 对角线的, 斜的, 斜纹的
n. 对角线, 斜线, 斜列"
diameter,"n. 直径
"
difference,"n. 不同, 差异
"
digit,"n. 数字, 位数, 指头
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
dimensional,"a. ...维的
"
divided evenly, 被整除
dividend,"n. 被除数, 股利
"
divisible,"a. 可分的, 可分割的, 除得尽的
"
divisor,"n. 除数, 公约数
"
equation,"n. 相等, 等式, 平衡
"
equilateral triangle, 等边三角形
even number,[计] 偶数
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
factorial,"a. 因子的, 阶乘的, 代理商的
n. 阶乘
"
formula,"n. 客套语, 公式, 准则
"
fraction,"n. 小部分, 破片, 分数
"
