maple,"n. 枫, 枫木, 淡棕色
"
pudding,n. 布丁
black pudding,[机] 血(香)肠
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
hot pot,n. 火锅
dare,"n. 挑战, 挑动, 大胆
v. 敢, 胆敢"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
"
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
bacon,"n. 熏猪肉
"
sausage,"n. 香肠, 腊肠"
toast,"n. 吐司, 烤面包, 干杯
vt. 敬酒, 烤, 使暖和
vi. 烤, 烘"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
typical,"a. 典型的, 象征性的
"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
stinky,a. 发恶臭的
tofu,n. 豆腐
horrible,"a. 可怕的, 遭透的, 极讨厌的"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
cheese,"n. 乳酪
"
someday,adv. 有一天
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
oolong,n. 乌龙茶
china,"n. 中国, 瓷器
a. 中国的"
symbol,"n. 符号, 象征, 代号, 信条
"
opinion,"n. 意见, 评价, 主张
"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
download,"[计] 卸载, 下栽"
related,"a. 讲述的, 叙述的；有关系的, 有关联的"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
manners,n. 礼貌
in case,万一
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
differ,"vi. 不一致, 不同
"
BBQ,abbr. 烧烤炉；野外烧烤（barbecue）
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
steak,"n. 牛排, 鱼排, 肉排"
sauce,"n. 酱油, 调味汁, 酱
vt. 给...调味, 使增加趣味"
slightly,"adv. 些微地, 苗条地"
incredibly,adv. 不能相信地
pizzeria,"n. 匹萨饼店, 意大利肉饼店"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
bakery,n. 面包店
cheesecake,"n. 干酪饼, 半裸体的女人照片"
creamy,"a. 含乳脂的, 乳脂状的, 奶油色的
"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
yoghurt,"n. 酸乳, 酸奶"
within,"n. 内部, 里头
adv. 在内部, 在内心里
prep. 在...之内"
lifestyle,n. 生活方式
belong,"vi. 属于, 合适"
belong to,属于
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
end up,"竖着, 结束, 死"
honey,"n. 蜂蜜, 甜蜜, 爱人
a. 蜂蜜似的, 甜蜜的, 甘美的
vt. 加蜜使甜, 对...说甜言蜜语
vi. 说甜言蜜语, 奉承"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
construction,"n. 建筑, 构造, 建筑物
"
satisfying,"a. 满意的, 充分的, 足可相信的"
homemade,"a. 自制的, 国产的"
chef,n. 厨师
convenient,"a. 方便的, 合宜的
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
recipe,"n. 食谱, 处方, 秘诀
"
blog,n. 博客；部落格；网络日志
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
ranking,"n. 等级, 地位
a. 上级的, 头等的, 超群的"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
reconstruct,"vt. 重建, 改造
"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
adapt,"vt. 使适应, 改编
vi. 适应"
pick up,"v. 拾起；探出；重新开始
"
breast,"n. 胸部, 乳房, 胸怀
vt. 以胸对着, 面对"
onion,"n. 洋葱
vt. 因洋葱使掉泪"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
dragon,"n. 龙, 凶暴的人
"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
poet,n. 诗人
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
decoration,"n. 装饰, 装饰品"
freedom,"n. 自由, 坦率, 特权
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
regardless,"a. 不管, 不注意, 不顾"
inequality,"n. 不平等, 不同, 不平坦, 不平均
n. 不平等, 不等式
"
fantasy,"n. 幻想, 想象的产物
"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
limitless,"a. 无限的, 无界限的"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
regard ... as ...,把...认作
literature,"n. 文学, 文艺, 著作
"
envelope,"n. 信封, 封套, 封袋
"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
handwritten,a. 手写的
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
roof,"n. 屋顶, 室顶
vt. 给...盖屋顶, 遮蔽"
complain,"v. 抱怨, 抗议, 控诉"
warning,"n. 警告, 预告, 预兆, 通知
"
starving,a. 挨饿的；饥饿的
indicate,"vt. 显示, 象征, 指示, 指出
"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
fancy dress,"化装舞会服装,奇装异服"
guy,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
dessert,n. 餐后甜点
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现"
decorate,v. 装饰
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
competition,"n. 竞争, 竞赛
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
effort,"n. 努力, 成就"
loss,"n. 损失, 遗失, 失败, 输, 错过, 伤亡
"
eve,"n. 前夕, 前夜"
software,"n. 软件
"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
