abandon oneself to,沉溺于
abide by, 遵守; 信守; 忠于（某人）; 接受
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
accuse sb. of sth.,"un. 控告
"
act on,"按...行动, 作用于
"
act out,"v. 演出
"
act up,"运作不正常, 调皮"
add in,"n. 外接程序（程序名）
n. (Addin)人名；(阿拉伯)阿丁"
add on," （在计算或目录的末尾额外）加上, 附加"
add up,合计
add up to,合计达
allow for,"虑及, 体谅"
allow of,容许
amount to,"[经] 等于, 相当于"
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
apply for,"申请,请求,要求…"
associate ... with,"v. 与…联系
"
avail oneself of,利用；趁(机会)，借此(机会)
back away,逐渐后退
back down,"放弃要求, 取消前言"
back off,后退
back out,"停止不干, 食言
"
back up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
bank on,"指望, 依赖"
barge in,"v. 闯入, 干涉"
be about to,即将
be addicted to,沉迷于…
be aware of,知道
be bound up in,热心于
be bound up with,与...有密切关系
be composed of ...,由...组成
be fed up with,"饱受,厌烦"
be friends with,与...交友
be in debt,"na. 借着…的钱
"
be in for,"必定遭到, 参加"
be mad about,"对…着迷,狂热地迷恋…"
be made up of,由...所组成
be named after,以...名字命名
be to blame,该受责备
be used to doing sth.,无
get used to doing sth.,无
be in awe of,对…望而生畏 对…感到害怕
stand in awe of,"敬重,敬畏…"
bear down on,"加压力于, 冲向, 袭击"
bear on,"使难以承受负荷, 有关, 瞄准
"
bear upon,"使难以承受负荷, 有关, 瞄准"
bear out,"na. 证明
"
bear up,"承受, 使振作, 始终忠于, 驶向下风"
bear with,[法] 忍耐
bear in mind,"na. 记住；铭记不忘；注意
"
keep in mind,"na. 记在心里；记住；注意
"
beat down,"na. 打倒；镇压；〈口〉还(价)；使失望
"
beat up,"na. 搅(蛋)；虐待；冷不防地；打鼓召集
"
become of," 发生, 结果是"
beg off,请求免除
believe in,"信仰, 信任"
block in,"na. 画略图；设计；堵塞
"
block off,"v. 挡住
"
block up,"na. 堵塞；停用；同“block”
"
blot out,"na. 涂去(文字)；遮掉(风景等)；杀掉；毁掉
"
blow up,"v. 炸掉；爆炸；充气；放大
"
boil down to,归结为
boil over,"沸溢, 发怒
"
