grid,"n. 格子, 栅格
"
city-dweller,城市居民
slow down,(使)慢下来
property,"n. 财产, 所有权, 性质, 属性
"
self-sufficient,"adj. 自给自足的；过于自信的；傲慢的
"
accomplish,"vt. 完成, 达到, 实现, 使完美"
set about,"开始, 散布
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
learn of,"听说..., 获悉..."
inquire,"v. 询问, 问明, 查究"
available,"a. 可利用的, 可获得的, 有效的
"
whatsoever,pron. 无论什么
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
locate,"vt. 找出, 设于, 位于
vi. 定居"
put in,"v. 探进；放进；输入；纳入
"
go out,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
setback,"n. 挫折, 退步, 逆流"
be familiar with,熟悉
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
ins and outs,"[法] 详情细节, 内情"
ins and outs of sth.,无
generate,"vt. 产生, 发生, 导致
"
consist of,由...组成
adjustment,"n. 调整, 调节, 校正
"
take sth. for granted, 信以为然
take sb. for granted, 信以为然
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
in use,"在使用着, 在应用"
diligent,"a. 勤勉的, 用功的"
in addition,另外
trash,"n. 垃圾, 废物
vt. 丢弃"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
free-wheeling, 单向离合器
go further, 进一步地说[做]
give up,"na. 放弃；断绝；投降；自首
"
in preparation for,为...准备
align ... with,v. 与…结盟
