classroom,n. 教室
window,"n. 窗户, 窗子, 窗口
vt. 给...开窗
"
blackboard,n. 黑板
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
door,n. 门
teacher's desk,[网络] 讲台；讲桌；讲台桌
computer,"n. 电脑, 电子计算机
"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
really,"adv. 实际上, 真实地, 实在"
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
TV,"n. 电视；电视机
abbr. (=television)
"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
schoolbag,n. 书包
maths book,无
English book, 英语书
Chinese book, 语文书
storybook,"n. 故事书, 小说"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
notebook,"n. 笔记本, 手册, 期票簿"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
wow,"interj. (非正式)哇
n. 巨大的成功, 轰动一时的成功, 十分有趣的事物
"
lost,"a. 失去的, 遗失的, 迷惑的
lose的过去式和过去分词"
so much,"那么多, 全是"
cute,"a. 可爱的, 聪明的, 伶俐的
"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
quiet,"n. 安静, 闲适, 平静
a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的
vi. 平静下来
vt. 使平静, 使平息, 使安心, 安慰"
hair,"n. 头发, 毛发, 些微
"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
his,"pron. 他的
"
or,"conj. 或, 或者
"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
hat,"n. 帽子
vt. 给...戴帽子"
her,"pron. 她的, 她"
bedroom,n. 卧室
living room,"客厅, 起居室"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
kitchen,"n. 厨房, 全套炊具
"
bathroom,"n. 浴室, 厕所"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
phone,"n. 电话, 受话器, 耳机
vt. 打电话给
vi. 打电话"
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
"
sofa,n. 沙发
fridge,n. 电冰箱
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
them,"pron. 他们, 她们, 它们"
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
chicken,"n. 小鸡, 鸡肉"
noodles,"n. 面条, 挂面（noodle的复数形式）"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
chopsticks,n. 筷子
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
spoon,"n. 匙, 调羹, 匙形工具
vt. 以匙舀起, 调情, 使成匙状"
dinner,"n. 晚餐, 正餐, 宴会"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
help yourself,请自己动手用餐吧
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
parents,n. 父母；双亲（parent的复数）
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
uncle,"n. 叔父, 伯父, 姨丈"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
baby brother,[网络] 小弟弟；我的弟弟啊；切入正题
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
driver,"n. 驾驶员, 驱动器, 驱动程序
"
farmer,"n. 农夫, 农场主
"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
but,"prep. 除了
conj. 但是
adv. 仅仅"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
puppy,"n. 小狗, 小动物, 自负的年轻人"
football player, [体]足球运动员
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
basketball,n. 篮球
